bin_index,entropy_min,entropy_max,count,accuracy
0,0.012251932173967361,0.3897603501634432,4,1.0
1,0.3897603501634432,0.767268768152919,2,1.0
2,0.767268768152919,1.1447771861423948,0,nan
3,1.1447771861423948,1.5222856041318706,0,nan
4,1.5222856041318706,1.8997940221213465,0,nan
5,1.8997940221213465,2.277302440110822,2,1.0
6,2.277302440110822,2.6548108581002983,0,nan
7,2.6548108581002983,3.032319276089774,0,nan
8,3.032319276089774,3.4098276940792496,0,nan
9,3.4098276940792496,3.7873361120687257,2,0.5
