bin_index,entropy_min,entropy_max,count,accuracy
0,0.027770936489105225,0.33099626908765567,1,1.0
1,0.33099626908765567,0.6342216016862061,0,nan
2,0.6342216016862061,0.9374469342847566,1,0.0
3,0.9374469342847566,1.240672266883307,0,nan
4,1.240672266883307,1.5438975994818573,1,1.0
5,1.5438975994818573,1.847122932080408,1,1.0
6,1.847122932080408,2.1503482646789585,1,0.0
7,2.1503482646789585,2.453573597277509,2,1.0
8,2.453573597277509,2.756798929876059,0,nan
9,2.756798929876059,3.0600242624746095,3,0.3333333333333333
