bin_index,entropy_min,entropy_max,count,accuracy
0,1.0670344829559326,1.17415509233938,1,0.0
1,1.17415509233938,1.2812757017228271,0,nan
2,1.2812757017228271,1.3883963111062745,0,nan
3,1.3883963111062745,1.4955169204897216,1,0.0
4,1.4955169204897216,1.602637529873169,0,nan
5,1.602637529873169,1.7097581392566163,2,0.5
6,1.7097581392566163,1.8168787486400637,0,nan
7,1.8168787486400637,1.9239993580235109,2,0.0
8,1.9239993580235109,2.031119967406958,0,nan
9,2.031119967406958,2.1382405767904054,4,0.5
