method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.00537109375,0.002804962229754897,0.034815531191139566,0.00546875,0.0052734375
tda,entropy,1.3746994197368623,0.4496869547371472,-0.4306336508842341,1.1810490846633912,1.5683497548103333
tda,jsd_clip_fused,0.1332251913845539,0.060504092899925074,0.738256670507614,0.17789274156093599,0.08855764120817185
tda,pred_confidence,0.4501334488391876,0.11020515024050989,0.3089421269957966,0.4841804623603821,0.41608643531799316
freetta,em_weight,0.16379272599751857,0.2651179707059474,0.503724677483637,0.27283295748444897,0.0002323787671230093
freetta,entropy,0.8997497353702784,0.6674373810538365,-0.8255587311409444,0.4498529688765605,1.574594885110855
freetta,mu_drift_from_init,0.018541630474101112,0.010434549839754318,0.1765977813827667,0.02004620370765527,0.016284770623769873
freetta,mu_update_norm,0.0032907737667450475,0.005024775617172936,0.5337661678630695,0.005480662688266118,5.940384463443138e-06
freetta,pred_confidence,0.7028702437877655,0.23572918358862854,0.8581572859790787,0.8680415550867716,0.4551132768392563
freetta,weight,0.16379272599751857,0.2651179707059474,0.503724677483637,0.27283295748444897,0.0002323787671230093
