dataset,method,final_accuracy,mean_time_ms,std_time_ms,peak_state_mb,samples_to_90pct_final_acc,stability_std_last_quarter,prediction_churn_rate,error_recovery_latency,ece,disagreement_rate,freetta_win_rate_on_disagreement,tda_win_rate_on_disagreement
dtd,baseline,0.6,6.45434,17.74684058463365,0.0,3,0.022222222222222202,nan,nan,nan,,,
dtd,tda,0.1,10.352079999999997,13.646359537312506,0.0196075439453125,3,0.00555555555555555,0.0,2.0,0.4760384798049927,,,
dtd,freetta,0.6,11.87481,22.22522278122089,0.18572616577148438,3,0.022222222222222202,0.0,1.3333333333333333,0.3270618945360184,,,
dtd,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8,0.625,0.0
caltech,baseline,0.9,0.4601399999999999,0.09091431350453019,0.0,1,0.005555555555555591,nan,nan,nan,,,
caltech,tda,0.8,2.90717,0.629054959522616,0.0196075439453125,1,0.011111111111111127,0.0,1.0,0.4435048088431358,,,
caltech,freetta,0.9,3.5503,0.6069059268123851,0.3968696594238281,1,0.005555555555555591,0.0,1.0,0.20793266147375108,,,
caltech,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,0.5,0.0
eurosat,baseline,0.3,0.62697,0.12308322428340913,0.0,1,0.03888888888888889,nan,nan,nan,,,
eurosat,tda,0.1,2.5030900000000003,0.5161480842742711,0.0196075439453125,1,0.00555555555555555,0.0,0.0,0.5071463137865067,,,
eurosat,freetta,0.3,3.1075899999999996,0.4516107316041106,0.04105377197265625,1,0.03888888888888889,0.0,7.0,0.2252339616417885,,,
eurosat,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.2222222222222222,0.0
pets,baseline,0.6,0.6312000000000001,0.15118839241158694,0.0,3,0.022222222222222202,nan,nan,nan,,,
pets,tda,0.5,2.9861899999999997,0.8307817504615758,0.0196075439453125,2,0.02777777777777779,0.0,1.6666666666666667,0.25785539746284486,,,
pets,freetta,0.6,3.33045,0.4414379259873351,0.14662551879882812,3,0.022222222222222202,0.0,1.3333333333333333,0.26122037768363954,,,
pets,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3,0.3333333333333333,0.0
