step,baseline_running_acc,tda_running_acc,freetta_running_acc
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.5,0.5,0.5
5,0.4,0.4,0.4
6,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,0.2857142857142857,0.2857142857142857,0.2857142857142857
8,0.25,0.25,0.25
9,0.2222222222222222,0.2222222222222222,0.2222222222222222
10,0.3,0.3,0.3
11,0.36363636363636365,0.36363636363636365,0.36363636363636365
12,0.4166666666666667,0.4166666666666667,0.4166666666666667
13,0.38461538461538464,0.38461538461538464,0.38461538461538464
14,0.35714285714285715,0.35714285714285715,0.35714285714285715
15,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,0.3125,0.3125,0.3125
17,0.35294117647058826,0.35294117647058826,0.35294117647058826
18,0.3888888888888889,0.3888888888888889,0.3888888888888889
19,0.42105263157894735,0.42105263157894735,0.42105263157894735
20,0.4,0.4,0.4
21,0.42857142857142855,0.42857142857142855,0.42857142857142855
22,0.45454545454545453,0.45454545454545453,0.4090909090909091
23,0.43478260869565216,0.43478260869565216,0.391304347826087
24,0.4166666666666667,0.4166666666666667,0.375
25,0.4,0.4,0.36
26,0.38461538461538464,0.38461538461538464,0.34615384615384615
27,0.4074074074074074,0.4074074074074074,0.37037037037037035
28,0.39285714285714285,0.39285714285714285,0.35714285714285715
29,0.3793103448275862,0.3793103448275862,0.3448275862068966
30,0.36666666666666664,0.36666666666666664,0.3333333333333333
