dataset,method,final_accuracy,mean_time_ms,std_time_ms,peak_state_mb,samples_to_90pct_final_acc,stability_std_last_quarter,prediction_churn_rate,error_recovery_latency,ece,disagreement_rate,freetta_win_rate_on_disagreement,tda_win_rate_on_disagreement
dtd,baseline,0.5,1.14133,5.207780608739837,0.0,2,0.014056528719161576,nan,nan,nan,,,
dtd,tda,0.5,3.2014333333333336,5.637335291272129,0.01764678955078125,2,0.014056528719161576,0.0,1.4444444444444444,0.20028887291749317,,,
dtd,freetta,0.5,2.6232533333333325,6.866006622228739,0.18572616577148438,2,0.014056528719161576,0.0,1.4444444444444444,0.19214491695165634,,,
dtd,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03333333333333333,0.0,0.0
caltech,baseline,0.8333333333333334,0.18542666666666668,0.11418134387407118,0.0,1,0.024617392910935294,nan,nan,nan,,,
caltech,tda,0.8333333333333334,0.9824066666666667,0.31832979013734936,0.039215087890625,1,0.024617392910935294,0.0,1.25,0.20502292613188428,,,
caltech,freetta,0.8333333333333334,1.2946833333333336,0.614967421404491,0.3968696594238281,1,0.024617392910935294,0.0,1.25,0.16396834651629127,,,
caltech,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
eurosat,baseline,0.36666666666666664,0.14960333333333337,0.04833824216451769,0.0,1,0.015884095006355747,nan,nan,nan,,,
eurosat,tda,0.36666666666666664,0.55884,0.3982351127997965,0.00196075439453125,1,0.015884095006355747,0.0,4.0,0.14220328976710636,,,
eurosat,freetta,0.3333333333333333,1.0316066666666666,0.2748593457671679,0.04105377197265625,1,0.0137141201538222,0.0,4.25,0.13979051013787588,,,
eurosat,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03333333333333333,0.0,1.0
pets,baseline,0.7333333333333333,0.17731333333333335,0.07664683395650179,0.0,3,0.022207030372166547,nan,nan,nan,,,
pets,tda,0.7333333333333333,0.9400433333333335,0.2715180972278316,0.0431365966796875,3,0.022207030372166547,0.5,1.1428571428571428,0.12832535008589424,,,
pets,freetta,0.7333333333333333,1.0005866666666665,0.2370998252963413,0.14662551879882812,3,0.022207030372166547,0.5,1.1428571428571428,0.12388393680254618,,,
pets,custom_disagreement,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
