bin_index,entropy_min,entropy_max,count,accuracy
0,0.006768530234694481,0.3848252884180976,11,1.0
1,0.3848252884180976,0.7628820466015007,6,1.0
2,0.7628820466015007,1.1409388047849038,2,0.5
3,1.1409388047849038,1.518995562968307,1,1.0
4,1.518995562968307,1.89705232115171,0,nan
5,1.89705232115171,2.275109079335113,5,0.6
6,2.275109079335113,2.6531658375185163,0,nan
7,2.6531658375185163,3.0312225957019194,2,1.0
8,3.0312225957019194,3.4092793538853225,1,0.0
9,3.4092793538853225,3.7873361120687257,2,0.5
