bin_index,entropy_min,entropy_max,count,accuracy
0,0.027770936489105225,0.36205839524732364,1,1.0
1,0.36205839524732364,0.696345854005542,0,nan
2,0.696345854005542,1.0306333127637606,3,0.6666666666666666
3,1.0306333127637606,1.3649207715219789,1,1.0
4,1.3649207715219789,1.6992082302801972,4,0.75
5,1.6992082302801972,2.033495689038416,5,0.6
6,2.033495689038416,2.3677831477966342,4,0.75
7,2.3677831477966342,2.7020706065548525,2,0.5
8,2.7020706065548525,3.036358065313071,5,0.2
9,3.036358065313071,3.370645524071289,5,0.0
