dataset,sample_index,stream_step,phase,label,shared_clip_entropy,shared_clip_margin,clip_pred,clip_correct,tda_pred,tda_correct,tda_changed_prediction,tda_clip_confidence,tda_final_confidence,tda_fused_confidence_pre_fallback,tda_entropy_scaled,tda_norm_entropy_scaled,tda_positive_cache_size,tda_negative_cache_size,tda_negative_cache_active,tda_fallback_used,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_changed_prediction,freetta_clip_confidence,freetta_final_confidence,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_posterior_entropy
caltech,0,0,early,0,4.604962348937988,0.032950595021247864,0,1,0,1,0,0.8206179141998291,0.906407356262207,0.9064074754714966,1.0306912660598755,0.15513449367645382,1,0,0,0,0,0,1,0,0.010811004787683487,0.0108953807502985,0.010002078488469124,0.00983521156013012,0.00983521156013012,4.605169773101807,4.60491943359375
caltech,1,1,early,0,4.6049089431762695,0.01878565549850464,0,1,0,1,0,0.6187741756439209,0.8465743064880371,0.8465756177902222,1.9131131172180176,0.2879522166904227,2,1,1,0,1,0,1,0,0.010697684250772,0.0107622891664505,0.010002613067626953,0.009728590026497841,0.017949603497982025,4.605169773101807,4.604840278625488
caltech,2,2,early,0,4.604963302612305,0.02946057915687561,0,1,0,1,0,0.8551189303398132,0.9676511883735657,0.9676510691642761,0.8526373505592346,0.1283347089708974,3,1,1,0,0,0,1,0,0.010824358090758324,0.01090357918292284,0.010002069175243378,0.009619664400815964,0.025503646582365036,4.605169296264648,4.6049113273620605
caltech,3,3,early,0,4.604916095733643,0.007302314043045044,90,0,90,0,0,0.31586697697639465,0.4199255406856537,0.4199261963367462,2.4977779388427734,0.375953041049714,4,2,1,0,1,90,0,0,0.010606756433844566,0.010670850984752178,0.010002541355788708,0.009546922519803047,0.03204953297972679,4.605169773101807,4.604840278625488
caltech,4,4,early,0,4.604918479919434,0.027346700429916382,0,1,0,1,0,0.873003363609314,0.978425145149231,0.9784250259399414,0.6991063356399536,0.10522598859317851,4,2,1,0,0,0,1,0,0.010904672555625439,0.010989748872816563,0.010002517141401768,0.009418511763215065,0.0400276817381382,4.60516881942749,4.604852676391602
caltech,5,5,early,0,4.604801654815674,0.020803898572921753,0,1,0,1,0,0.7136280536651611,0.898780107498169,0.898779571056366,1.4170496463775635,0.21328722445234202,4,3,1,0,1,0,1,0,0.01081215962767601,0.010890012606978416,0.01000368595123291,0.009330853819847107,0.04750636965036392,4.605168342590332,4.604715824127197
caltech,6,6,early,0,4.604954719543457,0.029780983924865723,0,1,0,1,0,0.7367963790893555,0.9137421250343323,0.9137417674064636,1.508812427520752,0.22709889925716648,4,4,1,0,1,0,1,0,0.010716255754232407,0.010783923789858818,0.010002154856920242,0.009177383966743946,0.05515235289931297,4.605168342590332,4.604886054992676
caltech,7,7,early,0,4.6048784255981445,0.011201053857803345,0,1,0,1,0,0.678793728351593,0.9078109264373779,0.907812237739563,1.1575698852539062,0.17423162876936932,4,4,1,0,0,0,1,0,0.010850882157683372,0.010931160300970078,0.010002917610108852,0.009116090834140778,0.06245426833629608,4.605167388916016,4.604800224304199
caltech,8,8,early,0,4.604922771453857,0.016704082489013672,0,1,0,1,0,0.7515162229537964,0.9181175827980042,0.918117880821228,1.068674921989441,0.16085160356634343,4,4,1,0,0,0,1,0,0.01083278190344572,0.010913130827248096,0.010002474300563335,0.008970300666987896,0.06988992542028427,4.605165958404541,4.60485315322876
caltech,9,9,early,0,4.604991436004639,0.011816978454589844,0,1,0,1,0,0.5264045000076294,0.7908450961112976,0.7908458709716797,1.914858341217041,0.28821489907685205,4,4,1,0,1,0,1,0,0.010678953491151333,0.010743321850895882,0.010001787915825844,0.00890506524592638,0.07738899439573288,4.605165481567383,4.604947566986084
caltech,10,10,early,0,4.604944229125977,0.027887284755706787,0,1,0,1,0,0.8081637024879456,0.9452517032623291,0.9452518224716187,1.0391913652420044,0.15641388608642365,4,4,1,0,0,0,1,0,0.010821896605193615,0.010900740511715412,0.010002260096371174,0.00876770168542862,0.0848374143242836,4.605164527893066,4.604882717132568
caltech,11,11,early,0,4.604861259460449,0.045219600200653076,0,1,0,1,0,0.9358071684837341,0.986746609210968,0.9867463707923889,0.4533722400665283,0.06823932173069823,4,4,1,0,0,0,1,0,0.010942105203866959,0.011033536866307259,0.010003089904785156,0.008751027286052704,0.09180805087089539,4.60516357421875,4.604769706726074
caltech,12,12,early,0,4.6049089431762695,0.0021730363368988037,0,1,0,1,0,0.2137131243944168,0.489366739988327,0.48936575651168823,2.826237440109253,0.4253911221707349,4,4,1,0,1,20,0,1,0.010530054569244385,0.010579864494502544,0.010002613067626953,0.008625750429928303,0.09911468625068665,4.605162143707275,4.604820251464844
caltech,13,13,early,0,4.604896545410156,0.03305044770240784,0,1,0,1,0,0.7989519238471985,0.9394626021385193,0.9394626021385193,1.1862050294876099,0.17854164744162396,4,4,1,0,0,0,1,0,0.010786968283355236,0.010861445218324661,0.010002736933529377,0.008568938821554184,0.10601086914539337,4.605160713195801,4.60481071472168
caltech,14,14,early,0,4.6049017906188965,0.035141706466674805,0,1,0,1,0,0.8957234621047974,0.981158971786499,0.9811588525772095,0.6623488068580627,0.09969342922826288,4,4,1,0,0,0,1,0,0.010886888019740582,0.010972322896122932,0.010002684779465199,0.008438481949269772,0.11335474997758865,4.605158805847168,4.604816436767578
caltech,15,15,early,0,4.604949474334717,0.015527874231338501,0,1,0,1,0,0.6787023544311523,0.8813138604164124,0.8813138008117676,1.4133620262145996,0.2127321823115083,4,4,1,0,1,0,1,0,0.010767028667032719,0.010840781964361668,0.01000220701098442,0.008400325663387775,0.12021423131227493,4.605157375335693,4.604891300201416
caltech,16,16,early,0,4.605007171630859,0.01717028021812439,0,1,0,1,0,0.5691757798194885,0.8369482159614563,0.8369486331939697,2.086792230606079,0.31409352806548885,4,4,1,0,1,0,1,0,0.01064260769635439,0.010705421678721905,0.010001630522310734,0.008254933170974255,0.1269509196281433,4.6051554679870605,4.604964733123779
caltech,17,17,early,0,4.6049957275390625,0.002369418740272522,12,0,0,1,1,0.31519851088523865,0.4346698522567749,0.43466925621032715,2.591489315032959,0.3900580086338126,5,5,1,0,1,12,0,0,0.010552909225225449,0.01063038595020771,0.010001745074987411,0.00828305259346962,0.13341036438941956,4.605154514312744,4.604936599731445
caltech,18,18,early,0,4.60495662689209,0.024403288960456848,0,1,0,1,0,0.8322610259056091,0.9536536335945129,0.9536536335945129,0.888809084892273,0.133779097485614,5,5,1,0,0,0,1,0,0.010842457413673401,0.010925245471298695,0.01000213623046875,0.008053659461438656,0.14040584862232208,4.605152606964111,4.604896545410156
caltech,19,19,early,0,4.604941368103027,0.04088084399700165,0,1,0,1,0,0.8407591581344604,0.9545822143554688,0.9545820355415344,1.0277860164642334,0.15469721003986436,5,5,1,0,0,0,1,0,0.010772120207548141,0.010848061181604862,0.010002288036048412,0.007968845777213573,0.14691118896007538,4.605151176452637,4.604865074157715
caltech,20,20,early,0,4.604915142059326,0.031440138816833496,0,1,0,1,0,0.8240283727645874,0.9547994136810303,0.9547994136810303,0.9691586494445801,0.1458729120200059,5,5,1,0,0,0,1,0,0.010844993405044079,0.010927352122962475,0.010002550669014454,0.00792015716433525,0.1536831259727478,4.605148792266846,4.604846954345703
caltech,21,21,early,0,4.6048407554626465,0.04389020800590515,0,1,0,1,0,0.955250084400177,0.9896966218948364,0.9896966218948364,0.313937246799469,0.04725226402140317,5,5,1,0,0,0,1,0,0.011020315811038017,0.011117796413600445,0.010003294795751572,0.00792624894529581,0.15977561473846436,4.605146884918213,4.6047444343566895
