dataset,sample_index,stream_step,phase,label,shared_clip_entropy,shared_clip_margin,clip_pred,clip_correct,tda_pred,tda_correct,tda_changed_prediction,tda_clip_confidence,tda_final_confidence,tda_fused_confidence_pre_fallback,tda_entropy_scaled,tda_norm_entropy_scaled,tda_positive_cache_size,tda_negative_cache_size,tda_negative_cache_active,tda_fallback_used,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_changed_prediction,freetta_clip_confidence,freetta_final_confidence,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_posterior_entropy
dtd,0,0,early,0,3.8499598503112793,0.014721900224685669,39,0,39,0,0,0.5554376244544983,0.9007902145385742,0.9007916450500488,1.8493539094924927,0.3329416377836745,1,1,1,0,1,39,0,0,0.022453106939792633,0.022695057094097137,0.0004528635472524911,0.0004372785333544016,0.0004372785333544016,3.8501474857330322,3.849877119064331
dtd,1,1,early,0,3.8499505519866943,0.029499709606170654,39,0,39,0,0,0.7587007284164429,0.9894270896911621,0.9894270896911621,1.2146992683410645,0.21868392076835572,2,2,1,0,1,39,0,0,0.02264898642897606,0.022789616137742996,0.0004528719582594931,0.0004379641613923013,0.0008495200891047716,3.8501474857330322,3.8498964309692383
dtd,2,2,early,0,3.8500499725341797,0.0061505138874053955,22,0,39,0,1,0.23985090851783752,0.45531466603279114,0.4553152620792389,2.8118932247161865,0.5062288676626207,3,2,1,0,0,22,0,0,0.022032149136066437,0.022170275449752808,0.00045278191100806,0.00043515677680261433,0.0012533955741673708,3.8501474857330322,3.8500282764434814
dtd,3,3,early,0,3.8499414920806885,0.018018633127212524,0,1,0,1,0,0.4860324561595917,0.7661880254745483,0.7661871910095215,2.0906057357788086,0.37637452412834993,4,3,1,0,1,0,1,0,0.0224149227142334,0.02252482995390892,0.0004528801655396819,0.00043719500536099076,0.0016066305106505752,3.850147247314453,3.849855661392212
dtd,4,4,early,0,3.850005626678467,0.005166769027709961,22,0,22,0,0,0.2820054590702057,0.726845383644104,0.7268439531326294,2.540196180343628,0.4573148883155266,5,4,1,0,1,22,0,0,0.022152956575155258,0.022316213697195053,0.00045282207429409027,0.00043851014925166965,0.0019782595336437225,3.8501474857330322,3.849958658218384
dtd,5,5,early,0,3.8499531745910645,0.024687111377716064,39,0,39,0,0,0.7021451592445374,0.9890923500061035,0.9890923500061035,1.444813847541809,0.26011175374491236,6,5,1,0,1,39,0,0,0.022554995492100716,0.022642292082309723,0.0004528696008492261,0.0004395033756736666,0.002358566503971815,3.850147008895874,3.8498940467834473
dtd,6,6,early,0,3.8499696254730225,0.010424286127090454,39,0,39,0,0,0.4378172755241394,0.8869341611862183,0.8869336843490601,2.0597410202026367,0.37081790843629026,6,5,1,0,1,39,0,0,0.02238113060593605,0.02243104763329029,0.00045285469968803227,0.0004344516491983086,0.0027518211863934994,3.8501474857330322,3.849915027618408
dtd,7,7,early,0,3.8499717712402344,0.02923944592475891,39,0,39,0,0,0.7853618264198303,0.9925678968429565,0.9925678968429565,1.120863437652588,0.20179053168157648,6,5,1,0,1,39,0,0,0.022646846249699593,0.022741809487342834,0.00045285274973139167,0.000434995221439749,0.0031472044065594673,3.850147008895874,3.8499271869659424
dtd,8,8,early,0,3.850064754486084,0.002489924430847168,22,0,22,0,0,0.1215367466211319,0.7662086486816406,0.7662062644958496,3.256909132003784,0.5863456718349386,7,5,1,0,0,22,0,0,0.021805239841341972,0.02189468964934349,0.0004527685232460499,0.0004324002657085657,0.003538362216204405,3.850147247314453,3.850046157836914
dtd,9,9,early,0,3.8499364852905273,0.02588680386543274,39,0,39,0,0,0.7322234511375427,0.9794486165046692,0.9794489145278931,1.3240797519683838,0.23837583434613266,7,5,1,0,1,39,0,0,0.022622596472501755,0.02271598018705845,0.00045288470573723316,0.00043655725312419236,0.003917688969522715,3.850147247314453,3.8498752117156982
dtd,10,10,early,0,3.8500094413757324,0.006979703903198242,39,0,39,0,0,0.3468373119831085,0.6378831267356873,0.6378856897354126,2.53454852104187,0.4562981327189261,7,5,1,0,1,39,0,0,0.02218228578567505,0.022182494401931763,0.0004528186400420964,0.0004340703599154949,0.004319832660257816,3.850147008895874,3.849977970123291
dtd,11,11,early,0,3.849954843521118,0.01420605182647705,39,0,39,0,0,0.4933139383792877,0.8055345416069031,0.8055339455604553,2.007471799850464,0.36140781135297756,7,5,1,0,1,39,0,0,0.022425031289458275,0.02247360534965992,0.00045286808745004237,0.00043505834764800966,0.0047057438641786575,3.850147008895874,3.8498992919921875
dtd,12,12,early,0,3.850034475326538,0.002805858850479126,39,0,22,0,1,0.24009953439235687,0.6226409077644348,0.6226423978805542,2.7660553455352783,0.4979766134625525,7,5,1,0,1,22,0,1,0.02205120027065277,0.022116923704743385,0.0004527959681581706,0.00043413860839791596,0.005094804335385561,3.850147247314453,3.8500025272369385
dtd,13,13,early,0,3.849928617477417,0.01635226607322693,39,0,39,0,0,0.5887990593910217,0.8241341710090637,0.8241351246833801,1.7445800304412842,0.3140790573391176,7,5,1,0,1,39,0,0,0.022516939789056778,0.022578878328204155,0.00045289183617569506,0.00043290984467603266,0.005489872302860022,3.850147247314453,3.8498620986938477
dtd,14,14,early,0,3.850029230117798,0.004098802804946899,39,0,39,0,0,0.19141465425491333,0.5045903325080872,0.5045892000198364,2.8875603675842285,0.5198513237774757,7,5,1,0,0,46,0,1,0.021995827555656433,0.022019023075699806,0.00045280071208253503,0.00043431157246232033,0.0058858743868768215,3.8501474857330322,3.8500044345855713
dtd,15,15,early,0,3.849893093109131,0.03179386258125305,39,0,39,0,0,0.8699791431427002,0.9860403537750244,0.9860402345657349,0.7046104669570923,0.12685195714247702,7,5,1,0,0,39,0,0,0.022905757650732994,0.02304866537451744,0.00045292399590834975,0.000435155670857057,0.006268763914704323,3.850147247314453,3.849823236465454
dtd,16,16,early,0,3.849966287612915,0.022333920001983643,39,0,39,0,0,0.7113723754882812,0.8794214725494385,0.8794224262237549,1.3215868473052979,0.23792703341240865,7,5,1,0,1,39,0,0,0.022615423426032066,0.022696735337376595,0.0004528576973825693,0.0004335461126174778,0.006666192319244146,3.850147247314453,3.8499248027801514
dtd,17,17,early,0,3.8499791622161865,0.007247507572174072,39,0,39,0,0,0.312315434217453,0.7090857625007629,0.7090834379196167,2.510688066482544,0.4520025034299789,7,5,1,0,1,39,0,0,0.022200485691428185,0.022201690822839737,0.0004528460558503866,0.0004344551998656243,0.007042125333100557,3.8501474857330322,3.8499350547790527
dtd,18,18,early,0,3.849952220916748,0.017389744520187378,30,0,30,0,0,0.6419751048088074,0.6419755816459656,0.5363072752952576,1.5713938474655151,0.28290011905938117,8,6,1,1,1,30,0,0,0.022541837766766548,0.022620106115937233,0.00045287044486030936,0.0004337671853136271,0.007423003204166889,3.850147247314453,3.8499083518981934
dtd,19,19,early,0,3.849905490875244,0.03357723355293274,39,0,39,0,0,0.8930519223213196,0.9925096035003662,0.9925096035003662,0.6110363006591797,0.11000567584306983,8,6,1,0,0,39,0,0,0.02292257733643055,0.023057039827108383,0.0004529127909336239,0.00043226624256931245,0.007822472602128983,3.8501474857330322,3.849839210510254
dtd,20,20,early,0,3.8500254154205322,0.004774332046508789,39,0,39,0,0,0.2678041458129883,0.7212240099906921,0.7212221026420593,2.6369616985321045,0.47473571292962036,8,6,1,0,1,45,0,1,0.02210325561463833,0.022144123911857605,0.0004528041463345289,0.0004310566291678697,0.008158504962921143,3.8501474857330322,3.849984884262085
dtd,21,21,early,0,3.8500170707702637,0.025753170251846313,39,0,39,0,0,0.7338889241218567,0.9054849147796631,0.905485987663269,1.3604967594146729,0.24493203650955472,8,6,1,0,1,39,0,0,0.022518884390592575,0.022592002525925636,0.0004528117133304477,0.0004338072903919965,0.008509666658937931,3.8501482009887695,3.8499791622161865
dtd,22,22,early,0,3.8500404357910156,0.021988272666931152,39,0,39,0,0,0.6441159248352051,0.838674008846283,0.8386724591255188,1.7200967073440552,0.309671292200959,8,6,1,0,1,39,0,0,0.022399745881557465,0.022449957206845284,0.00045279055484570563,0.0004339774022810161,0.00886168796569109,3.8501482009887695,3.8500142097473145
dtd,23,23,early,0,3.8500633239746094,0.008975476026535034,39,0,39,0,0,0.3488636612892151,0.746709942817688,0.7467083930969238,2.633462905883789,0.47410582064744744,8,6,1,0,1,39,0,0,0.02211541309952736,0.022107340395450592,0.00045276983291842043,0.00042927826871164143,0.00923320185393095,3.8501482009887695,3.850048780441284
dtd,24,24,early,0,3.8499748706817627,0.02976366877555847,39,0,39,0,0,0.8589997291564941,0.979735255241394,0.9797354936599731,0.7797196507453918,0.14037396314398592,8,6,1,0,0,39,0,0,0.022757748141884804,0.022876011207699776,0.00045284992665983737,0.00043087927042506635,0.00959690846502781,3.8501474857330322,3.8499233722686768
dtd,25,25,early,0,3.850019693374634,0.020031899213790894,39,0,39,0,0,0.6807956099510193,0.9407696723937988,0.9407709240913391,1.51939058303833,0.27353790237407627,8,6,1,0,1,39,0,0,0.02247803658246994,0.022534916177392006,0.0004528093559201807,0.0004323097236920148,0.00996948778629303,3.8501477241516113,3.849985122680664
dtd,26,26,early,0,3.85003662109375,0.025680333375930786,39,0,39,0,0,0.6036092042922974,0.9163581132888794,0.9163569211959839,1.9788813591003418,0.3562606363750335,8,6,1,0,1,39,0,0,0.022326001897454262,0.02236032485961914,0.00045279401820153,0.00043109431862831116,0.010327024385333061,3.8501482009887695,3.850004196166992
dtd,27,27,early,0,3.850008010864258,0.013135045766830444,39,0,39,0,0,0.44339519739151,0.8137714266777039,0.813772439956665,2.1988604068756104,0.3958637561826911,8,6,1,0,1,39,0,0,0.022298306226730347,0.022323640063405037,0.00045281992061063647,0.00042925853631459177,0.010697937570512295,3.8501479625701904,3.849964141845703
dtd,28,28,early,0,3.8499646186828613,0.03695842623710632,39,0,39,0,0,0.897277295589447,0.9896028637886047,0.9896029829978943,0.6005640029907227,0.10812033420067373,8,6,1,0,0,39,0,0,0.02285594865679741,0.022992819547653198,0.00045285921078175306,0.00043304343125782907,0.011052558198571205,3.8501479625701904,3.8499157428741455
dtd,29,29,early,0,3.8500308990478516,0.007880210876464844,20,0,20,0,0,0.16827353835105896,0.38854876160621643,0.3885512351989746,3.1352875232696533,0.5644499722644117,9,6,1,0,0,20,0,0,0.02192758210003376,0.022035880014300346,0.0004527991986833513,0.0004307408526074141,0.011402486823499203,3.8501482009887695,3.849966287612915
dtd,30,30,early,0,3.850004196166992,0.016341984272003174,39,0,39,0,0,0.46832430362701416,0.7906947135925293,0.7906957864761353,2.1368393898010254,0.3846980301981562,9,6,1,0,1,39,0,0,0.022333834320306778,0.02236117050051689,0.0004528233839664608,0.00042957375990226865,0.011773582547903061,3.8501477241516113,3.849970579147339
dtd,31,31,early,0,3.849970579147339,0.023385465145111084,39,0,39,0,0,0.7952752113342285,0.953058123588562,0.953058660030365,1.0141505002975464,0.18257885999811582,9,6,1,0,0,39,0,0,0.022685647010803223,0.022778082638978958,0.00045285382657311857,0.0004295205872040242,0.012155694887042046,3.8501477241516113,3.8499250411987305
