dataset,sample_index,stream_step,phase,label,shared_clip_entropy,shared_clip_margin,clip_pred,clip_correct,tda_pred,tda_correct,tda_changed_prediction,tda_clip_confidence,tda_final_confidence,tda_fused_confidence_pre_fallback,tda_entropy_scaled,tda_norm_entropy_scaled,tda_positive_cache_size,tda_negative_cache_size,tda_negative_cache_active,tda_fallback_used,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_changed_prediction,freetta_clip_confidence,freetta_final_confidence,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_posterior_entropy
eurosat,0,0,early,0,2.3024802207946777,0.001548469066619873,2,0,2,0,0,0.2522743046283722,0.5898827910423279,0.5898825526237488,1.978713035583496,0.5956519765219629,1,0,0,0,0,2,0,0,0.10153267532587051,0.10199285298585892,3.163769724778831e-05,3.0296791010187007e-05,3.0296791010187007e-05,2.3025851249694824,2.3024091720581055
eurosat,1,1,early,0,2.3022186756134033,0.04512101411819458,3,0,3,0,0,0.9736072421073914,0.9932577610015869,0.9932578802108765,0.16268593072891235,0.048973345021915235,2,0,0,0,0,3,0,0,0.1063469797372818,0.10816105455160141,3.167495015077293e-05,3.0347364372573793e-05,5.639410301228054e-05,2.3025848865509033,2.301994800567627
eurosat,2,2,early,0,2.30234694480896,0.0067723095417022705,0,1,0,1,0,0.6162683367729187,0.8626032471656799,0.8626033663749695,0.9633709192276001,0.29000354363789005,3,1,1,0,1,0,1,0,0.1040557324886322,0.1053588017821312,3.1656680221203715e-05,3.0155064450809732e-05,8.453885675407946e-05,2.3025851249694824,2.3021810054779053
eurosat,3,3,early,0,2.3022451400756836,0.008750110864639282,0,1,0,1,0,0.6858775019645691,0.9708244800567627,0.9708244800567627,0.7589101791381836,0.22845472793531862,4,2,1,0,1,0,1,0,0.10504693537950516,0.10648705065250397,3.167117392877117e-05,3.01393502013525e-05,0.00011335124872857705,2.3025851249694824,2.3020284175872803
eurosat,4,4,early,0,2.302560806274414,0.0025156140327453613,7,0,7,0,0,0.22581157088279724,0.4123993515968323,0.412400484085083,2.109032154083252,0.6348819401988783,5,2,1,0,0,7,0,0,0.1010378822684288,0.10182975977659225,3.1626233976567164e-05,3.057758294744417e-05,0.00013954576570540667,2.3025848865509033,2.302541732788086
eurosat,5,5,early,0,2.302229881286621,0.007515162229537964,0,1,0,1,0,0.6671022176742554,0.9913774728775024,0.9913773536682129,0.7343041896820068,0.22104758703601776,6,3,1,0,1,0,1,0,0.10527798533439636,0.10667036473751068,3.167334944009781e-05,3.0197075830074027e-05,0.0001676554384175688,2.3025848865509033,2.302011013031006
eurosat,6,6,early,0,2.30254864692688,0.004265099763870239,1,0,0,1,1,0.26510709524154663,0.501422643661499,0.5014228820800781,2.0314974784851074,0.6115416771397606,7,3,1,0,0,1,0,0,0.101302370429039,0.10162310302257538,3.162795110256411e-05,3.01644358842168e-05,0.00019532728765625507,2.3025851249694824,2.302532196044922
eurosat,7,7,early,0,2.3025529384613037,0.0016677379608154297,1,0,1,0,0,0.27462154626846313,0.6845505237579346,0.68454909324646,2.001793384552002,0.6025998538718754,8,3,1,0,0,1,0,0,0.10133616626262665,0.10165483504533768,3.1627347198082134e-05,3.041982745344285e-05,0.00022354959219228476,2.3025851249694824,2.302542209625244
eurosat,8,8,early,0,2.3025479316711426,0.008064597845077515,1,0,1,0,0,0.367921382188797,0.8708297610282898,0.8708290457725525,1.9074053764343262,0.5741862321974797,9,3,1,0,0,1,0,0,0.10171029716730118,0.1021382287144661,3.1628071155864745e-05,3.0320874429889955e-05,0.00025176259805448353,2.3025851249694824,2.3025307655334473
eurosat,9,9,early,0,2.302457571029663,0.002522587776184082,0,1,0,1,0,0.47782593965530396,0.946494460105896,0.9464947581291199,1.267522931098938,0.38156242245271005,9,3,1,0,1,0,1,0,0.102932870388031,0.10362329334020615,3.16409241349902e-05,3.0057557523832656e-05,0.00027994634001515806,2.3025851249694824,2.3023793697357178
eurosat,10,10,early,0,2.3025457859039307,0.009701818227767944,1,0,1,0,0,0.3714330196380615,0.898773193359375,0.8987722396850586,1.9198685884475708,0.5779380328557859,9,3,1,0,0,1,0,0,0.10172003507614136,0.10214326530694962,3.1628373108105734e-05,3.0404025892494246e-05,0.00030793092446401715,2.3025853633880615,2.302528142929077
eurosat,11,11,early,0,2.302549362182617,0.013659060001373291,3,0,3,0,0,0.43022704124450684,0.5316107273101807,0.5316106677055359,1.8551651239395142,0.5584603492154812,10,3,1,0,0,3,0,0,0.1018838956952095,0.10210569947957993,3.1627860153093934e-05,3.032647873624228e-05,0.00033686711685732007,2.3025856018066406,2.30253267288208
eurosat,12,12,early,0,2.302560567855835,0.002396523952484131,1,0,1,0,0,0.23015089333057404,0.7723665833473206,0.7723658680915833,2.1201558113098145,0.638230494685558,10,3,1,0,0,1,0,0,0.10104895383119583,0.10126524418592453,3.162626308039762e-05,3.061075767618604e-05,0.0003640820214059204,2.3025856018066406,2.302548408508301
eurosat,13,13,early,0,2.3025124073028564,0.002145230770111084,0,1,0,1,0,0.29247432947158813,0.7873238921165466,0.7873225808143616,1.9214317798614502,0.578408600360328,10,3,1,0,0,0,1,0,0.10161261260509491,0.10192345827817917,3.163310975651257e-05,3.0191609766916372e-05,0.00039188037044368684,2.3025853633880615,2.302480459213257
eurosat,14,14,early,0,2.302549123764038,0.0023155510425567627,1,0,1,0,0,0.2006853222846985,0.7099227905273438,0.709923505783081,2.100368022918701,0.6322737768319814,10,3,1,0,0,1,0,0,0.10097636282444,0.10117417573928833,3.16278928949032e-05,3.0276209145085886e-05,0.000420270866015926,2.3025853633880615,2.3025283813476562
eurosat,15,15,early,0,2.302338123321533,0.006248772144317627,0,1,0,1,0,0.619739830493927,0.9829782843589783,0.9829781651496887,0.8920007348060608,0.26851897733093655,10,3,1,0,1,0,1,0,0.10426155477762222,0.10529983788728714,3.165794987580739e-05,3.0172450351528823e-05,0.00044679571874439716,2.3025853633880615,2.3021984100341797
eurosat,16,16,early,0,2.302365779876709,0.006396085023880005,0,1,0,1,0,0.6078323125839233,0.9793946146965027,0.9793944954872131,0.9686149954795837,0.29158216788928626,10,3,1,0,1,0,1,0,0.10398968309164047,0.10493398457765579,3.1653991754865274e-05,3.0112365493550897e-05,0.0004745932819787413,2.3025853633880615,2.302239418029785
eurosat,17,17,early,0,2.302544593811035,0.00038504600524902344,4,0,1,0,1,0.19375036656856537,0.41775843501091003,0.4177568256855011,2.0634355545043945,0.6211559960253625,11,3,1,0,0,7,0,1,0.10098627954721451,0.10154325515031815,3.162855500704609e-05,3.0525450711138546e-05,0.0005019772215746343,2.3025853633880615,2.3025248050689697
eurosat,18,18,early,0,2.302570104598999,0.009818851947784424,3,0,3,0,0,0.3192996680736542,0.70871502161026,0.7087175250053406,2.0860252380371094,0.6279561683612664,12,3,1,0,0,3,0,0,0.10135209560394287,0.10142145305871964,3.1624906114302576e-05,3.0357134164660238e-05,0.0005295081646181643,2.3025856018066406,2.302568197250366
eurosat,19,19,early,0,2.302487373352051,0.005500078201293945,0,1,0,1,0,0.43246033787727356,0.5925889611244202,0.5925905704498291,1.6315480470657349,0.49114490153377516,12,3,1,0,1,0,1,0,0.10233505070209503,0.10289548337459564,3.163670044159517e-05,3.0261819119914435e-05,0.0005570654175244272,2.3025856018066406,2.3024275302886963
eurosat,20,20,early,0,2.302539348602295,0.006917834281921387,0,1,0,1,0,0.4014389216899872,0.6856504678726196,0.6856499314308167,1.8287653923034668,0.5505132381155515,12,3,1,0,0,0,1,0,0.1018834188580513,0.10229808837175369,3.16292789648287e-05,3.0160361347952858e-05,0.0005859143566340208,2.3025856018066406,2.302518367767334
eurosat,21,21,early,0,2.302565813064575,0.0018883943557739258,2,0,3,0,1,0.21863850951194763,0.3053036332130432,0.305305540561676,2.136418342590332,0.6431260044064175,13,3,1,0,0,2,0,0,0.10096672922372818,0.10116292536258698,3.162551001878455e-05,3.0228024115785956e-05,0.0006148408865556121,2.3025856018066406,2.3025588989257812
