dataset,sample_index,stream_step,phase,label,shared_clip_entropy,shared_clip_margin,clip_pred,clip_correct,tda_pred,tda_correct,tda_changed_prediction,tda_clip_confidence,tda_final_confidence,tda_fused_confidence_pre_fallback,tda_entropy_scaled,tda_norm_entropy_scaled,tda_positive_cache_size,tda_negative_cache_size,tda_negative_cache_active,tda_fallback_used,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_changed_prediction,freetta_clip_confidence,freetta_final_confidence,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_posterior_entropy
pets,0,0,early,0,3.6099483966827393,0.032512515783309937,0,1,0,1,0,0.9442304968833923,0.99983811378479,0.99983811378479,0.28285545110702515,0.0542965703413827,1,0,0,0,0,0,1,0,0.030343273654580116,0.03069317899644375,0.6969825625419617,0.5249010324478149,0.5249010324478149,3.610753297805786,3.609741687774658
pets,1,1,early,0,3.6096105575561523,0.05520474910736084,0,1,0,1,0,0.9929137229919434,0.9999953508377075,0.9999953508377075,0.05329500138759613,0.0102304402491108,2,0,0,0,0,0,1,0,0.030982065945863724,0.03136303275823593,0.6970061659812927,0.2585327923297882,0.724678099155426,3.610558032989502,3.609346866607666
pets,2,2,early,0,3.6084296703338623,0.08125340938568115,0,1,0,1,0,0.9995871186256409,1.0,1.0,0.004059385042637587,0.0007792343567984867,3,0,0,0,0,0,1,0,0.03272460028529167,0.033195413649082184,0.6970884799957275,0.16389332711696625,0.8408352136611938,3.6103572845458984,3.608008623123169
pets,3,3,early,0,3.6090707778930664,0.06318256258964539,0,1,0,1,0,0.9953371286392212,0.9999988079071045,0.9999988079071045,0.037644121795892715,0.0072261174357106175,3,0,0,0,0,0,1,0,0.03149115666747093,0.03187473118305206,0.697043776512146,0.12191440910100937,0.9109877347946167,3.6102490425109863,3.608750820159912
pets,4,4,early,0,3.6096253395080566,0.008142173290252686,0,1,0,1,0,0.43708622455596924,0.9673925638198853,0.9673924446105957,1.6610231399536133,0.318847875846773,3,1,1,0,1,0,1,0,0.02970699407160282,0.030002305284142494,0.6970050930976868,0.09262040257453918,0.957142174243927,3.61020565032959,3.6093928813934326
pets,5,5,early,0,3.609929323196411,0.032664090394973755,0,1,0,1,0,0.9518508315086365,0.99540776014328,0.99540776014328,0.23952703177928925,0.04597930242732302,3,1,1,0,0,0,1,0,0.030298477038741112,0.030619483441114426,0.6969839334487915,0.08277039974927902,0.9868894219398499,3.6101856231689453,3.6097404956817627
pets,6,6,early,0,3.609560966491699,0.06767526268959045,0,1,0,1,0,0.9951202273368835,0.9999943971633911,0.9999943971633911,0.04061996936798096,0.007797357326583306,3,1,1,0,0,0,1,0,0.030965151265263557,0.03131676837801933,0.6970096230506897,0.08058163523674011,1.0104917287826538,3.610152244567871,3.6093146800994873
pets,7,7,early,0,3.609994649887085,0.04601919651031494,0,1,0,1,0,0.9756168127059937,0.999437153339386,0.999437153339386,0.15021944046020508,0.028835931510842638,3,1,1,0,0,0,1,0,0.030403045937418938,0.030721329152584076,0.6969793438911438,0.05057884752750397,1.0354466438293457,3.6101434230804443,3.609809398651123
pets,8,8,early,0,3.609105348587036,0.035837411880493164,0,1,0,1,0,0.9652414917945862,0.998304009437561,0.9983041286468506,0.18180443346500397,0.03489894633945999,3,1,1,0,0,0,1,0,0.031172020360827446,0.03151031956076622,0.6970413327217102,0.047673728317022324,1.053833246231079,3.6101226806640625,3.608828067779541
pets,9,9,early,0,3.609287738800049,0.08540958166122437,0,1,0,1,0,0.9993657469749451,1.0,1.0,0.006406236439943314,0.0012297329470709012,3,1,1,0,0,0,1,0,0.031726088374853134,0.03207778558135033,0.697028636932373,0.03527930751442909,1.0693309307098389,3.6101086139678955,3.609029769897461
