dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
caltech,687,687,5,51,0,0.010444126091897488,4.605077743530273,0.0031898021697998047,51,0,0.6369950175285339,1.8433870077133179,1.949563980102539,0,0,0,0,28,11,0,51,0,0.225997194647789,3.173004150390625,0.06204795837402344,0,0,0,0,0.12081224157056626,0.003351041581481695,1.0675122737884521,1.4877498149871826,0.4207086944580078,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/anchor/image_0025.jpg
caltech,25,25,0,36,0,0.010542626492679119,4.60507345199585,0.011978596448898315,36,0,0.708290696144104,1.234662413597107,1.5550575256347656,0,0,0,0,7,2,0,36,0,0.3617246448993683,2.5131590366363525,0.8886984586715698,0,0,0,0,0.1859518569031385,0.02188248187303543,0.5929578542709351,1.204196810722351,0.7833777618408203,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0143.jpg
caltech,70,70,0,24,0,0.010538777336478233,4.605062484741211,0.005786716938018799,24,0,0.6328120231628418,1.2227283716201782,0.8351402282714844,0,0,0,0,8,2,0,24,0,0.4369732737541199,2.3930892944335938,0.7111283540725708,0,0,0,0,0.18535082926088944,0.008517464622855186,0.8388426303863525,1.0428266525268555,0.6203071975708008,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0180.jpg
caltech,17,17,0,12,0,0.010482976213097572,4.605032920837402,0.004624724388122559,12,0,0.6266444325447083,1.6315085887908936,1.3269634246826172,0,0,0,0,6,2,0,12,0,0.3122182786464691,2.6604974269866943,0.6123083829879761,0,0,0,0,0.14074451502256202,0.027328552678227425,0.5048481822013855,1.295525074005127,0.8308110046386719,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0331.jpg
caltech,116,116,0,24,0,0.010583865456283092,4.605031490325928,0.002077430486679077,24,0,0.8362520933151245,0.6010082960128784,1.7839202880859375,0,0,0,0,9,3,0,24,0,0.4347608983516693,2.038626194000244,0.34132957458496094,0,0,0,0,0.2416790415274787,0.004883546847850084,0.9366087317466736,1.01948881149292,0.5405568695068359,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0190.jpg
caltech,1838,1838,64,98,0,0.010581732727587223,4.605011940002441,0.010895788669586182,98,0,0.8866576552391052,0.6647354960441589,2.920225143432617,0,0,0,0,222,73,0,98,0,0.4800289571285248,2.351320266723633,1.1593570709228516,0,0,0,0,0.19320921541014704,0.000806907017249614,1.126865029335022,3.2561888694763184,0.3643486404418945,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/minaret/image_0013.jpg
caltech,1673,1673,55,31,0,0.010589569807052612,4.605011463165283,0.020071744918823242,31,0,0.5317624807357788,2.2191972732543945,1.8705310821533203,0,0,0,0,200,67,0,31,0,0.4623546302318573,2.575500965118408,1.8661441802978516,0,0,0,0,0.1912541016387237,0.0014704945497214794,1.1198371648788452,3.129687547683716,0.3715449523925781,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/lamp/image_0055.jpg
caltech,875,875,15,99,0,0.010657915845513344,4.605004787445068,0.005194723606109619,99,0,0.6821157336235046,1.0551053285598755,1.0414257049560547,0,0,0,0,70,22,0,99,0,0.4518432021141052,1.8814702033996582,0.40974050760269165,0,0,0,0,0.28186691832631094,0.003962893504649401,1.091068983078003,2.044044017791748,0.40049980163574217,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/butterfly/image_0009.jpg
caltech,1232,1232,33,61,0,0.010724470019340515,4.604983329772949,0.005590260028839111,61,0,0.8170933723449707,0.7007805109024048,1.9462890625,0,0,0,0,136,47,0,61,0,0.47457239031791687,1.5879155397415161,0.5553550124168396,0,0,0,0,0.33755978587851376,0.0011628607753664255,1.1083505153656006,2.629516363143921,0.38330520629882814,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/dragonfly/image_0034.jpg
caltech,685,685,5,98,0,0.010768027044832706,4.604979515075684,0.01152542233467102,98,0,0.925491213798523,0.4220903813838959,3.152536392211914,0,0,0,0,26,10,0,98,0,0.6308935284614563,1.393444538116455,1.1232757568359375,0,0,0,0,0.3989209513356755,0.0073782517574727535,1.0666968822479248,1.4845913648605347,0.4214684677124023,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/anchor/image_0001.jpg
