dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
caltech,0,0,same_prediction_all,-18.972502,-1.6374253,170.115,1.8010039,-94.05792,1.9678144
caltech,1,1,same_prediction_all,-19.036303,-1.643095,163.80199,1.299285,-90.267204,1.8259277
caltech,2,2,same_prediction_all,-19.033228,-1.6504443,164.14662,0.58475393,-99.97378,1.0013918
caltech,3,3,both_wrong,-19.07198,-1.6733125,160.26352,-1.8911948,-88.45989,-1.339929
caltech,4,4,same_prediction_all,-19.025227,-1.6146628,165.078,4.214503,-110.40263,4.9091263
caltech,5,5,same_prediction_all,-19.128489,-1.6455195,154.49496,0.97435594,-98.60602,1.6473893
caltech,6,6,same_prediction_all,-18.887598,-1.6494347,178.59853,0.5919017,-89.9834,1.2594297
caltech,7,7,same_prediction_all,-18.984873,-1.6040868,168.93462,5.1672688,-106.28167,6.125674
caltech,8,8,same_prediction_all,-18.819159,-1.6417726,185.4389,1.3531023,-100.34008,2.3071897
caltech,9,9,same_prediction_all,-18.94497,-1.6498184,172.87427,0.5501561,-90.27464,1.4737659
caltech,10,10,same_prediction_all,-18.814318,-1.6626545,185.95586,-0.7168265,-98.76373,0.284099
caltech,11,11,same_prediction_all,-19.176247,-1.6632404,149.88478,-0.69798213,-106.33263,0.14035283
caltech,12,12,both_wrong,-18.974915,-1.6991569,170.07195,-4.4014273,-87.19314,-3.5266662
caltech,13,13,same_prediction_all,-19.064472,-1.6442324,160.98991,1.1144382,-95.90422,2.1518884
caltech,14,14,same_prediction_all,-18.99372,-1.6706806,168.29701,-1.4085513,-104.30266,-0.5809047
caltech,15,15,same_prediction_all,-19.082253,-1.633232,159.20485,2.2006676,-95.06517,3.244761
caltech,16,16,same_prediction_all,-18.788008,-1.6591334,188.6422,-0.37555474,-86.78497,0.52142626
caltech,17,17,both_wrong,-19.328682,-1.6496243,134.72934,0.48766536,-86.112434,1.4851605
caltech,18,18,same_prediction_all,-18.77905,-1.6235353,189.6328,3.187124,-100.08098,4.1151137
caltech,19,19,same_prediction_all,-18.778627,-1.6460874,189.62515,0.9288649,-90.61113,1.8225
caltech,20,20,same_prediction_all,-18.949772,-1.6664084,172.60313,-1.0642072,-98.55259,-0.16716568
caltech,21,21,same_prediction_all,-19.080034,-1.675353,159.60559,-1.9296035,-115.45087,-1.0910969
caltech,22,22,same_prediction_all,-19.063152,-1.6216781,161.19713,3.3581762,-95.82683,4.319586
caltech,23,23,same_prediction_all,-19.256317,-1.6760784,142.07022,-1.955673,-125.036316,-1.156321
caltech,24,24,same_prediction_all,-19.004124,-1.6536647,167.19627,0.1388091,-92.58118,1.1337696
caltech,25,25,both_wrong,-18.946487,-1.6233035,173.08583,3.5569675,-85.71771,4.1651216
caltech,26,26,same_prediction_all,-19.090914,-1.6464258,158.52626,1.0488833,-100.31701,1.8518289
caltech,27,27,same_prediction_all,-19.019022,-1.6256566,165.68648,3.0715165,-106.65173,4.0468674
caltech,28,28,same_prediction_all,-18.981285,-1.6455748,169.45609,1.1163822,-83.96819,1.9888315
caltech,29,29,same_prediction_all,-19.224987,-1.6901141,145.27022,-3.2555664,-109.650375,-2.6263359
caltech,30,30,tda_correct_freetta_wrong,-19.156166,-1.6766919,152.01976,-2.0509014,-89.5434,-1.2990619
caltech,31,31,same_prediction_all,-19.010427,-1.6899602,166.59447,-3.3686638,-85.29915,-2.6342173
caltech,32,32,same_prediction_all,-18.980352,-1.631698,169.56346,2.5484753,-93.44359,3.3827755
caltech,33,33,same_prediction_all,-19.071795,-1.6676391,160.29115,-1.1327196,-91.69577,-0.32698965
caltech,34,34,same_prediction_all,-19.115854,-1.6487473,156.0449,0.7480966,-94.344894,1.5975263
caltech,35,35,same_prediction_all,-19.2207,-1.6552472,145.53555,0.10477006,-85.60181,0.85736763
caltech,36,36,same_prediction_all,-19.02269,-1.6667787,165.2665,-1.0246623,-91.24475,-0.26008418
caltech,37,37,same_prediction_all,-19.039043,-1.6581993,163.6399,-0.16504043,-97.92956,0.5020165
caltech,38,38,same_prediction_all,-18.847803,-1.6446024,182.71532,1.1910839,-85.09711,1.9581146
caltech,39,39,same_prediction_all,-18.841536,-1.6431198,183.41248,1.3613081,-95.93131,2.2151086
caltech,40,40,same_prediction_all,-18.834824,-1.6802757,184.15462,-2.3948658,-84.6542,-1.6580594
caltech,41,41,same_prediction_all,-19.142141,-1.6431537,153.40034,1.4405257,-87.00541,2.1530135
caltech,42,42,same_prediction_all,-19.200066,-1.6706172,147.71704,-1.3272816,-114.56965,-0.7321382
caltech,43,43,same_prediction_all,-19.060808,-1.6649885,161.45091,-0.8702167,-83.71246,-0.1232127
caltech,44,44,same_prediction_all,-19.134085,-1.6547871,154.19289,0.20442867,-93.93189,0.8907419
caltech,45,45,same_prediction_all,-19.162,-1.6457686,151.33514,1.0751657,-84.800575,1.823561
caltech,46,46,same_prediction_all,-18.980528,-1.6157134,169.58052,4.1853476,-87.721,4.937418
caltech,47,47,same_prediction_all,-19.048521,-1.6552951,162.82527,0.10474506,-81.37554,0.9534897
caltech,48,48,same_prediction_all,-19.034595,-1.664583,164.05823,-0.8158423,-90.97981,-0.0402197
caltech,49,49,same_prediction_all,-19.125137,-1.6384969,154.99199,1.789338,-88.81833,2.5553331
caltech,50,50,same_prediction_all,-19.07462,-1.6437654,160.09448,1.2393979,-88.27878,2.104924
caltech,51,51,same_prediction_all,-18.81821,-1.6727382,185.69275,-1.6353812,-96.738754,-0.8742611
caltech,52,52,same_prediction_all,-18.981398,-1.6428825,169.55475,1.5003128,-81.77348,2.2287016
caltech,53,53,same_prediction_all,-18.979208,-1.6384836,169.67278,1.8240082,-98.37722,2.5715065
caltech,54,54,same_prediction_all,-19.165136,-1.6402744,151.14284,1.6673795,-102.76024,2.4472454
caltech,55,55,same_prediction_all,-19.087938,-1.6608095,158.6423,-0.4837455,-102.03081,0.2549594
caltech,56,56,same_prediction_all,-18.966719,-1.6672453,170.83618,-1.0866238,-102.809204,-0.33760604
caltech,57,57,same_prediction_all,-18.948465,-1.6841086,172.67896,-2.841836,-84.587456,-2.124402
caltech,58,58,same_prediction_all,-19.12348,-1.6364961,155.17252,2.0130363,-96.02472,2.7720473
