dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
caltech,0,0,0,0,1,0.010714368894696236,4.605029582977295,0.027025848627090454,0,1,0.9975457787513733,0.025446735322475433,7.702585220336914,0,0,0,0,1,1,0,0,1,0.010862872004508972,4.604968070983887,0.032430171966552734,0,0,0,0,1.0006329137540234e-09,5.438416650349609e-08,5.438416650349609e-08,4.605169773101807,512.00048828125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0426.jpg
caltech,1,1,0,0,1,0.01056303083896637,4.604981899261475,0.01350441575050354,0,1,0.9962784647941589,0.03803349658846855,7.344736099243164,0,0,0,0,2,2,0,0,1,0.010678891092538834,4.604899883270264,0.016204833984375,0,0,0,0,1.0008476493215758e-09,3.260105430058502e-08,6.058764512317794e-08,4.605169773101807,512.0009765625,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0239.jpg
caltech,2,2,0,0,1,0.01071198284626007,4.605019569396973,0.023010283708572388,0,1,0.9995229244232178,0.005738919600844383,8.952791213989258,0,0,0,0,3,2,0,0,1,0.010859942063689232,4.604953765869141,0.027611732482910156,0,0,0,0,1.0006780044011804e-09,1.8064941542661472e-08,6.790377682364124e-08,4.605169773101807,512.00146484375,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0353.jpg
caltech,3,3,0,90,0,0.010492874309420586,4.604969024658203,0.0026977956295013428,90,0,0.9640335440635681,0.25314533710479736,4.33629035949707,0,0,0,0,4,3,0,90,0,0.010593804530799389,4.6048808097839355,0.0032372474670410156,0,0,0,0,1.0009056358251955e-09,1.2554246531237823e-08,7.030750737158087e-08,4.605169773101807,512.001953125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0320.jpg
caltech,4,4,0,0,1,0.010793193243443966,4.604998588562012,0.018614113330841064,0,1,0.9999716281890869,0.00039789319271221757,11.172090530395508,0,0,0,0,4,3,0,0,1,0.010958756320178509,4.604921817779541,0.022336483001708984,0,0,0,0,1.0007724866315886e-09,1.0358820468070462e-08,7.38465573135727e-08,4.605169773101807,512.00244140625,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0425.jpg
caltech,5,5,0,0,1,0.010671036317944527,4.604893684387207,0.018647581338882446,0,1,0.900158166885376,0.6525779962539673,3.986562728881836,0,0,0,0,4,3,0,0,1,0.010809822008013725,4.604772567749023,0.02237701416015625,0,0,0,0,1.0012450316131292e-09,8.157511111051008e-09,7.405699875562277e-08,4.605169773101807,512.0029296875,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0200.jpg
caltech,6,6,0,0,1,0.010590538382530212,4.605020999908447,0.026462644338607788,0,1,0.934079647064209,0.49574849009513855,5.119991302490234,0,0,0,0,4,3,0,0,1,0.010712369345128536,4.604955673217773,0.03175497055053711,0,0,0,0,1.0006715627557592e-09,6.167791166689085e-09,7.668086254852824e-08,4.605169773101807,512.00341796875,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0286.jpg
caltech,7,7,0,0,1,0.01073426567018032,4.6049604415893555,0.004585951566696167,0,1,0.9854201674461365,0.10315144807100296,4.637321472167969,0,0,0,0,4,3,0,0,1,0.010886901058256626,4.604867935180664,0.0055027008056640625,0,0,0,0,1.0009442953607002e-09,5.8141176317860754e-09,7.602527318795183e-08,4.605169773101807,512.00390625,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0268.jpg
caltech,8,8,0,0,1,0.010702827014029026,4.604978084564209,0.010392308235168457,0,1,0.930854856967926,0.4172895550727844,3.2902488708496094,0,0,0,0,4,3,0,0,1,0.01084869634360075,4.604893684387207,0.012470722198486328,0,0,0,0,1.0008648301576e-09,4.326517810682162e-09,7.800992563034015e-08,4.605169773101807,512.00439453125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0372.jpg
caltech,9,9,0,0,1,0.010564273223280907,4.605045318603516,0.012060791254043579,0,1,0.8909996747970581,0.6946662068367004,3.7417545318603516,0,0,0,0,4,3,0,0,1,0.01068056095391512,4.604990482330322,0.014472484588623047,0,0,0,0,1.000562061127784e-09,3.935511916353107e-09,7.796204926080463e-08,4.605169773101807,512.0048828125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0157.jpg
