dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
dtd,693,693,17,0,0,0.02157052978873253,3.850109338760376,1.5676021575927734e-05,32,0,0.07247588783502579,3.5445477962493896,0.10245513916015625,1,0,0,1,120,62,0,28,0,0.02172406204044819,3.8500635623931885,0.0017614364624023438,1,0,0,1,0.0004527281705873909,0.0003159770567435771,0.20430372655391693,3.850131034851074,522.9055786132812,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/grooved/grooved_0102.jpg
dtd,918,918,22,34,0,0.021627701818943024,3.8501057624816895,6.949901580810547e-05,34,0,0.20801816880702972,3.000814199447632,0.50146484375,0,0,0,0,125,64,0,34,0,0.021747859194874763,3.850080728530884,0.004700660705566406,0,0,0,0,0.00045273140876318606,0.0002870182797778398,0.25708386301994324,3.850123405456543,523.3449096679688,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/lined/lined_0175.jpg
dtd,342,342,8,16,0,0.02183539606630802,3.8501038551330566,0.008921146392822266,16,0,0.4186781048774719,2.4414467811584473,1.425588607788086,0,0,0,0,94,46,0,16,0,0.021782947704195976,3.8500893115997314,0.003609895706176758,0,0,0,0,0.0004527331357997472,0.0003696793282870203,0.11095476150512695,3.850142002105713,521.8135986328125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/crosshatched/crosshatched_0130.jpg
dtd,518,518,12,20,0,0.021883629262447357,3.8501038551330566,0.014029055833816528,20,0,0.3869187533855438,2.7277588844299316,1.6740703582763672,0,0,0,0,105,54,0,20,0,0.021985026076436043,3.850072145462036,0.015065193176269531,0,0,0,0,0.0004527331357997472,0.00033862717100419104,0.16025996208190918,3.8501367568969727,522.4537353515625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/flecked/flecked_0167.jpg
dtd,877,877,21,26,0,0.022038189694285393,3.8500983715057373,0.011783778667449951,26,0,0.6361679434776306,1.8192253112792969,2.450885772705078,0,0,0,0,125,63,0,26,0,0.0218899454921484,3.850076913833618,0.002015352249145508,0,0,0,0,0.0004527381010665585,0.0002934682706836611,0.2479272335767746,3.8501245975494385,523.2715454101562,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/lacelike/lacelike_0117.jpg
dtd,697,697,17,29,0,0.02182912640273571,3.850097894668579,0.004222273826599121,29,0,0.22152255475521088,3.0262179374694824,0.6685142517089844,0,0,0,0,120,62,0,29,0,0.02183821238577366,3.8500735759735107,0.0013260841369628906,0,0,0,0,0.0004527385328314634,0.0003137053572572768,0.2052883356809616,3.850130319595337,522.9144897460938,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/grooved/grooved_0111.jpg
dtd,788,788,19,21,0,0.021952148526906967,3.850097894668579,0.014144942164421082,21,0,0.3677612245082855,2.8003647327423096,1.5954113006591797,0,0,0,0,125,63,0,21,0,0.021941885352134705,3.850062370300293,0.00550389289855957,0,0,0,0,0.0004527385328314634,0.00030937351402826607,0.22711405158042908,3.850128412246704,523.1054077148438,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/interlaced/interlaced_0181.jpg
dtd,882,882,22,39,0,0.02184380032122135,3.850094795227051,0.0066315531730651855,39,0,0.2169564664363861,3.006330728530884,0.7011661529541016,0,0,0,0,125,63,0,39,0,0.021822333335876465,3.850085973739624,0.005221843719482422,0,0,0,0,0.0004527413393133822,0.0002885173016693443,0.24904392659664154,3.8501248359680176,523.2806396484375,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/lined/lined_0024.jpg
dtd,1135,1135,28,21,0,0.021675337105989456,3.850093364715576,0.004168093204498291,7,0,0.11915065348148346,3.3176681995391846,0.2385234832763672,1,0,0,1,130,73,0,24,0,0.02175005152821541,3.850048542022705,0.0008065700531005859,1,0,0,1,0.000452742634618597,0.00025956297758966684,0.3032205402851105,3.850114345550537,523.6832275390625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/pitted/pitted_0095.jpg
dtd,1184,1184,29,45,0,0.021922409534454346,3.850092887878418,0.013624846935272217,45,0,0.43199479579925537,2.6103034019470215,1.6075725555419922,0,0,0,0,132,74,0,45,0,0.02204299159348011,3.85005259513855,0.012319803237915039,0,0,0,0,0.00045274306638782544,0.00025940703926607966,0.3128094971179962,3.850111722946167,523.7529296875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/pleated/pleated_0143.jpg
