dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
dtd,1189,1189,29,29,1,0.021946672350168228,3.8500828742980957,0.0033270418643951416,39,0,0.27588599920272827,2.6687216758728027,0.26186180114746094,1,0,1,0,132,74,0,29,1,0.02208269014954567,3.8500545024871826,0.0039920806884765625,0,0,0,0,2.9901029241743643e-08,3.164269202216019e-08,2.394016155449208e-05,3.8501477241516113,512.5810546875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/pleated/pleated_0155.jpg
dtd,655,655,16,16,1,0.021952800452709198,3.8500683307647705,7.572770118713379e-05,5,0,0.27658241987228394,2.450857400894165,0.022884368896484375,1,0,1,0,118,62,0,16,1,0.02209007926285267,3.850033760070801,9.036064147949219e-05,0,0,0,0,2.990298620554913e-08,4.038589906940615e-08,1.3148031939635985e-05,3.8501477241516113,512.3203125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/grid/grid_0069.jpg
dtd,996,996,24,24,1,0.021753618493676186,3.850062847137451,0.00011104345321655273,21,0,0.13484349846839905,3.12800931930542,0.09589004516601562,1,0,1,0,129,69,0,24,1,0.021849747747182846,3.8500258922576904,0.00013256072998046875,0,0,0,0,2.990372411039787e-08,4.143343446116887e-08,2.0022052922286093e-05,3.8501477241516113,512.48681640625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/matted/matted_0161.jpg
dtd,633,633,15,15,1,0.021870747208595276,3.8500592708587646,0.004817023873329163,29,0,0.19153667986392975,2.7737302780151367,0.08512687683105469,1,0,1,0,117,62,0,15,1,0.021991003304719925,3.850020408630371,0.0057795047760009766,0,0,0,0,2.9904205362500644e-08,3.93165322520872e-08,1.2726934983220417e-05,3.8501477241516113,512.3095703125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/gauzy/gauzy_0195.jpg
dtd,227,227,5,5,1,0.022046927362680435,3.850058078765869,0.004663020372390747,16,0,0.32744118571281433,1.8919509649276733,0.10778617858886719,1,0,1,0,78,38,0,5,1,0.02220378816127777,3.8500187397003174,0.005595684051513672,0,0,0,0,2.990436578158934e-08,3.679367210907003e-08,4.641377472580643e-06,3.8501477241516113,512.111328125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/chequered/chequered_0194.jpg
dtd,1785,1785,44,44,1,0.02181427739560604,3.8500547409057617,0.0002580881118774414,20,0,0.22751665115356445,2.7176389694213867,0.0372161865234375,1,0,1,0,134,81,0,44,1,0.021922769024968147,3.8500144481658936,0.00030922889709472656,0,0,0,0,2.9904814959615844e-08,4.3009151795558864e-08,3.573706271708943e-05,3.8501477241516113,512.8720703125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/woven/woven_0103.jpg
dtd,984,984,24,24,1,0.021781351417303085,3.8500375747680664,6.362795829772949e-05,32,0,0.230095773935318,2.9109036922454834,0.8702926635742188,1,0,1,0,129,68,0,24,1,0.0218830406665802,3.849989652633667,7.62939453125e-05,0,0,0,0,2.9907125124613146e-08,3.6493474908638746e-08,1.978495674848091e-05,3.8501477241516113,512.48095703125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/matted/matted_0136.jpg
dtd,1390,1390,34,34,1,0.021850114688277245,3.8500354290008545,0.002338975667953491,7,0,0.1594582200050354,3.061373233795166,0.20294761657714844,1,0,1,0,133,78,0,34,1,0.021965904161334038,3.849985361099243,0.002809762954711914,0,0,0,0,2.990741390778561e-08,4.0325200956203844e-08,2.7923324523726478e-05,3.8501477241516113,512.67919921875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/smeared/smeared_0135.jpg
dtd,1640,1640,41,41,1,0.022335829213261604,3.8500256538391113,0.0027467012405395508,26,0,0.45473846793174744,1.2374248504638672,0.012969970703125,1,0,1,0,133,81,0,41,1,0.02255290374159813,3.8499715328216553,0.0032935142517089844,0,0,0,0,2.990872951085813e-08,4.117314844620523e-08,3.2856332836672664e-05,3.8501477241516113,512.80126953125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/swirly/swirly_0005.jpg
dtd,666,666,16,16,1,0.021967513486742973,3.8500165939331055,0.00030866265296936035,27,0,0.22342126071453094,2.632608413696289,0.2730884552001953,1,0,1,0,119,62,0,16,1,0.022107569500803947,3.849958896636963,0.000370025634765625,0,0,0,0,2.9909948901966546e-08,4.105796591602484e-08,1.336515288130613e-05,3.8501477241516113,512.32568359375,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/grid/grid_0112.jpg
