dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
dtd,0,0,both_wrong,-38.64251,1.1987044,120.10467,5.6092143,-86.97174,6.425528
dtd,1,1,both_wrong,-38.656822,1.2059023,118.79339,6.493053,-187.02805,18.862604
dtd,2,2,both_wrong,-38.5458,1.1952572,130.09769,5.9357357,-155.28455,20.194407
dtd,3,3,same_prediction_all,-38.736546,1.1296784,110.93301,-1.1513205,-149.61263,11.654173
dtd,4,4,both_wrong,-38.741608,1.1893032,110.624504,5.491108,-135.04626,16.226856
dtd,5,5,both_wrong,-38.834175,1.1928326,101.49513,5.963978,-150.8723,17.382977
dtd,6,6,both_wrong,-38.53031,1.186272,131.85521,5.3042045,-139.05968,16.718426
dtd,7,7,both_wrong,-38.61959,1.2056271,123.05956,7.4428043,-150.98024,19.275764
dtd,8,8,both_wrong,-38.541527,1.1947922,130.99623,6.0526423,-122.744965,17.502522
dtd,9,9,both_wrong,-38.692623,1.1872272,115.81894,5.3114133,-136.84244,14.999047
dtd,10,10,both_wrong,-38.569435,1.2029097,128.18634,6.9561663,-125.50478,18.604294
dtd,11,11,both_wrong,-38.662426,1.1914077,118.75846,5.677673,-126.78539,17.211578
dtd,12,12,both_wrong,-38.55231,1.2009038,129.81747,6.6381116,-118.596985,17.615519
dtd,13,13,both_wrong,-38.531284,1.1727957,131.93805,3.8765671,-124.01455,14.030099
dtd,14,14,both_wrong,-38.63334,1.2162803,121.74081,8.219845,-117.053535,19.471624
dtd,15,15,both_wrong,-38.71791,1.208787,113.32771,7.595524,-132.27748,17.90674
dtd,16,16,both_wrong,-38.582966,1.2190567,126.83273,8.576606,-124.17293,18.99444
dtd,17,17,both_wrong,-38.771725,1.2136508,107.79224,7.881095,-114.65815,18.265274
dtd,18,18,both_wrong,-38.66319,1.2419755,118.91301,11.249042,-119.50006,21.250906
dtd,19,19,both_wrong,-38.62921,1.207249,122.48514,7.975415,-134.07426,18.56284
dtd,20,20,both_wrong,-38.54971,1.1753777,129.87921,3.89787,-100.334595,11.254001
dtd,21,21,both_wrong,-38.774216,1.1862351,107.63145,5.243378,-111.419334,13.057603
dtd,22,22,both_wrong,-38.667465,1.2040906,118.2033,6.886781,-110.217705,14.380677
dtd,23,23,both_wrong,-38.55658,1.1912259,129.41997,5.7756524,-103.48393,13.245226
dtd,24,24,both_wrong,-38.58148,1.1934592,126.929016,5.980763,-116.365105,12.844435
dtd,25,25,both_wrong,-38.71126,1.2037214,113.86605,6.8826885,-110.33264,14.446954
dtd,26,26,both_wrong,-38.686676,1.1846128,116.25558,4.8763475,-102.38495,11.80043
dtd,27,27,both_wrong,-38.578106,1.1687713,127.188545,3.409516,-107.21289,10.318382
dtd,28,28,both_wrong,-38.671745,1.2111728,117.884056,7.7677407,-119.29331,14.249462
dtd,29,29,freetta_correct_tda_wrong,-38.59962,1.1498064,125.25981,1.6264248,-91.123436,6.6459675
dtd,30,30,both_wrong,-38.69699,1.1955266,115.49372,6.266459,-99.4089,12.569504
dtd,31,31,both_wrong,-38.664177,1.1957562,118.86403,6.387703,-106.924416,11.99306
dtd,32,32,both_wrong,-38.711143,1.1883224,113.978226,5.436812,-99.827545,10.847895
dtd,33,33,both_wrong,-38.527264,1.1961137,132.39326,6.216711,-98.71438,11.289845
dtd,34,34,both_wrong,-38.469734,1.19973,138.21146,6.7027855,-111.39462,11.648044
dtd,35,35,both_wrong,-38.748856,1.2033625,110.430885,7.278908,-114.38602,12.770616
dtd,36,36,both_wrong,-38.709,1.2091901,114.421646,7.82828,-109.62816,13.140883
dtd,37,37,both_wrong,-38.757,1.2113655,109.63688,8.084025,-116.79131,14.341519
dtd,38,38,both_wrong,-38.686203,1.1956943,116.64345,6.3769665,-103.56078,11.239692
dtd,39,39,both_wrong,-38.765438,1.1854761,108.65883,5.2438307,-97.98573,10.338489
dtd,40,40,both_wrong,-38.55012,1.0702724,130.09697,-6.8428655,-87.52768,-4.5883417
dtd,41,41,both_wrong,-38.494766,1.0696018,135.96729,-6.8055034,-90.93614,-6.8554444
dtd,42,42,both_wrong,-38.587795,1.1073139,126.842415,-2.9762022,-78.81178,-1.9747832
dtd,43,43,both_wrong,-38.576,1.1261998,128.1973,-1.1216224,-82.612305,-1.9418947
dtd,44,44,both_wrong,-38.730164,1.1058317,112.30732,-3.5989008,-82.48527,-4.9131823
dtd,45,45,both_wrong,-38.503487,1.1113659,135.77518,-2.7269928,-84.57184,-3.4719667
dtd,46,46,both_wrong,-38.774178,1.0870036,108.22435,-5.69651,-82.83594,-7.608446
dtd,47,47,both_wrong,-38.454884,1.1206464,140.87634,-1.8576525,-79.4104,-2.8936133
dtd,48,48,both_wrong,-38.515526,1.1502134,134.73326,0.9080758,-85.770485,-0.2714018
dtd,49,49,both_wrong,-38.556343,1.1392826,131.13931,-0.3242119,-79.09716,-1.8070782
dtd,50,50,both_wrong,-38.560562,1.0814865,130.27501,-6.435177,-85.91527,-10.446032
dtd,51,51,both_wrong,-38.446762,1.0477291,142.0812,-9.7517805,-92.78267,-15.601803
dtd,52,52,both_wrong,-38.55141,1.0999992,131.63853,-4.1849666,-82.06543,-6.6558766
dtd,53,53,both_wrong,-38.587006,1.036079,128.00017,-11.356616,-94.486824,-17.136774
dtd,54,54,both_wrong,-38.54456,1.0839674,132.70964,-6.26253,-87.55975,-10.5900345
dtd,55,55,both_wrong,-38.599594,1.0745835,126.86977,-7.315353,-88.57212,-11.2425165
dtd,56,56,both_wrong,-38.561813,1.1178967,130.22426,-2.9350517,-84.79611,-5.6043653
dtd,57,57,same_prediction_all,-38.57196,1.1131499,129.80185,-3.4282014,-80.93791,-6.2062116
dtd,58,58,both_wrong,-38.59258,1.1519829,127.99997,0.52125424,-83.41465,-2.35123
dtd,59,59,both_wrong,-38.456406,1.1572064,141.83165,0.95332265,-80.400665,-1.2269163
dtd,60,60,both_wrong,-38.758213,1.0649248,111.393616,-8.314793,-89.33801,-11.374815
dtd,61,61,both_wrong,-38.475967,1.0751982,139.98347,-7.6861,-88.50193,-14.078034
dtd,62,62,both_wrong,-38.505375,1.0902619,137.07202,-6.029062,-86.124794,-10.528022
dtd,63,63,both_wrong,-38.972298,1.1223202,88.77289,-2.7149112,-80.61801,-5.239269
dtd,64,64,both_wrong,-38.545612,1.1103848,132.60971,-3.8836029,-78.41273,-7.269682
dtd,65,65,both_wrong,-38.712063,1.0827819,115.69782,-7.1522346,-84.8706,-11.8319845
dtd,66,66,tda_correct_freetta_wrong,-38.754807,1.0683875,111.43194,-8.636568,-86.32157,-13.551394
dtd,67,67,tda_correct_freetta_wrong,-38.664684,1.0960711,121.104034,-5.8395667,-82.50843,-9.599136
dtd,68,68,both_wrong,-38.610107,1.0333172,126.80619,-12.325747,-86.48632,-19.363916
dtd,69,69,same_prediction_all,-38.77022,1.0775404,110.1184,-7.894985,-86.353424,-13.616178
dtd,70,70,both_wrong,-38.63656,1.0828546,124.029076,-7.042758,-84.48103,-10.829892
dtd,71,71,both_wrong,-38.599445,1.1352499,127.93217,-1.6987864,-80.63312,-2.9284053
dtd,72,72,both_wrong,-38.580803,1.1706914,129.9238,2.311106,-88.3634,1.3810922
dtd,73,73,both_wrong,-38.70912,1.0502746,116.69409,-10.496412,-90.7354,-17.595573
dtd,74,74,both_wrong,-38.477943,1.1154858,140.61078,-3.5611494,-80.130775,-5.7055764
dtd,75,75,tda_correct_freetta_wrong,-38.854187,1.0786169,101.41431,-7.5561566,-86.82828,-14.976164
dtd,76,76,same_prediction_all,-38.815872,1.0620574,105.731735,-9.557951,-98.77644,-18.275686
dtd,77,77,both_wrong,-38.414158,1.1763246,146.89482,2.785683,-78.76936,2.5830846
