dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
dtd,0,0,0,39,0,0.022363686934113503,3.8499886989593506,0.019891560077667236,39,0,0.8891932964324951,0.6806172728538513,3.989164352416992,0,0,0,0,1,1,0,39,0,0.022586798295378685,3.849918842315674,0.02386927604675293,0,0,0,0,0.00045283741783926415,0.00044015212915837765,0.00044015212915837765,3.8501474857330322,513.5316772460938,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0002.jpg
dtd,1,1,0,39,0,0.02253570780158043,3.8499886989593506,0.02356433868408203,39,0,0.9850733876228333,0.12126364558935165,5.801753997802734,0,0,0,0,2,2,0,39,0,0.022659266367554665,3.849949359893799,0.025867462158203125,0,0,0,0,0.00045283741783926415,0.000440156931290403,0.0008547420729883015,3.850147247314453,514.2996215820312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0004.jpg
dtd,2,2,0,30,0,0.021869881078600883,3.8500545024871826,0.0016787052154541016,39,0,0.4689844846725464,1.742238998413086,0.38817596435546875,1,0,0,1,3,2,0,30,0,0.021847933530807495,3.850034475326538,0.0019364356994628906,0,0,0,0,0.00045277782516150224,0.0004380899772513658,0.001261751283891499,3.8501474857330322,514.8008422851562,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0008.jpg
dtd,3,3,0,0,1,0.022533344104886055,3.849940061569214,0.021065056324005127,0,1,0.8735783100128174,0.676097571849823,2.909463882446289,0,0,0,0,4,3,0,0,1,0.022700387984514236,3.8498411178588867,0.019232749938964844,0,0,0,0,0.0004528814696421141,0.0004409211687743664,0.0016193973133340478,3.850147247314453,515.1905517578125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0034.jpg
dtd,4,4,0,16,0,0.02204679697751999,3.8500289916992188,0.003852635622024536,16,0,0.4974064230918884,1.6469454765319824,0.5669574737548828,0,0,0,0,5,4,0,16,0,0.022059768438339233,3.849989175796509,0.0028901100158691406,0,0,0,0,0.00045280092718903307,0.0004407567612361163,0.0019936843309551477,3.8501474857330322,515.5026245117188,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0036.jpg
dtd,5,5,0,39,0,0.022435691207647324,3.8499722480773926,0.0209931880235672,39,0,0.9886471629142761,0.09427697211503983,5.732919692993164,0,0,0,0,6,4,0,39,0,0.022508252412080765,3.84991455078125,0.019473552703857422,0,0,0,0,0.0004528523172341851,0.00044187199091538787,0.00237674149684608,3.8501474857330322,515.7671508789062,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0042.jpg
dtd,6,6,0,39,0,0.022274499759078026,3.849996566772461,0.002617388963699341,39,0,0.9032552242279053,0.5104187726974487,2.9617252349853516,0,0,0,0,6,4,0,39,0,0.022313321009278297,3.849952220916748,0.0009400844573974609,0,0,0,0,0.00045283029221498153,0.00043688842561095953,0.00277270982041955,3.850147247314453,515.981201171875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0044.jpg
dtd,7,7,0,39,0,0.022573811933398247,3.84999418258667,0.025779306888580322,39,0,0.9942612648010254,0.050467800348997116,6.5163726806640625,0,0,0,0,6,4,0,39,0,0.022664273157715797,3.8499598503112793,0.028455734252929688,0,0,0,0,0.0004528324514832265,0.0004381502512842417,0.003171520307660103,3.8501474857330322,516.1716918945312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0047.jpg
dtd,8,8,0,18,0,0.02177167683839798,3.850083827972412,0.0007415413856506348,39,0,0.4287028908729553,2.030762195587158,0.4739360809326172,1,0,0,1,7,4,0,18,0,0.02176855131983757,3.8500709533691406,0.0015082359313964844,0,0,0,0,0.00045275127008140244,0.00043659337097778916,0.0035671680234372616,3.8501474857330322,516.3385009765625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0053.jpg
dtd,9,9,0,39,0,0.02255706675350666,3.8499605655670166,0.024802684783935547,39,0,0.9902474284172058,0.07984891533851624,5.616743087768555,0,0,0,0,7,4,0,39,0,0.022647561505436897,3.8499011993408203,0.02771449089050293,0,0,0,0,0.0004528628982615873,0.00043885226477868855,0.003949173726141453,3.850147247314453,516.4930419921875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0058.jpg
dtd,10,10,0,39,0,0.02216312475502491,3.8500237464904785,0.014299660921096802,39,0,0.9220702648162842,0.5000455975532532,4.092683792114258,0,0,0,0,7,4,0,39,0,0.02216990850865841,3.849996328353882,0.013593196868896484,0,0,0,0,0.00045280567728471,0.00043659383663907647,0.004354042001068592,3.850147247314453,516.6301879882812,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0062.jpg
dtd,11,11,0,39,0,0.022293945774435997,3.849985122680664,0.014144808053970337,39,0,0.9370998740196228,0.41246628761291504,4.11741828918457,0,0,0,0,7,4,0,39,0,0.022325897589325905,3.8499398231506348,0.013306140899658203,0,0,0,0,0.0004528406567964593,0.0004378985904622823,0.0047431704588234425,3.850147008895874,516.7581787109375,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0072.jpg
dtd,12,12,0,39,0,0.02203705534338951,3.8500399589538574,0.004592567682266235,39,0,0.7346749901771545,1.2083392143249512,1.8529853820800781,0,0,0,0,7,4,0,39,0,0.0220241229981184,3.850011110305786,0.00570988655090332,0,0,0,0,0.00045279099533182044,0.00043583838851191103,0.005134158302098513,3.850147247314453,516.8738403320312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0077.jpg
dtd,13,13,0,39,0,0.022370243445038795,3.8499696254730225,0.010777652263641357,39,0,0.9450755715370178,0.344101220369339,3.759096145629883,0,0,0,0,7,4,0,39,0,0.02241387590765953,3.849910259246826,0.010489940643310547,0,0,0,0,0.00045285469254534695,0.0004352386749815196,0.005531797185540199,3.850147247314453,516.9807739257812,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0078.jpg
dtd,14,14,0,39,0,0.022013235837221146,3.850041151046753,0.005524247884750366,39,0,0.8196254372596741,0.9591975808143616,2.7930374145507812,0,0,0,0,7,4,0,39,0,0.021986305713653564,3.8500237464904785,0.00532841682434082,0,0,0,0,0.00045278991579524995,0.0004367120855022222,0.005930420011281967,3.850147247314453,517.0825805664062,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0082.jpg
dtd,15,15,0,39,0,0.022783366963267326,3.849943161010742,0.03396347165107727,39,0,0.9960042834281921,0.036847565323114395,6.948652267456055,0,0,0,0,7,4,0,39,0,0.022911544889211655,3.8498895168304443,0.03477740287780762,0,0,0,0,0.00045287866229154646,0.00043784946319647133,0.0063162995502352715,3.850147247314453,517.1795654296875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0083.jpg
dtd,16,16,0,39,0,0.02250654436647892,3.8499858379364014,0.01661914587020874,39,0,0.9536135792732239,0.2782934904098511,3.7072525024414062,0,0,0,0,7,4,0,39,0,0.022577250376343727,3.849954605102539,0.021895885467529297,0,0,0,0,0.00045284000900316695,0.00043541830382309854,0.006715788040310144,3.850147247314453,517.2684326171875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0088.jpg
dtd,17,17,0,39,0,0.022110192105174065,3.850004196166992,0.013041585683822632,39,0,0.8469379544258118,0.8881841897964478,3.7092437744140625,0,0,0,0,7,4,0,39,0,0.02210157923400402,3.84997296333313,0.0061397552490234375,0,0,0,0,0.00045282338262578765,0.00043820260907523334,0.007096004672348499,3.850147008895874,517.3555297851562,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0089.jpg
dtd,18,18,0,30,0,0.022449063137173653,3.849956512451172,0.01404649019241333,30,0,0.8034089207649231,0.6358456611633301,1.5380840301513672,0,0,0,0,8,5,0,30,0,0.022515861317515373,3.849918842315674,0.017098188400268555,0,0,0,0,0.00045286656928804326,0.000436303234891966,0.0074796793051064014,3.850147008895874,517.4363403320312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0099.jpg
dtd,19,19,0,39,0,0.022811023518443108,3.849945306777954,0.03840816020965576,39,0,0.9979791045188904,0.019780753180384636,7.468564987182617,0,0,0,0,8,5,0,39,0,0.022933097556233406,3.8498964309692383,0.04413914680480957,0,0,0,0,0.0004528767187513478,0.0004354776465333998,0.00788261741399765,3.850147008895874,517.5125122070312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0100.jpg
dtd,20,20,0,39,0,0.022021766752004623,3.8500421047210693,0.005632758140563965,39,0,0.7079880833625793,1.5196408033370972,2.791534423828125,0,0,0,0,8,5,0,39,0,0.022010773420333862,3.850005626678467,0.004340648651123047,0,0,0,0,0.00045278905216784675,0.0004340109881013632,0.00822232011705637,3.850147247314453,517.5841064453125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0101.jpg
dtd,21,21,0,39,0,0.022531284019351006,3.8500382900238037,0.02960982918739319,39,0,0.9900756478309631,0.08664122968912125,6.479667663574219,0,0,0,0,8,5,0,39,0,0.022613661363720894,3.8499977588653564,0.032695770263671875,0,0,0,0,0.0004527925066873431,0.00043734986684285104,0.008577813394367695,3.850147008895874,517.6553955078125,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0105.jpg
dtd,22,22,0,39,0,0.02251744084060192,3.8500289916992188,0.02825149893760681,39,0,0.9704554080963135,0.2179321050643921,4.918792724609375,0,0,0,0,8,5,0,39,0,0.0225997157394886,3.8499927520751953,0.03057122230529785,0,0,0,0,0.00045280092718903307,0.00043548125540837646,0.008931727148592472,3.850147247314453,517.72216796875,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0107.jpg
dtd,23,23,0,39,0,0.02207089588046074,3.8500657081604004,0.0059840381145477295,39,0,0.8623154163360596,0.8012043237686157,3.5784854888916016,0,0,0,0,8,5,0,39,0,0.022059857845306396,3.850048065185547,0.004437446594238281,0,0,0,0,0.0004527676779145114,0.0004333635442890227,0.00930778868496418,3.850147247314453,517.7848510742188,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0113.jpg
dtd,24,24,0,39,0,0.022735849022865295,3.8499934673309326,0.03634101152420044,39,0,0.9950880408287048,0.0459761805832386,7.116275787353516,0,0,0,0,8,5,0,39,0,0.022857198491692543,3.849937915802002,0.04089760780334473,0,0,0,0,0.0004528330992657078,0.00043358359835110605,0.009674743749201298,3.850147247314453,517.8452758789062,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0119.jpg
dtd,25,25,0,39,0,0.022393271327018738,3.850034236907959,0.012640148401260376,39,0,0.950980544090271,0.3257864713668823,4.2612152099609375,0,0,0,0,8,5,0,39,0,0.02244027704000473,3.8499934673309326,0.01701498031616211,0,0,0,0,0.00045279617714318634,0.0004354382981546223,0.010050933808088303,3.850147247314453,517.90478515625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0121.jpg
dtd,26,26,0,39,0,0.02223999798297882,3.8500494956970215,0.023904740810394287,39,0,0.9302215576171875,0.48596879839897156,5.085390090942383,0,0,0,0,8,5,0,39,0,0.02226269617676735,3.850010871887207,0.023123502731323242,0,0,0,0,0.00045278235911132313,0.00043484976049512625,0.010412931442260742,3.8501474857330322,517.9619140625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0128.jpg
dtd,27,27,0,39,0,0.022302720695734024,3.8500185012817383,0.0070462822914123535,39,0,0.9306484460830688,0.4359184503555298,3.602853775024414,0,0,0,0,8,5,0,39,0,0.02233501709997654,3.849971055984497,0.00584864616394043,0,0,0,0,0.00045281042743021774,0.00043280929094180465,0.010787855833768845,3.8501479625701904,518.0158081054688,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0130.jpg
dtd,28,28,0,39,0,0.0228817667812109,3.849954128265381,0.03304243087768555,39,0,0.997414231300354,0.02459915354847908,7.281515121459961,0,0,0,0,8,5,0,39,0,0.023032626137137413,3.8498878479003906,0.04122591018676758,0,0,0,0,0.0004528687287292712,0.0004341959720477462,0.011143941432237625,3.8501477241516113,518.0687866210938,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0131.jpg
dtd,29,29,0,20,0,0.02207094244658947,3.8500099182128906,0.013073652982711792,20,0,0.5769906640052795,1.6614887714385986,1.072744369506836,0,0,0,0,9,5,0,20,0,0.022236304357647896,3.849919557571411,0.013102293014526367,0,0,0,0,0.0004528182005030815,0.00043276764336042106,0.011496429331600666,3.8501474857330322,518.1193237304688,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0133.jpg
dtd,30,30,0,39,0,0.022258805111050606,3.8500263690948486,0.013754963874816895,39,0,0.8738848567008972,0.672038733959198,2.727123260498047,0,0,0,0,9,5,0,39,0,0.02227688953280449,3.849998950958252,0.018253326416015625,0,0,0,0,0.00045280330223064274,0.0004340828745625913,0.011872733943164349,3.8501474857330322,518.1691284179688,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0137.jpg
dtd,31,31,0,39,0,0.022499216720461845,3.8500185012817383,0.014929920434951782,39,0,0.9809480905532837,0.14637058973312378,4.977869033813477,0,0,0,0,9,5,0,39,0,0.02256164699792862,3.8499813079833984,0.01965951919555664,0,0,0,0,0.00045281042743021774,0.0004332972748670727,0.012259041890501976,3.8501477241516113,518.217041015625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0138.jpg
dtd,32,32,0,39,0,0.022259462624788284,3.8500497341156006,0.01981419324874878,39,0,0.9444828629493713,0.3860534429550171,4.931507110595703,0,0,0,0,9,5,0,39,0,0.022283824160695076,3.8500142097473145,0.017988204956054688,0,0,0,0,0.0004527821432079212,0.00043387050391174853,0.01262359693646431,3.8501479625701904,518.2639770507812,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0139.jpg
dtd,33,33,0,39,0,0.022409068420529366,3.8499975204467773,0.014774799346923828,39,0,0.9112578630447388,0.5106070041656494,3.2526092529296875,0,0,0,0,9,5,0,39,0,0.022461529821157455,3.849949359893799,0.015085220336914062,0,0,0,0,0.00045282942851056646,0.000430592626798898,0.01298894826322794,3.850147247314453,518.3079223632812,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0144.jpg
dtd,34,34,0,39,0,0.02275555580854416,3.849973678588867,0.03213730454444885,39,0,0.9937487840652466,0.056121669709682465,6.731168746948242,0,0,0,0,9,5,0,39,0,0.02287447080016136,3.8499021530151367,0.040252685546875,0,0,0,0,0.0004528510216151663,0.0004292794328648597,0.013366668485105038,3.8501477241516113,518.35009765625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0145.jpg
dtd,35,35,0,39,0,0.02276056632399559,3.8499908447265625,0.03464856743812561,39,0,0.9978862404823303,0.02134036086499691,7.7781982421875,0,0,0,0,9,5,0,39,0,0.02287364937365055,3.849938154220581,0.038702964782714844,0,0,0,0,0.0004528354744760671,0.0004337549034971744,0.01374158076941967,3.850147247314453,518.3933715820312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0146.jpg
dtd,36,36,0,39,0,0.02255268767476082,3.8500289916992188,0.024684488773345947,39,0,0.9928112626075745,0.06316030025482178,6.454206466674805,0,0,0,0,9,5,0,39,0,0.02262190543115139,3.8499958515167236,0.031339406967163086,0,0,0,0,0.00045280092718903307,0.00043285865103825927,0.014129909686744213,3.8501477241516113,518.4351196289062,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0147.jpg
dtd,37,37,0,39,0,0.022863401100039482,3.8499250411987305,0.030175894498825073,39,0,0.995877742767334,0.0374862439930439,7.068952560424805,0,0,0,0,9,5,0,39,0,0.022983107715845108,3.8498733043670654,0.03794741630554199,0,0,0,0,0.00045289507474138483,0.0004333988472353667,0.01451915968209505,3.8501474857330322,518.4761352539062,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0150.jpg
dtd,38,38,0,39,0,0.022501669824123383,3.8499903678894043,0.02339598536491394,39,0,0.965302586555481,0.23266664147377014,4.49195671081543,0,0,0,0,9,5,0,39,0,0.022557994350790977,3.849942684173584,0.025012969970703125,0,0,0,0,0.0004528359063338346,0.0004320755833759904,0.014896420761942863,3.850147247314453,518.515625,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0152.jpg
dtd,39,39,0,39,0,0.02231452241539955,3.8500168323516846,0.02395029366016388,39,0,0.9371864795684814,0.42564645409584045,4.295587539672852,0,0,0,0,9,5,0,39,0,0.022332631051540375,3.849975109100342,0.018874645233154297,0,0,0,0,0.0004528119388506021,0.00043307646410539746,0.015275769867002964,3.850147247314453,518.5546264648438,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/banded/banded_0153.jpg
dtd,40,40,1,37,0,0.021965250372886658,3.8499627113342285,0.0015565156936645508,37,0,0.5171587467193604,2.158907890319824,2.071279525756836,0,0,0,0,10,5,0,32,0,0.022134996950626373,3.8498451709747314,0.0022721290588378906,1,0,0,1,0.0004528609547890404,0.0004295885737519711,0.015587246045470238,3.8501474857330322,518.59130859375,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/blotchy/blotchy_0003.jpg
dtd,41,41,1,21,0,0.022036341950297356,3.8499526977539062,0.0010242462158203125,21,0,0.5361354947090149,1.9814021587371826,1.6746330261230469,0,0,0,0,11,5,0,34,0,0.022205810993909836,3.8498339653015137,0.0014607906341552734,1,0,0,1,0.00045287002439895054,0.0004282780282665044,0.015925660729408264,3.850147247314453,518.6266479492188,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/blotchy/blotchy_0006.jpg
dtd,42,42,1,3,0,0.02195480279624462,3.850066900253296,0.013736844062805176,3,0,0.6647278666496277,1.791124939918518,2.7669105529785156,0,0,0,0,12,5,0,3,0,0.022135596722364426,3.849990129470825,0.015049934387207031,0,0,0,0,0.0004527665984335339,0.0004296175320632756,0.0162760429084301,3.8501474857330322,518.6618041992188,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/blotchy/blotchy_0016.jpg
dtd,43,43,1,37,0,0.021895481273531914,3.8500752449035645,0.008001387119293213,37,0,0.7506913542747498,1.372433066368103,2.8743534088134766,0,0,0,0,13,5,0,37,0,0.02194914221763611,3.850024461746216,0.004238128662109375,0,0,0,0,0.0004527590421387543,0.000429196486948058,0.016626236960291862,3.8501477241516113,518.6961059570312,1880,235,0.7319148778915405,0.6361702127659574,0.0957446651255831,/home/herrys/projects/AIP-Final-project/data/raw/DTD/dtd/dtd/images/blotchy/blotchy_0036.jpg
