dataset,method,subset,samples,mean_entropy,median_entropy,std_entropy,mean_confidence,median_confidence,std_confidence
caltech,clip,all,2465,4.60480369041706,4.604824066162109,0.00012414249921614986,0.011292696180120564,0.011327344924211502,0.00030885828481087564
caltech,clip,correct,2306,4.604805886590367,4.604826927185059,0.00012298779351438055,0.01130249123925025,0.011335452552884817,0.0003046522899909972
caltech,clip,wrong,159,4.604771838997895,4.604776859283447,0.00013588801761673148,0.011150637020667395,0.011217718943953514,0.0003335346988307688
caltech,tda,all,2465,0.16773736616261395,0.017091765999794006,0.35725171285831564,0.9547864092351457,0.9981999397277832,0.10573334807397224
caltech,tda,correct,2307,0.12963626738848755,0.013585840351879597,0.31395253755409824,0.9689785253642491,0.9985155463218689,0.08505094608290382
caltech,tda,wrong,158,0.7240616375038141,0.6611967980861664,0.47041060243689237,0.747563549046275,0.7539770603179932,0.15136744032043087
caltech,freetta,all,2465,0.342615798573726,0.10086023807525635,0.5426136158410966,0.9073293545183255,0.9856398105621338,0.15661581411727857
caltech,freetta,correct,2308,0.29308464353431646,0.08148324117064476,0.4931385889502599,0.9270922660220744,0.9887382388114929,0.13360183846910223
caltech,freetta,wrong,157,1.0707553261594407,0.7503095865249634,0.6938978846688217,0.6168019675714954,0.6267979741096497,0.18046370563093878
dtd,clip,all,1880,3.849977772793871,3.8499865531921387,6.227906960636049e-05,0.022322672759083673,0.02223564311861992,0.0004028863468311386
dtd,clip,correct,826,3.8499600347537393,3.8499696254730225,6.389781445816877e-05,0.022537723364033365,0.02248433232307434,0.00043695807741217664
dtd,clip,wrong,1054,3.849991673762703,3.8499999046325684,5.726084325813123e-05,0.022154141639834677,0.022105662152171135,0.0002743117753207356
dtd,tda,all,1880,1.5548104122334327,1.6180472373962402,0.9847171841404385,0.5924735404115091,0.5823416411876678,0.28718623863155557
dtd,tda,correct,849,1.0857282317700403,0.8612215518951416,0.9265074137703895,0.7307290392889432,0.8237729668617249,0.25943894390159056
dtd,tda,wrong,1031,1.9410866209758386,2.096247673034668,0.8549130004749491,0.4786239588916822,0.41917115449905396,0.25741753576212195
dtd,freetta,all,1880,1.5375258416377233,1.6347675919532776,0.9695754457205235,0.5787822004685059,0.545698344707489,0.2878172669768952
dtd,freetta,correct,875,1.081399649390984,0.8721970319747925,0.94332766797197,0.7157502041033336,0.8100355267524719,0.2730092906806575
dtd,freetta,wrong,1005,1.9346506358823965,2.1343724727630615,0.803084131833658,0.45953145103519827,0.39986252784729004,0.24395689495206796
eurosat,clip,all,8100,2.3024133003199543,2.30244243144989,0.000136927487686623,0.10275359212616343,0.10239895060658455,0.001552939989631959
eurosat,clip,correct,3923,2.3023577781164795,2.302354574203491,0.00012865574339936586,0.10361114048225491,0.10356748104095459,0.00152874950272548
eurosat,clip,wrong,4177,2.3024654462630307,2.302520275115967,0.00012327987896558186,0.10194819059373661,0.10160453617572784,0.001068781836768399
eurosat,tda,all,8100,0.9769408754481274,0.9827336370944977,0.5942246091681711,0.6517058283311349,0.6451096832752228,0.23976051832448236
eurosat,tda,correct,4320,0.77562771545275,0.6753417253494263,0.5994259281484227,0.7319531834477352,0.7933399975299835,0.23732512922287383
eurosat,tda,wrong,3780,1.2070130582999872,1.2491655945777893,0.49674704299487565,0.5599945653407347,0.5347802639007568,0.20746671408837683
eurosat,freetta,all,8100,0.8022896120238378,0.8431215882301331,0.5857242233719925,0.6929883118378527,0.6800225973129272,0.24604491076849924
eurosat,freetta,correct,4807,0.5115850066049518,0.2973381280899048,0.5130934047671101,0.8118582326296538,0.9345933198928833,0.21778901082894123
eurosat,freetta,wrong,3293,1.2266494778752148,1.2844597101211548,0.3951316409986998,0.519466383733939,0.49378952383995056,0.17009827123199525
imagenet,clip,all,10000,6.9073233842849735,6.907340049743652,0.00014421831222960046,0.0011474807055317797,0.0011470893514342606,3.375640791613619e-05
imagenet,clip,correct,6235,6.907314630384529,6.907331466674805,0.00014739302548582916,0.0011569637152476127,0.0011567719047889113,3.1857105635289405e-05
imagenet,clip,wrong,3765,6.90733788111612,6.907354354858398,0.00013758170186947444,0.0011317764384459314,0.0011304853251203895,3.082731251592577e-05
imagenet,tda,all,10000,1.1278405758944683,0.7757126092910767,1.0990690581862221,0.732178854002431,0.8096093535423279,0.2566334713262749
imagenet,tda,correct,6272,0.7331925287297747,0.39878934621810913,0.8563625561003779,0.8302090255090996,0.9263153076171875,0.20483591601859866
imagenet,tda,wrong,3728,1.7917978054591026,1.5930483937263489,1.1417294130424038,0.567252556875332,0.5742683112621307,0.25041319421263886
imagenet,freetta,all,10000,1.2273094448943593,0.9870037138462067,1.0350611747558633,0.6740889199081809,0.7110211849212646,0.26386057794437096
imagenet,freetta,correct,6272,0.850453347517844,0.6184186041355133,0.8261710678596775,0.7781235367072775,0.8637549877166748,0.22235657679317372
imagenet,freetta,wrong,3728,1.8613334370471233,1.6918853521347046,1.0414106237271632,0.49906072340497964,0.4787286967039108,0.23394309821558057
pets,clip,all,3669,3.6098244632092964,3.6099014282226562,0.00041119269472522456,0.03040820003392489,0.0303878765553236,0.000700281880546707
pets,clip,correct,3243,3.6098283741380786,3.609905242919922,0.00041169077514849323,0.030472930352485845,0.030440595000982285,0.0006784517034704051
pets,clip,wrong,426,3.609794690575398,3.6098694801330566,0.00040614829319185036,0.02991542908769678,0.029897240921854973,0.0006669337278166898
pets,tda,all,3669,0.4455486138679709,0.26485535502433777,0.453328337136782,0.8511815702933062,0.943175733089447,0.1844347422835072
pets,tda,correct,3254,0.36266024165017297,0.2110968381166458,0.38261769912773863,0.8875600937765364,0.9604209959506989,0.1511969664936667
pets,tda,wrong,415,1.0954733444624636,1.0286657810211182,0.4389929073504655,0.5659388825476888,0.5506078600883484,0.17247357915436903
pets,freetta,all,3669,0.43358168717048473,0.2592407464981079,0.4455255119873044,0.8513501380852244,0.9454332590103149,0.18596143630718576
pets,freetta,correct,3252,0.35170749084105457,0.19718505442142487,0.3764921868368114,0.8879887555962999,0.9619339406490326,0.15278750352686257
pets,freetta,wrong,417,1.0720826139410051,1.0170818567276,0.4255287839224677,0.5656216389341034,0.5473547577857971,0.17352107560553098
