dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
eurosat,539,539,0,7,0,0.1003006100654602,2.302581548690796,0.0005547404289245605,7,0,0.5872827172279358,1.4404494762420654,1.5751953125,0,0,0,0,26,13,0,9,0,0.10126011073589325,2.302563190460205,0.0054759979248046875,1,0,0,1,1.000017721673276e-05,9.534395758237224e-06,0.0047703878954052925,2.3025834560394287,522.0587768554688,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/AnnualCrop/AnnualCrop_2769.jpg
eurosat,36,36,0,3,0,0.100538469851017,2.3025801181793213,0.0020935237407684326,3,0,0.7827054858207703,0.9252550005912781,2.4577369689941406,0,0,0,0,13,3,0,8,0,0.10076851397752762,2.3025689125061035,0.001735687255859375,1,0,0,1,1.0000248743829842e-05,9.611626410332974e-06,0.00032800555345602334,2.3025848865509033,517.9981079101562,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/AnnualCrop/AnnualCrop_884.jpg
eurosat,1765,1765,1,9,0,0.10047481209039688,2.302579402923584,0.0010711252689361572,9,0,0.9345117211341858,0.35979321599006653,3.5534744262695312,0,0,0,0,29,16,0,9,0,0.10150522738695145,2.302537441253662,0.006295442581176758,0,0,0,0,1.0000284507570236e-05,9.304956620326266e-06,0.015367071144282818,2.30256986618042,524.3189697265625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Forest/Forest_1874.jpg
eurosat,4260,4260,5,3,0,0.10057348757982254,2.302579402923584,0.0016975998878479004,9,0,0.6593987941741943,1.1147187948226929,1.2468643188476562,1,0,0,1,30,18,0,9,0,0.10121679306030273,2.302555561065674,0.0033223628997802734,1,0,0,1,1.0000284507570236e-05,9.094722372537944e-06,0.035606011748313904,2.3025600910186768,526.738525390625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Pasture/Pasture_1574.jpg
eurosat,6946,6946,8,1,0,0.10043846815824509,2.302579402923584,0.001104116439819336,9,0,0.5001047253608704,1.6034847497940063,0.9921932220458984,1,0,0,1,30,18,0,6,0,0.10131310671567917,2.3025431632995605,0.00445556640625,1,0,0,1,1.0000284507570236e-05,8.81503274285933e-06,0.056936658918857574,2.302551031112671,528.6934204101562,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/River/River_220.jpg
eurosat,7682,7682,9,3,0,0.10062095522880554,2.3025784492492676,0.0026781558990478516,1,0,0.2891261577606201,1.750629186630249,0.0030422210693359375,1,0,0,1,30,20,0,0,0,0.10123474150896072,2.302558183670044,0.0021104812622070312,1,0,0,1,1.0000332192756385e-05,8.828147656458896e-06,0.06241060420870781,2.302541971206665,529.1891479492188,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/SeaLake/SeaLake_1308.jpg
eurosat,1080,1080,1,9,0,0.1007455587387085,2.3025779724121094,0.0019618868827819824,9,0,0.9708690047264099,0.18661783635616302,4.731250762939453,0,0,0,0,28,16,0,9,0,0.10201387852430344,2.3025548458099365,0.016121864318847656,0,0,0,0,1.0000356035434727e-05,9.408340702066198e-06,0.009446904994547367,2.302579402923584,523.3025512695312,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Forest/Forest_185.jpg
eurosat,4731,4731,5,2,0,0.10053453594446182,2.3025779724121094,0.0012386441230773926,9,0,0.6687835454940796,1.0326950550079346,1.2038078308105469,1,0,0,1,30,18,0,6,0,0.10126470774412155,2.30255126953125,0.0013432502746582031,1,0,0,1,1.0000356035434727e-05,8.991749382403214e-06,0.03941281884908676,2.3025588989257812,527.1083984375,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Pasture/Pasture_1252.jpg
eurosat,1489,1489,1,3,0,0.10071289539337158,2.3025777339935303,0.003181964159011841,9,0,0.3354412019252777,1.93989098072052,0.9062767028808594,1,0,0,1,28,16,0,6,0,0.10089405626058578,2.3025572299957275,0.00014352798461914062,1,0,0,1,1.0000367956795215e-05,9.491411219642032e-06,0.012965001165866852,2.3025739192962646,523.9480590820312,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Forest/Forest_184.jpg
eurosat,7821,7821,9,3,0,0.10069957375526428,2.3025777339935303,0.0038100481033325195,1,0,0.44471535086631775,1.562606692314148,0.6482162475585938,1,0,0,1,30,20,0,0,0,0.1011483296751976,2.302551746368408,0.0030803680419921875,1,0,0,1,1.0000367956795215e-05,8.729819455766119e-06,0.0634247362613678,2.3025403022766113,529.2816162109375,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/SeaLake/SeaLake_1459.jpg
eurosat,1341,1341,1,3,0,0.10052600502967834,2.302577495574951,0.0008379220962524414,9,0,0.9512931108474731,0.2770552337169647,3.7637939453125,1,0,0,1,28,16,0,9,0,0.10150007903575897,2.302537441253662,0.004992246627807617,1,0,0,1,1.0000379878169915e-05,9.282553037337493e-06,0.01168900914490223,2.3025760650634766,523.7305297851562,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Forest/Forest_175.jpg
eurosat,7587,7587,9,1,0,0.10072283446788788,2.302577495574951,0.004380255937576294,1,0,0.6828622817993164,1.029179573059082,1.5162239074707031,0,0,0,0,30,20,0,1,0,0.10125670582056046,2.3025436401367188,0.002029895782470703,0,0,0,0,1.0000379878169915e-05,8.722357961232774e-06,0.06172050163149834,2.3025431632995605,529.1256103515625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/SeaLake/SeaLake_2214.jpg
eurosat,6460,6460,8,1,0,0.1004800871014595,2.302577257156372,0.0005556046962738037,5,0,0.3116133213043213,1.5412909984588623,0.051067352294921875,1,0,0,1,30,18,0,6,0,0.10107914358377457,2.302539348602295,0.0012133121490478516,1,0,0,1,1.0000391799558824e-05,8.77020283951424e-06,0.05308530479669571,2.302556276321411,528.3615112304688,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/River/River_1699.jpg
eurosat,1736,1736,1,9,0,0.1007218211889267,2.3025763034820557,0.0034003257751464844,9,0,0.8186744451522827,0.7170159220695496,2.2877883911132812,0,0,0,0,29,16,0,9,0,0.10189630091190338,2.302525043487549,0.0075724124908447266,0,0,0,0,1.0000439485256583e-05,9.244778993888758e-06,0.015112414956092834,2.302570343017578,524.2818603515625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/Forest/Forest_1082.jpg
