dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
eurosat,2338,2338,2,2,1,0.1009025126695633,2.302560567855835,0.002126455307006836,2,1,0.3144303858280182,1.6998423337936401,0.07448768615722656,0,0,0,0,30,18,0,1,0,0.10087138414382935,2.3025503158569336,0.00077056884765625,1,0,1,0,3.162626678262432e-05,2.786972254398279e-05,0.06184577941894531,2.3026528358459473,524.9178466796875,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_2366.jpg
eurosat,6986,6986,8,8,1,0.1013653427362442,2.3025596141815186,0.001613020896911621,8,1,0.4590195417404175,1.234450340270996,0.10545921325683594,0,0,0,0,30,18,0,9,0,0.10168569535017014,2.302541494369507,0.00046753883361816406,1,0,1,0,3.1626402508128145e-05,2.3689779482083395e-05,0.16508592665195465,2.302600383758545,528.5299072265625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/River/River_197.jpg
eurosat,2344,2344,2,2,1,0.10065867006778717,2.3025543689727783,2.7745962142944336e-05,2,1,0.3322139382362366,1.7089656591415405,0.056640625,0,0,0,0,30,18,0,6,0,0.10084965080022812,2.3025457859039307,0.0014851093292236328,1,0,1,0,3.162714900881097e-05,2.740641139098443e-05,0.0619962140917778,2.3026528358459473,524.924072265625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1438.jpg
eurosat,2686,2686,2,2,1,0.10106722265481949,2.302551031112671,0.0028450489044189453,2,1,0.5630685687065125,1.4237662553787231,0.9686431884765625,0,0,0,0,30,18,0,0,0,0.10108327865600586,2.302535057067871,0.0009670257568359375,1,0,1,0,3.162762406387415e-05,2.7263682568445802e-05,0.07055436819791794,2.302669048309326,525.265380859375,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1825.jpg
eurosat,2235,2235,2,2,1,0.10112211108207703,2.3025410175323486,0.00013434886932373047,2,1,0.4423287808895111,1.3750457763671875,0.2668342590332031,0,0,0,0,30,18,0,1,0,0.10137812048196793,2.302522659301758,0.0025920867919921875,1,0,1,0,3.162904927187749e-05,2.7514199246070348e-05,0.05926930159330368,2.3026480674743652,524.80908203125,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1544.jpg
eurosat,2223,2223,2,2,1,0.10108159482479095,2.3025403022766113,0.0024985074996948242,2,1,0.38407182693481445,1.5471060276031494,0.051380157470703125,0,0,0,0,30,18,0,0,0,0.10106626898050308,2.302525758743286,0.00025153160095214844,1,0,1,0,3.162915107490663e-05,2.7584663257584907e-05,0.058964382857084274,2.302647352218628,524.7962646484375,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_773.jpg
eurosat,1896,1896,2,2,1,0.10096113383769989,2.3025400638580322,0.0007645189762115479,2,1,0.31413060426712036,1.7847599983215332,0.06740570068359375,0,0,0,0,30,16,0,0,0,0.10101109743118286,2.3025293350219727,0.001542806625366211,1,0,1,0,3.162918500932249e-05,2.8076672606403008e-05,0.050757162272930145,2.3026325702667236,524.4291381835938,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_2031.jpg
eurosat,6627,6627,8,8,1,0.10128863155841827,2.3025381565093994,0.0001316666603088379,8,1,0.44254061579704285,1.3018555641174316,0.1413421630859375,0,0,0,0,30,18,0,9,0,0.10178723186254501,2.302523374557495,0.0022916793823242188,1,0,1,0,3.1629456485960073e-05,2.3913351469673216e-05,0.15758724510669708,2.302586078643799,528.2953491210938,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/River/River_1374.jpg
eurosat,2660,2660,2,2,1,0.10110117495059967,2.302537679672241,0.0023270249366760254,2,1,0.6535629034042358,1.2149840593338013,1.3551883697509766,0,0,0,0,30,18,0,5,0,0.10113133490085602,2.3025197982788086,0.00046539306640625,1,0,1,0,3.1629524355483545e-05,2.7494355890667066e-05,0.06990668922662735,2.3026678562164307,525.2402954101562,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_297.jpg
eurosat,1942,1942,2,2,1,0.10102567821741104,2.302537202835083,0.00040265917778015137,2,1,0.5345662236213684,1.3990042209625244,1.0267219543457031,0,0,0,0,30,17,0,5,0,0.10128355026245117,2.302518844604492,0.0023391246795654297,1,0,1,0,3.162959222515265e-05,2.7913822123082355e-05,0.05191836506128311,2.3026347160339355,524.4830322265625,8100,50,0.7825925946235657,0.8980246913580247,-0.11543209673445898,/home/herrys/projects/AIP-Final-project/data/raw/EUROSAT/eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_28.jpg
