dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
eurosat,0,0,same_prediction_all,-30.116838,0.07134837,63.381523,0.9038643,-38.326714,-0.10615632
eurosat,1,1,both_wrong,-30.109053,0.069332376,64.35702,1.7915924,-38.327465,-0.11026962
eurosat,2,2,same_prediction_all,-30.070322,0.018058475,68.73665,-4.3839636,-38.326614,-0.17248614
eurosat,3,3,same_prediction_all,-30.090292,0.016529206,67.549805,-5.1509585,-38.327152,-0.17232668
eurosat,4,4,freetta_correct_tda_wrong,-30.331127,0.05057633,42.840534,-0.25262013,-38.32635,-0.12525629
eurosat,5,5,same_prediction_all,-30.0938,0.0076559493,67.98402,-6.3655496,-38.32705,-0.18164273
eurosat,6,6,same_prediction_all,-30.148256,0.03994368,60.57637,-1.640937,-38.326122,-0.14209248
eurosat,7,7,freetta_correct_tda_wrong,-30.197838,0.06753015,56.801983,1.6519992,-38.326656,-0.10802864
eurosat,8,8,same_prediction_all,-30.158634,0.045807317,60.223057,-0.764945,-38.326298,-0.13476089
eurosat,9,9,tda_correct_freetta_wrong,-30.08323,0.008245716,68.5758,-5.506586,-38.326126,-0.18065472
eurosat,10,10,freetta_correct_tda_wrong,-30.207474,0.055260062,55.164703,0.23583485,-38.326397,-0.1221567
eurosat,11,11,both_wrong,-30.188261,0.028162533,59.066055,-2.2408857,-38.32617,-0.15447526
eurosat,12,12,freetta_correct_tda_wrong,-30.275906,0.07212921,48.67068,2.3531382,-38.326862,-0.10061068
eurosat,13,13,same_prediction_all,-30.08881,0.037659094,68.278755,-2.446074,-38.3262,-0.14536768
eurosat,14,14,both_wrong,-30.197834,0.054855373,57.971016,-0.17696512,-38.326454,-0.122899145
eurosat,15,15,same_prediction_all,-30.095432,0.008035016,68.10075,-6.03839,-38.326466,-0.17999011
eurosat,16,16,same_prediction_all,-30.0685,0.014951219,71.26,-5.4419136,-38.326588,-0.172357
