dataset,bucket,count,rate
dtd,clip_wrong_tda_wrong_freetta_correct,22,0.011702127659574468
dtd,clip_wrong_tda_correct_freetta_wrong,65,0.034574468085106384
dtd,clip_correct_tda_wrong_freetta_correct,40,0.02127659574468085
dtd,clip_correct_tda_correct_freetta_wrong,4,0.002127659574468085
dtd,all_wrong,945,0.5026595744680851
pets,clip_wrong_tda_wrong_freetta_correct,32,0.00872172254020169
pets,clip_wrong_tda_correct_freetta_wrong,28,0.007631507222676479
pets,clip_correct_tda_wrong_freetta_correct,31,0.008449168710820387
pets,clip_correct_tda_correct_freetta_wrong,15,0.004088307440719542
pets,all_wrong,342,0.09321340964840556
