dataset,method,change_rate,beneficial_flip_count,harmful_flip_count,beneficial_flip_precision,harmful_flip_rate_on_clip_correct,avg_entropy_after_beneficial_flip,avg_entropy_after_harmful_flip
caltech,tda,0.011764705882352941,11,17,0.3793103448275862,0.007372072853425846,0.7998901876536283,0.7956358435399392
caltech,freetta,0.0,0,0,0.0,0.0,,
dtd,tda,0.12393617021276596,54,31,0.2317596566523605,0.03753026634382567,2.446560771376998,2.4978768171802646
dtd,freetta,0.0,0,0,0.0,0.0,,
eurosat,tda,0.41728395061728396,1120,747,0.33136094674556216,0.19041549834310476,1.4206710781635983,1.1794688920259795
eurosat,freetta,0.1380246913580247,257,120,0.2298747763864043,0.03058883507519755,2.3024407444297106,2.3023939311504362
imagenet,tda,0.0366,106,71,0.2896174863387978,0.011387329591018444,2.092846284497459,2.280156580495163
imagenet,freetta,0.0,0,0,0.0,0.0,,
pets,tda,0.03406922867266285,51,53,0.408,0.016342892383595438,1.0371593295359145,1.0638083613143776
pets,freetta,0.03979285908967021,50,60,0.3424657534246575,0.018501387604070305,3.609488830566406,3.6095696409543354
