dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
imagenet,8782,8782,878,878,1,0.0011054429924115539,6.907573699951172,0.0014452040195465088,878,1,0.4209989607334137,1.7083361148834229,0.1426067352294922,0,0,0,0,2793,1556,0,810,0,0.3092517852783203,1.9119300842285156,0.20698940753936768,1,0,1,0,0.2932118143422669,5.213290569372475e-05,1.1290278434753418,3.9194579124450684,0.362552734375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/878/13ccb984ddc31a992fc4e2d8fb8ca35080f4279c.jpeg
imagenet,8537,8537,853,853,1,0.0010878689354285598,6.907571792602539,0.003448009490966797,853,1,0.3424301743507385,3.1407625675201416,0.47602272033691406,0,0,0,0,2768,1536,0,690,0,0.3136497139930725,2.7670507431030273,0.12889671325683594,1,0,1,0,0.14835022852226343,3.3892240026034415e-05,1.1293396949768066,3.920417308807373,0.3621993408203125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/853/ec707269344409f5f36e5e06b0bb29d3cd06d2db.jpeg
imagenet,9707,9707,970,970,1,0.0010791684035211802,6.907553672790527,0.0003366619348526001,970,1,0.3360822796821594,3.2222514152526855,1.231973648071289,0,0,0,0,2927,1647,0,976,0,0.1723935753107071,3.173898935317993,0.056324005126953125,1,0,1,0,0.11589887496193242,3.620921415858902e-05,1.1279351711273193,3.9545459747314453,0.3637932434082031,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/970/baf80e6d9fe41c75ea1fed3f9a8f1ce5eae988d9.jpeg
imagenet,5142,5142,514,514,1,0.0010835162829607725,6.907533645629883,0.0009260773658752441,514,1,0.3363777697086334,2.933192253112793,1.0940780639648438,0,0,0,0,1887,994,0,502,0,0.18749558925628662,3.026952028274536,0.2800940275192261,1,0,1,0,0.13419453092472208,0.00023398437770083547,1.1308882236480713,3.835705280303955,0.36040057373046874,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/514/334ef05ea3a819f56477b0fad6cb7218620ba5e4.jpeg
imagenet,5320,5320,532,532,1,0.0011017466895282269,6.907533645629883,0.0005957186222076416,532,1,0.6237977743148804,1.5225214958190918,1.0084514617919922,0,0,0,0,1950,1035,0,762,0,0.44959527254104614,1.868706226348877,0.3128089904785156,1,0,1,0,0.3168483459942696,0.0009672846063040197,1.1314635276794434,3.841663360595703,0.3597690124511719,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/532/1b7029855369971622955c36d57caac9c3ce0b4a.jpeg
imagenet,8536,8536,853,853,1,0.0010838336311280727,6.907526969909668,0.0007764101028442383,853,1,0.27886253595352173,3.6177115440368652,0.9738788604736328,0,0,0,0,2768,1535,0,762,0,0.2053884118795395,3.431727886199951,0.10784721374511719,1,0,1,0,0.1156437989073184,4.587376315612346e-05,1.1293394565582275,3.9207000732421875,0.36219970703125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/853/b7cc0a954babc69709ffc97aacfb685a7060febc.jpeg
imagenet,4128,4128,412,412,1,0.001106035546399653,6.907521724700928,0.004646331071853638,412,1,0.6268395185470581,1.6746845245361328,1.358938217163086,0,0,0,0,1337,701,0,553,0,0.35463184118270874,2.243741750717163,0.1970386505126953,1,0,1,0,0.26776021041601816,0.0024425771553069353,1.0958784818649292,3.750430107116699,0.39625823974609375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/412/e76976ebd1364169d5156d5ff5371697d191b6bc.jpeg
imagenet,8415,8415,841,841,1,0.0011300516780465841,6.907513618469238,0.004592627286911011,841,1,0.8515535593032837,0.5652934908866882,1.9136466979980469,0,0,0,0,2755,1527,0,474,0,0.47630995512008667,1.0033237934112549,0.002935349941253662,1,0,1,0,0.5372992866364943,0.00012582351337186992,1.1294561624526978,3.925135374069214,0.36206640625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/841/8852f0a56d0e6b81c1d7455c6b887f077b63c4e4.jpeg
imagenet,4816,4816,481,481,1,0.001107638468965888,6.907511234283447,0.002825021743774414,481,1,0.6890738010406494,1.467984914779663,1.7345600128173828,0,0,0,0,1718,906,0,848,0,0.386690616607666,1.9910095930099487,0.30121803283691406,1,0,1,0,0.25690197400391185,0.0006603844230994582,1.1287944316864014,3.822338104248047,0.3627017822265625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/481/ad5670e2017251512249cfed6a43762371b3f03a.jpeg
imagenet,8793,8793,879,879,1,0.0011080942349508405,6.907504558563232,0.0046406090259552,879,1,0.7346368432044983,1.3394975662231445,2.1223487854003906,0,0,0,0,2794,1557,0,433,0,0.31490039825439453,2.119034767150879,0.11846542358398438,1,0,1,0,0.27693117353561725,7.633106724824756e-05,1.1290119886398315,3.919434070587158,0.3625708312988281,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/879/5bc9b7dc38c3b9d83106884553221d7b6d0a0e33.jpeg
imagenet,6639,6639,663,663,1,0.0010944937821477652,6.907502174377441,0.0027855783700942993,663,1,0.15509019792079926,3.1804652214050293,0.002849578857421875,0,0,0,0,2395,1283,0,698,0,0.2620232403278351,2.5200178623199463,0.15307998657226562,1,0,1,0,0.18220452207803556,9.092446271097288e-05,1.13156259059906,3.911965847015381,0.3596783447265625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/663/a6b167936808a20fb2ed3b00df100aa36dd02bf0.jpeg
imagenet,4574,4574,457,457,1,0.001093743834644556,6.907498836517334,0.0022376179695129395,457,1,0.4738022983074188,2.5030581951141357,1.4328727722167969,0,0,0,0,1579,829,0,748,0,0.21734902262687683,2.8378171920776367,0.053066253662109375,1,0,1,0,0.16291596177081508,0.0005107033648528159,1.1229939460754395,3.8060901165008545,0.36889306640625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/457/5bc6b03d84c5072a6434fbd60839c3b86ef490fc.jpeg
imagenet,4601,4601,460,460,1,0.0011106188176199794,6.9074907302856445,0.0018744468688964844,460,1,0.6443718671798706,1.4366071224212646,1.2913665771484375,0,0,0,0,1595,837,0,718,0,0.3711303472518921,1.7624578475952148,0.1110801100730896,1,0,1,0,0.32312950015004627,0.00044938724022358656,1.1231849193572998,3.8046042919158936,0.3687237548828125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/460/602d836a1aaf61a8f2bf3641e50703fc39918c42.jpeg
imagenet,9196,9196,919,919,1,0.0010909631382673979,6.907483100891113,5.167722702026367e-05,919,1,0.2172311395406723,3.3844804763793945,0.6624393463134766,0,0,0,0,2834,1597,0,707,0,0.20142580568790436,3.0442166328430176,0.0373992919921875,1,0,1,0,0.13672001282281615,3.8317590224323794e-05,1.1285171508789062,3.9164042472839355,0.3631300048828125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/919/a6416fe2915ee5784d502f337978ffd63ba365d6.jpeg
imagenet,6548,6548,654,654,1,0.0011291076662018895,6.907458305358887,0.0001220405101776123,654,1,0.3603244721889496,1.7645552158355713,0.17520523071289062,0,0,0,0,2368,1266,0,757,0,0.32826149463653564,1.6034891605377197,0.04524040222167969,1,0,1,0,0.3795082526153629,0.00019129399152006954,1.1316534280776978,3.9112329483032227,0.3595740966796875,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/654/f3ac4118b4f00f94f0991cc0b05e948352cb84ad.jpeg
imagenet,5388,5388,538,538,1,0.0010739067802205682,6.907443523406982,0.00020524859428405762,538,1,0.11744258552789688,4.556473731994629,0.04805755615234375,0,0,0,0,1973,1045,0,580,0,0.1348307579755783,4.420139312744141,0.1241304874420166,1,0,1,0,0.06521459394442432,0.0002144485479220748,1.1316919326782227,3.8466086387634277,0.35951153564453125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/538/eee0d8318c82a2bf8d61d49cff81282d353b3b99.jpeg
imagenet,4883,4883,488,488,1,0.0011503110872581601,6.907439708709717,0.005904108285903931,488,1,0.773412823677063,0.694711446762085,1.3935737609863281,0,0,0,0,1756,927,0,679,0,0.4887579679489136,0.994834303855896,0.0835990309715271,1,0,1,0,0.5556762863609174,0.000373315328033641,1.1294455528259277,3.8241591453552246,0.3619796142578125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/488/81ed97c1acfe98604b89ca0074100e817344e284.jpeg
imagenet,6087,6087,608,608,1,0.0011128843761980534,6.907439231872559,0.0007015466690063477,608,1,0.7027915120124817,1.259523630142212,1.3767375946044922,0,0,0,0,2228,1186,0,464,0,0.42074015736579895,1.548628568649292,0.022106170654296875,1,0,1,0,0.33555770798358575,0.00017502988339401782,1.1320672035217285,3.891627311706543,0.35910348510742185,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/608/b7a741c8fb7c1c6764395549bfd0ec300284b72e.jpeg
imagenet,6126,6126,612,612,1,0.0011325250379741192,6.907437801361084,0.0036512911319732666,612,1,0.467008113861084,1.6007130146026611,0.5483436584472656,0,0,0,0,2242,1197,0,870,0,0.36682650446891785,1.5251895189285278,0.03255283832550049,1,0,1,0,0.3924712758529099,0.00013532543380279094,1.1319947242736816,3.892169713973999,0.3591866455078125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/612/84c429b9570278de69659a8b4b8ac8344effa89a.jpeg
imagenet,4329,4329,432,432,1,0.001147505478002131,6.907436370849609,0.0008338391780853271,432,1,0.4067550301551819,1.6089186668395996,0.3638725280761719,0,0,0,0,1446,755,0,683,0,0.34293800592422485,1.599380612373352,0.01631927490234375,1,0,1,0,0.39525450592317213,0.0007541370578110218,1.1137776374816895,3.7871036529541016,0.37857171630859376,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/432/e0c1adcab37e1ab08495f7e8f87d0cfa5557781f.jpeg
imagenet,9492,9492,949,949,1,0.0011081123957410455,6.907432556152344,0.0009667575359344482,949,1,0.7047539949417114,1.4930994510650635,1.9643211364746094,0,0,0,0,2906,1635,0,868,0,0.3734142482280731,2.0816233158111572,0.2343463897705078,1,0,1,0,0.25162248771715934,8.196603448595852e-05,1.128219723701477,3.9377641677856445,0.3634677734375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/949/0e59df06d431c49c368d9916fd4c360e28d6e8aa.jpeg
imagenet,1713,1713,171,171,1,0.0011204645270481706,6.9074296951293945,0.0007298886775970459,171,1,0.4685494601726532,1.6215713024139404,0.5233726501464844,0,0,0,0,623,322,0,253,0,0.27944737672805786,1.9195622205734253,0.04627978801727295,1,0,1,0,0.31758310497882747,0.0005379064241424203,0.9438138008117676,3.510479688644409,0.5211461791992188,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/171/21b02609b854f8fad857368ea732ec3c05996f6f.jpeg
imagenet,5615,5615,561,561,1,0.0011116929817944765,6.907417297363281,0.002877533435821533,561,1,0.22128018736839294,2.7433407306671143,0.3617820739746094,0,0,0,0,2053,1089,0,730,0,0.199317067861557,2.5695791244506836,0.04142189025878906,1,0,1,0,0.21041374489502376,0.000484731252072379,1.1317341327667236,3.8599133491516113,0.35947384643554686,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/561/d4ea02f1bd7349245f116656a6fd91e1acea082b.jpeg
imagenet,7109,7109,710,710,1,0.0011189243523404002,6.907415866851807,0.0008447170257568359,710,1,0.4564368426799774,1.7286396026611328,0.6439151763916016,0,0,0,0,2487,1349,0,859,0,0.308816522359848,1.8731694221496582,0.12871170043945312,1,0,1,0,0.3117346581604296,0.0002629108203109354,1.1309436559677124,3.911478281021118,0.36038092041015624,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/710/f172886b4eec78946cb2b7a4dfdb2aa27e4694ee.jpeg
imagenet,5074,5074,507,507,1,0.0011587757617235184,6.907398223876953,0.0015488266944885254,507,1,0.6914795637130737,0.6933592557907104,0.8456344604492188,0,0,0,0,1853,977,0,695,0,0.4941402077674866,0.7983951568603516,0.009685516357421875,1,0,1,0,0.6179943730057953,0.0004606743750628084,1.1308711767196655,3.8318400382995605,0.36041390991210936,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/507/74c01272d252d452704ee53f272aa8a9cc1c5c49.jpeg
imagenet,486,486,48,48,1,0.0011508804745972157,6.907391548156738,0.0008005797863006592,48,1,0.42219313979148865,1.3158950805664062,0.07532882690429688,0,0,0,0,175,79,0,39,0,0.35822200775146484,1.420112133026123,0.034336090087890625,1,0,1,0,0.4256715833450369,0.0001293206587433815,0.6216351389884949,2.9832186698913574,0.7370202026367187,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/48/b7883a53ab70a381b3a061bb1c009613d926f22b.jpeg
imagenet,2250,2250,225,225,1,0.001116977189667523,6.907391548156738,0.00015845894813537598,225,1,0.46722057461738586,2.0836358070373535,1.2295951843261719,0,0,0,0,812,443,0,159,0,0.2547585368156433,2.5235249996185303,0.24300384521484375,1,0,1,0,0.22890257123253405,0.00025109341368079185,0.9837064743041992,3.401751756668091,0.49177194213867187,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/225/08cb382c5540c9b4214873fba79cb6d257ef5ab1.jpeg
imagenet,6026,6026,602,602,1,0.001134228426963091,6.9073896408081055,0.0017185211181640625,602,1,0.5338134169578552,1.2026398181915283,0.3478374481201172,0,0,0,0,2209,1174,0,702,0,0.4571845531463623,1.2374194860458374,0.02962493896484375,1,0,1,0,0.4846104107054102,0.00016874665743671358,1.1320679187774658,3.888613224029541,0.3591013488769531,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/602/702603afea2a69018c320c056c8690dc71ee669b.jpeg
imagenet,4878,4878,487,487,1,0.0011370425345376134,6.90738582611084,0.00018477439880371094,487,1,0.6544747948646545,1.1100624799728394,1.051534652709961,0,0,0,0,1752,925,0,761,0,0.440630167722702,1.426905632019043,0.21813195943832397,1,0,1,0,0.4172203789155537,0.000677002128213644,1.1294296979904175,3.823477029800415,0.36199713134765626,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/487/c263e2d89fb36c896e9367d1f1616c700911f024.jpeg
imagenet,5493,5493,549,549,1,0.0011390279978513718,6.907377243041992,0.01071929931640625,549,1,0.8264724612236023,0.7527689933776855,2.307300567626953,0,0,0,0,2010,1069,0,709,0,0.35733744502067566,1.5125718116760254,0.11552047729492188,1,0,1,0,0.4579454823789379,0.00037185498513281345,1.1319561004638672,3.8492040634155273,0.3592174072265625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/549/4c501a908612799a97c5fb13d29918afde855cab.jpeg
imagenet,6016,6016,601,601,1,0.0010960542131215334,6.907375335693359,0.00017529726028442383,601,1,0.21231834590435028,3.7889323234558105,0.3836631774902344,0,0,0,0,2209,1174,0,689,0,0.27682599425315857,3.071289300918579,0.16542625427246094,1,0,1,0,0.13808255575928854,0.00010913295409409329,1.1320836544036865,3.888766288757324,0.35908349609375,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/601/d9ab21b251aedb6b2565ba314c6fa6363fb8f670.jpeg
imagenet,7271,7271,727,727,1,0.001167965936474502,6.90737247467041,0.004936248064041138,727,1,0.8046234250068665,0.5589938163757324,1.4800529479980469,0,0,0,0,2538,1377,0,538,0,0.49534884095191956,0.8056235909461975,0.017589569091796875,1,0,1,0,0.6204017714484351,0.0003287555300630629,1.130675196647644,3.9234509468078613,0.3606851806640625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/727/65e87715edf3e14ae0bb44822e4cd6827121913e.jpeg
imagenet,5182,5182,518,518,1,0.001114765997044742,6.907369136810303,0.0009895563125610352,518,1,0.5613059997558594,1.7264220714569092,0.8658390045166016,0,0,0,0,1902,1004,0,751,0,0.40239229798316956,1.8444061279296875,0.09663009643554688,1,0,1,0,0.2893380345840764,0.0006234928732737899,1.1309672594070435,3.8344779014587402,0.360314453125,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/518/1fb2a3adae999b954ba608ae652124bc433a6427.jpeg
imagenet,5508,5508,550,550,1,0.0011278531746938825,6.907367706298828,0.00014823675155639648,550,1,0.5230242609977722,1.5016448497772217,0.8661422729492188,0,0,0,0,2015,1074,0,967,0,0.3305184841156006,1.733007550239563,0.18180835247039795,1,0,1,0,0.3398731415825012,0.0001766877103364095,1.1319299936294556,3.850250720977783,0.35924789428710935,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/550/b457490c638954ca177ecf726584fba121331c8e.jpeg
imagenet,15,15,1,1,1,0.0011337656760588288,6.907365798950195,0.00029012560844421387,1,1,0.5417815446853638,1.370578646659851,0.7752494812011719,0,0,0,0,7,4,0,392,0,0.44981032609939575,1.1952697038650513,0.15065765380859375,1,0,1,0,0.4134219514281155,0.004548812285065651,0.08822479844093323,1.6293331384658813,0.9772431640625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/1/6dad81ab7e7b48efeb17b751a4e3ad716651c4fe.jpeg
imagenet,9312,9312,931,931,1,0.001129716169089079,6.907365798950195,0.0007535815238952637,931,1,0.6898695826530457,0.8749020099639893,0.9261684417724609,0,0,0,0,2855,1613,0,933,0,0.4767945408821106,1.0084078311920166,0.001895904541015625,1,0,1,0,0.4913763342507801,0.000335367803927511,1.1284892559051514,3.9201486110687256,0.36316033935546876,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/931/2784b09c3dd6afe9e1d0f5f96aa4e4be101e0a03.jpeg
