dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
imagenet,7086,7086,708,708,1,0.0011015579802915454,6.907510280609131,0.002659827470779419,557,0,0.3606577515602112,2.518764019012451,0.13666343688964844,1,0,1,0,2481,1343,0,708,1,0.42043137550354004,2.0343384742736816,0.19276821613311768,0,0,0,0,0.2316529426317119,8.425501437159255e-05,1.1309808492660522,3.913710594177246,0.36033856201171877,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/708/ca7ab8e0c7c50e33fbf625464b5273576104a22f.jpeg
imagenet,6894,6894,689,689,1,0.001121637295000255,6.9074859619140625,1.5288591384887695e-05,578,0,0.4753483235836029,1.7694454193115234,0.4900016784667969,1,0,1,0,2449,1319,0,689,1,0.4313022494316101,1.4137804508209229,0.03269195556640625,0,0,0,0,0.3937403346372227,6.815214874222875e-05,1.1311819553375244,3.916897773742676,0.36011041259765625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/689/768d7dca67858b4e549298319bdb3dfb45cd6ed1.jpeg
imagenet,7929,7929,792,792,1,0.0010973317548632622,6.907476902008057,0.0020118355751037598,977,0,0.270294189453125,2.787341356277466,0.37193870544433594,1,0,1,0,2662,1464,0,792,1,0.25521814823150635,2.6156601905822754,0.1326465606689453,0,0,0,0,0.18461099535832168,0.00014554693188983947,1.1300451755523682,3.924008369445801,0.3613987731933594,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/792/f939923e8f382fb2b29bbb9a76a09e54809cb6a5.jpeg
imagenet,4977,4977,497,497,1,0.0011213889811187983,6.907473564147949,0.0021506845951080322,442,0,0.4367499053478241,1.6887733936309814,0.17302513122558594,1,0,1,0,1798,947,0,497,1,0.43344202637672424,1.27373206615448,0.012073516845703125,0,0,0,0,0.43252475131178364,0.0002616284182295203,1.1298083066940308,3.827739715576172,0.36158074951171876,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/497/9e713100d35c7e707cf7e2be5d2c000ac89c8b55.jpeg
imagenet,4729,4729,472,472,1,0.0011231991229578853,6.907451629638672,0.0019069314002990723,693,0,0.4318962097167969,1.3915185928344727,0.009424209594726562,1,0,1,0,1665,872,0,472,1,0.47856205701828003,1.2577900886535645,0.17417138814926147,0,0,0,0,0.3831854357252004,0.0002237243897980079,1.1260442733764648,3.819361448287964,0.36565533447265625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/472/dfa796b6339d0e4b052841d17bd31a53dc6b9102.jpeg
imagenet,7189,7189,718,718,1,0.0010970721486955881,6.9074506759643555,0.002414613962173462,143,0,0.1892002373933792,3.234152317047119,0.33907127380371094,1,0,1,0,2510,1362,0,718,1,0.2548213601112366,2.7193310260772705,0.5006521940231323,0,0,0,0,0.15931145934148186,3.208464113413356e-05,1.1307927370071411,3.9183454513549805,0.360551025390625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/718/f0a22a16b0ead28b7e18629482487e45b05ba706.jpeg
imagenet,4973,4973,497,497,1,0.001134448335506022,6.907445907592773,0.0007235109806060791,442,0,0.5419594049453735,1.1103533506393433,0.34148216247558594,1,0,1,0,1797,947,0,497,1,0.4808278977870941,0.9736354947090149,0.04555511474609375,0,0,0,0,0.5429779442419439,0.00023186962062027305,1.1297986507415771,3.82844614982605,0.3615911560058594,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/497/659ee2333a47fc6d9d7a812230179a78477cceb7.jpeg
imagenet,8888,8888,888,888,1,0.0011468386510387063,6.907426357269287,0.002061396837234497,466,0,0.49464014172554016,0.9441587924957275,0.07205390930175781,1,0,1,0,2797,1564,0,888,1,0.6033549308776855,0.8680057525634766,0.5260657072067261,0,0,0,0,0.5755535970276989,7.133483450161293e-05,1.1288708448410034,3.9196038246154785,0.3627301025390625,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/888/edb2e8dc5243c56a1c075612ac2f6bbe74278245.jpeg
imagenet,6125,6125,612,612,1,0.0011285619111731648,6.90742301940918,0.00026026368141174316,690,0,0.4818376898765564,1.0068272352218628,0.016637802124023438,1,0,1,0,2242,1197,0,612,1,0.594569742679596,0.9025732278823853,0.4734230637550354,0,0,0,0,0.5214228741274741,0.00021719206415582448,1.1319917440414429,3.89227294921875,0.35918988037109373,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/612/5880ec9120e0daa10f9d2ca9586af8a39a9c83dc.jpeg
imagenet,5115,5115,511,511,1,0.0010867042001336813,6.907413005828857,0.0007505416870117188,251,0,0.1630239337682724,3.9662299156188965,0.23423385620117188,1,0,1,0,1873,986,0,511,1,0.19027234613895416,3.7209982872009277,0.4996833801269531,0,0,0,0,0.10143715122231893,0.0001805049687391147,1.1309382915496826,3.835747241973877,0.3603416137695313,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/511/6cbdaa9e5da6a4950d7e1f8dfd3ac1d9676bcb9f.jpeg
imagenet,6634,6634,663,663,1,0.0011338320327922702,6.907411098480225,0.0021355748176574707,884,0,0.5299150943756104,1.467746376991272,0.7236309051513672,1,0,1,0,2395,1283,0,663,1,0.43421471118927,1.33437979221344,0.13568115234375,0,0,0,0,0.4228356052491879,0.0002271040139021352,1.131561040878296,3.9123408794403076,0.3596800231933594,10000,5000,0.8271999955177307,0.4189,0.4082999955177307,/home/herrys/projects/AIP-Final-project/data/raw/IMAGENET/imagenetv2-matched-frequency-format-val/663/3e9eb521b276d902425748a8d2eab5a51f5bf860.jpeg
