dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
imagenet,0,0,same_prediction_all,-103.69828,2.2492316,329.37964,-19.446707,-326.08582,-1.692856
imagenet,1,1,both_wrong,-103.32348,2.1307595,367.13345,-31.442627,-326.09247,-1.8444029
imagenet,2,2,same_prediction_all,-103.36707,1.9506347,362.78195,-49.429466,-326.09018,-2.0596201
imagenet,3,3,same_prediction_all,-103.368195,2.3691237,362.6787,-7.5821037,-326.09116,-1.5574017
imagenet,4,4,same_prediction_all,-102.60599,2.1611025,438.89127,-28.38076,-326.09116,-1.8230081
imagenet,5,5,same_prediction_all,-102.9265,2.2080925,406.85028,-23.685165,-326.08752,-1.7598208
imagenet,6,6,same_prediction_all,-103.29484,2.4438052,369.99042,-0.10699981,-326.09076,-1.4693384
imagenet,7,7,same_prediction_all,-102.45382,2.233025,454.10214,-21.187647,-326.08456,-1.7397707
imagenet,8,8,same_prediction_all,-102.75276,2.232996,424.17657,-21.17725,-326.10342,-1.7338275
imagenet,9,9,same_prediction_all,-102.57897,2.1088474,441.58206,-33.599792,-326.08572,-1.8861545
imagenet,10,10,same_prediction_all,-102.77162,2.2648726,422.3249,-18.001637,-326.0926,-1.6950197
imagenet,11,11,same_prediction_all,-102.670135,2.2397902,432.48438,-20.515053,-326.099,-1.7272925
imagenet,12,12,same_prediction_all,-102.717766,2.3848734,427.70932,-6.00073,-326.09964,-1.5522555
imagenet,13,13,same_prediction_all,-102.68049,2.233582,431.45258,-21.138275,-326.0967,-1.7346228
imagenet,14,14,same_prediction_all,-102.32957,2.3101633,466.54593,-13.478782,-326.0947,-1.649975
imagenet,15,15,same_prediction_all,-102.93059,2.1602244,406.42203,-28.465225,-326.09512,-1.8173424
imagenet,16,16,same_prediction_all,-102.06161,2.156774,493.34058,-28.816273,-326.09677,-1.8397316
imagenet,17,17,same_prediction_all,-102.402626,2.3708405,459.20526,-7.399105,-326.1018,-1.5757439
imagenet,18,18,same_prediction_all,-102.4536,2.266586,454.14304,-17.836508,-326.0957,-1.6997765
imagenet,19,19,same_prediction_all,-102.60198,2.2988896,439.28284,-14.598857,-326.0971,-1.6578354
imagenet,20,20,same_prediction_all,-101.692184,2.5027463,530.2465,5.814322,-326.09644,-1.4322895
imagenet,21,21,same_prediction_all,-102.126236,2.402568,486.8505,-4.2003455,-326.0851,-1.543128
imagenet,22,22,same_prediction_all,-102.80312,2.3442335,419.16284,-10.0294285,-326.0932,-1.5991582
imagenet,23,23,same_prediction_all,-102.79152,2.5547678,420.3259,11.020341,-326.09512,-1.3467779
imagenet,24,24,same_prediction_all,-103.22586,2.3978539,376.88983,-4.6714606,-326.08987,-1.5258522
imagenet,25,25,both_wrong,-103.21019,2.2153025,378.46796,-22.945724,-326.09012,-1.7452906
imagenet,26,26,both_wrong,-103.08074,2.391729,391.41556,-5.30405,-326.0886,-1.5362531
imagenet,27,27,same_prediction_all,-102.87929,2.482125,411.5253,3.739034,-326.0998,-1.4321443
imagenet,28,28,same_prediction_all,-103.07311,2.356288,392.17557,-8.826554,-326.08417,-1.5788122
imagenet,29,29,same_prediction_all,-103.08035,2.5246906,391.43573,8.010598,-326.09204,-1.3767927
imagenet,30,30,same_prediction_all,-102.877205,2.290027,411.78058,-15.472193,-326.08752,-1.6625729
imagenet,31,31,both_wrong,-102.713524,2.2432184,428.15402,-20.14867,-326.08542,-1.7221165
imagenet,32,32,both_wrong,-101.708405,2.201678,528.6128,-24.325262,-326.10043,-1.7932687
imagenet,33,33,same_prediction_all,-102.804276,2.1858547,419.06573,-25.874458,-326.0895,-1.7891132
imagenet,34,34,same_prediction_all,-102.96564,2.3182282,402.89905,-12.638192,-326.09125,-1.6268861
imagenet,35,35,both_wrong,-102.40689,2.3567567,458.7967,-8.778244,-326.0909,-1.5923458
imagenet,36,36,same_prediction_all,-102.7166,2.399583,427.80826,-4.5007,-326.09033,-1.5345109
imagenet,37,37,same_prediction_all,-102.58033,2.278874,441.4653,-16.56695,-326.08926,-1.6821759
imagenet,38,38,both_wrong,-102.36092,2.276411,463.36313,-16.807133,-326.09326,-1.6897733
imagenet,39,39,same_prediction_all,-102.61393,2.3697557,438.1013,-7.4790254,-326.09073,-1.5724548
imagenet,40,40,both_wrong,-102.235146,2.3801527,475.91617,-6.4326057,-326.08755,-1.5678666
imagenet,41,41,same_prediction_all,-102.77057,2.5119338,422.3962,6.7424474,-326.10287,-1.3987303
imagenet,42,42,same_prediction_all,-102.79986,2.2190397,419.48672,-22.542614,-326.09055,-1.7494057
imagenet,43,43,same_prediction_all,-102.64215,2.2318816,435.22183,-21.26288,-326.0966,-1.7374226
imagenet,44,44,both_wrong,-103.58724,2.4015381,340.6778,-4.296612,-326.1,-1.5140195
imagenet,45,45,same_prediction_all,-102.36688,2.232507,462.74493,-21.205877,-326.0931,-1.7422869
imagenet,46,46,both_wrong,-102.238106,2.1240418,475.64685,-32.093555,-326.094,-1.8752483
imagenet,47,47,same_prediction_all,-103.27626,2.2952373,371.8188,-14.932829,-326.09512,-1.648018
imagenet,48,48,same_prediction_all,-102.74639,2.3380704,424.8355,-10.647982,-326.09158,-1.6076908
imagenet,49,49,same_prediction_all,-102.5837,2.3433616,441.0824,-10.134554,-326.09528,-1.6048315
imagenet,50,50,both_wrong,-102.4905,1.7881681,450.39264,-65.68677,-326.10052,-2.273116
imagenet,51,51,same_prediction_all,-102.33694,2.0174952,465.7715,-42.752346,-326.10028,-2.0011408
imagenet,52,52,both_wrong,-102.99851,1.8847296,399.597,-56.04562,-326.09302,-2.146453
imagenet,53,53,same_prediction_all,-103.26566,1.7261876,372.87094,-71.88071,-326.09824,-2.331161
imagenet,54,54,same_prediction_all,-102.61206,1.9665134,438.25824,-47.86474,-326.09717,-2.0565236
imagenet,55,55,both_wrong,-102.71722,2.0148544,427.7185,-43.023613,-326.09018,-1.9961176
imagenet,56,56,same_prediction_all,-102.60529,2.0080981,438.96704,-43.723225,-326.09824,-2.0067601
imagenet,57,57,both_wrong,-102.290436,2.0956357,470.42612,-34.95873,-326.10245,-1.9083549
imagenet,58,58,same_prediction_all,-103.55838,1.8267571,343.61606,-61.82511,-326.09457,-2.2043068
imagenet,59,59,same_prediction_all,-102.64963,1.8715099,434.52036,-57.3759,-326.0935,-2.169573
imagenet,60,60,same_prediction_all,-101.28294,2.325749,571.16864,-11.943481,-326.09402,-1.653244
imagenet,61,61,both_wrong,-102.801315,2.0527248,419.35196,-39.248703,-326.0942,-1.9489242
imagenet,62,62,both_wrong,-101.54485,2.1593976,544.9418,-28.543182,-326.10574,-1.8475875
imagenet,63,63,both_wrong,-102.63635,1.8315053,435.81335,-61.358566,-326.09784,-2.2179484
imagenet,64,64,same_prediction_all,-101.78347,2.0421176,521.10223,-40.303368,-326.09824,-1.9831283
imagenet,65,65,same_prediction_all,-102.26742,2.2936578,472.72192,-15.149571,-326.09348,-1.6710862
imagenet,66,66,same_prediction_all,-102.10719,2.1213536,488.73575,-32.387245,-326.08646,-1.8811162
imagenet,67,67,both_wrong,-102.943535,2.1471066,405.10565,-29.786015,-326.10318,-1.8329026
imagenet,68,68,same_prediction_all,-102.2403,2.119381,475.42593,-32.569454,-326.0974,-1.8807625
imagenet,69,69,same_prediction_all,-102.36806,2.2130845,462.59714,-23.162191,-326.10162,-1.7657868
imagenet,70,70,same_prediction_all,-102.29211,2.5507019,470.212,10.616953,-326.0993,-1.362213
imagenet,71,71,same_prediction_all,-102.41619,2.2928288,457.81534,-15.169745,-326.08655,-1.6688043
imagenet,72,72,same_prediction_all,-102.1745,2.2789288,482.00638,-16.55998,-326.08737,-1.6906047
imagenet,73,73,both_wrong,-102.25786,2.5405717,473.6146,9.575604,-326.09805,-1.3750895
imagenet,74,74,same_prediction_all,-101.76887,2.8350554,522.50885,39.0545,-326.10416,-1.0320524
imagenet,75,75,same_prediction_all,-102.966515,2.4546711,402.7624,1.0236555,-326.09055,-1.4631857
imagenet,76,76,both_wrong,-102.69015,2.686981,430.39877,24.252033,-326.09616,-1.1902474
imagenet,77,77,same_prediction_all,-102.4085,2.4350424,458.5688,-0.9451548,-326.08835,-1.4983133
imagenet,78,78,both_wrong,-102.44614,2.4208078,454.8371,-2.3694913,-326.08752,-1.5145935
imagenet,79,79,same_prediction_all,-101.947,2.637096,504.7164,19.257765,-326.0997,-1.2657323
imagenet,80,80,same_prediction_all,-102.646164,2.5457788,434.851,10.126147,-326.09024,-1.3605727
imagenet,81,81,same_prediction_all,-102.51596,2.6591544,447.87476,21.46204,-326.09238,-1.2272123
imagenet,82,82,same_prediction_all,-102.779755,2.57854,421.4917,13.40139,-326.09012,-1.3184495
imagenet,83,83,same_prediction_all,-102.24065,2.4271297,475.40997,-1.7390089,-326.0879,-1.511326
imagenet,84,84,same_prediction_all,-102.82211,2.41823,417.23026,-2.6280918,-326.0882,-1.5098636
imagenet,85,85,both_wrong,-102.60617,2.7556481,438.801,31.105263,-326.1079,-1.109807
imagenet,86,86,same_prediction_all,-102.90636,2.594108,408.7633,14.96139,-326.09937,-1.2972138
