dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
pets,0,0,same_prediction_all,-36.463085,-0.041035235,100.23745,20.53798,-59.770397,0.27188113
pets,1,1,same_prediction_all,-36.48612,0.021540452,97.98875,27.030918,-59.77055,0.3309504
pets,2,2,same_prediction_all,-36.65365,0.07488673,81.36937,32.60393,-59.77895,0.38464656
pets,3,3,same_prediction_all,-36.65565,0.062250543,81.1127,31.239109,-59.77458,0.36559564
pets,4,4,both_wrong,-36.466064,0.02416949,100.06884,27.333897,-59.770573,0.3210689
pets,5,5,same_prediction_all,-36.397526,-0.066352844,106.593475,17.777954,-59.7707,0.21452607
pets,6,6,same_prediction_all,-36.57596,0.0072776284,88.96852,25.535118,-59.769657,0.30000043
pets,7,7,same_prediction_all,-36.616203,-0.054264724,84.88535,19.25009,-59.766922,0.22117978
pets,8,8,same_prediction_all,-36.540077,0.055946358,92.385254,30.08909,-59.774113,0.35351235
pets,9,9,same_prediction_all,-36.40872,0.030069277,105.83625,28.062342,-59.771084,0.32364646
pets,10,10,both_wrong,-36.50838,-0.09854462,95.60553,14.676442,-59.7655,0.17384349
pets,11,11,same_prediction_all,-36.638737,0.07224528,82.909225,32.464302,-59.776802,0.36854094
pets,12,12,same_prediction_all,-36.5859,0.06391239,87.85768,31.021767,-59.77383,0.3606031
pets,13,13,same_prediction_all,-36.553757,0.021325968,91.23224,27.060303,-59.770546,0.30896845
pets,14,14,both_wrong,-36.436317,-0.07815852,102.85325,16.773003,-59.76658,0.1971408
pets,15,15,same_prediction_all,-36.62773,-0.044317473,83.46286,19.851393,-59.76928,0.23296836
pets,16,16,tda_correct_freetta_wrong,-36.546467,0.004766397,91.80529,25.130947,-59.769016,0.2887794
pets,17,17,same_prediction_all,-36.56361,0.009443732,90.09594,25.637466,-59.77031,0.2939417
pets,18,18,same_prediction_all,-36.64285,0.092403434,82.323204,34.210484,-59.776672,0.39003485
pets,19,19,same_prediction_all,-36.56107,0.040291384,90.45896,28.890388,-59.772255,0.32974166
pets,20,20,both_wrong,-36.471733,-0.06623783,99.29252,17.925102,-59.765667,0.20715322
pets,21,21,same_prediction_all,-36.57966,0.019292535,88.350746,26.373287,-59.773125,0.30589864
pets,22,22,same_prediction_all,-36.5829,0.10710226,88.16876,35.445442,-59.776882,0.40930948
pets,23,23,same_prediction_all,-36.603786,0.016945465,85.60138,25.58861,-59.771675,0.30612054
pets,24,24,same_prediction_all,-36.403603,0.030638356,105.91021,27.43125,-59.770397,0.32115567
pets,25,25,same_prediction_all,-36.575573,0.102874115,88.73717,34.70779,-59.77592,0.40423307
pets,26,26,same_prediction_all,-36.55632,0.059583265,90.651596,30.355053,-59.77437,0.35258046
pets,27,27,same_prediction_all,-36.44983,0.02119435,101.370834,26.5873,-59.769985,0.30837312
pets,28,28,same_prediction_all,-36.599415,0.015287784,86.308556,25.878027,-59.770065,0.2982551
pets,29,29,same_prediction_all,-36.436962,0.08879166,102.558395,33.22744,-59.77457,0.3886678
pets,30,30,same_prediction_all,-36.707405,0.12883346,75.408615,37.080906,-59.775455,0.43169138
pets,31,31,same_prediction_all,-36.522842,0.06555631,93.99613,30.943787,-59.773636,0.35940143
pets,32,32,same_prediction_all,-36.414207,-0.060392566,104.763916,18.156742,-59.76707,0.21551326
pets,33,33,same_prediction_all,-36.57765,0.04502991,88.382416,28.65348,-59.77239,0.3352987
pets,34,34,both_wrong,-36.41542,0.04803249,105.02608,29.498726,-59.77252,0.341239
pets,35,35,same_prediction_all,-36.665943,-0.057273623,79.57888,18.3956,-59.76827,0.21443419
pets,36,36,same_prediction_all,-36.572613,0.05145059,88.99447,29.405588,-59.77239,0.342013
pets,37,37,same_prediction_all,-36.538246,0.073020875,92.575836,31.810345,-59.775414,0.36769322
pets,38,38,same_prediction_all,-36.644062,0.09157109,82.074234,33.79762,-59.7742,0.38693637
pets,39,39,same_prediction_all,-36.41898,0.022226656,104.643524,26.93015,-59.770046,0.30837882
pets,40,40,same_prediction_all,-36.479897,0.05678168,98.49454,30.315304,-59.77265,0.3488858
pets,41,41,same_prediction_all,-36.537777,0.08423518,92.96598,33.53602,-59.77522,0.37943265
pets,42,42,both_wrong,-36.443764,0.051361475,102.30574,30.047178,-59.77003,0.3437934
pets,43,43,same_prediction_all,-36.502987,0.05458436,96.31537,30.28223,-59.771233,0.3447683
pets,44,44,same_prediction_all,-36.567577,0.05846875,89.88169,30.751173,-59.773945,0.348866
pets,45,45,same_prediction_all,-36.516167,0.05511648,95.01823,30.382969,-59.771034,0.34483457
pets,46,46,same_prediction_all,-36.659267,0.07572998,80.53918,32.197742,-59.775272,0.36652964
pets,47,47,tda_correct_freetta_wrong,-36.462196,-0.0528125,100.2934,19.338938,-59.766705,0.2198055
pets,48,48,same_prediction_all,-36.560402,0.11930256,90.47201,36.633186,-59.77878,0.41855323
pets,49,49,same_prediction_all,-36.495293,0.045880586,97.011154,29.28898,-59.771595,0.33436
pets,50,50,tda_correct_freetta_wrong,-36.42412,-0.009368906,103.96075,23.494461,-59.76798,0.27204368
pets,51,51,same_prediction_all,-36.582012,0.080131024,88.53059,33.066616,-59.776318,0.3718765
pets,52,52,same_prediction_all,-36.5164,0.1022921,94.91308,35.005016,-59.776203,0.40060574
pets,53,53,same_prediction_all,-36.662502,-0.016369924,80.01568,22.669437,-59.768543,0.25860626
pets,54,54,same_prediction_all,-36.5195,0.01970236,94.536545,26.597,-59.771374,0.30334866
pets,55,55,same_prediction_all,-36.622322,0.1255109,84.41568,37.484676,-59.7786,0.42438555
pets,56,56,same_prediction_all,-36.44063,0.0426826,102.403946,28.858799,-59.772343,0.3309641
pets,57,57,same_prediction_all,-36.73257,-0.027582416,73.11969,21.817053,-59.772686,0.24666978
pets,58,58,same_prediction_all,-36.57451,0.09471813,88.85196,33.82366,-59.77581,0.39096323
pets,59,59,same_prediction_all,-36.72161,0.07076415,73.93871,31.140112,-59.775757,0.3623393
pets,60,60,same_prediction_all,-36.51851,0.10817553,94.47776,35.224262,-59.77645,0.40834424
pets,61,61,same_prediction_all,-36.496758,0.04705761,96.94249,29.561724,-59.771156,0.33515632
pets,62,62,same_prediction_all,-36.441555,0.10497126,102.16951,34.904472,-59.774254,0.40635645
pets,63,63,same_prediction_all,-36.49144,0.025334228,97.40301,27.242693,-59.77107,0.30919987
pets,64,64,same_prediction_all,-36.655594,0.09017212,81.02837,33.88819,-59.77507,0.38203648
pets,65,65,same_prediction_all,-36.576324,0.073256426,88.8939,32.022434,-59.775017,0.3630804
pets,66,66,both_wrong,-36.445812,0.02039556,102.348656,27.290432,-59.76882,0.30449688
pets,67,67,same_prediction_all,-36.643707,0.077227175,82.00015,32.268505,-59.775246,0.37147036
pets,68,68,same_prediction_all,-36.602413,0.05610873,86.37625,30.426912,-59.77214,0.34249502
pets,69,69,same_prediction_all,-36.551357,0.085500605,91.257416,33.020107,-59.773197,0.37979978
pets,70,70,same_prediction_all,-36.612232,0.04032053,85.377846,28.825027,-59.77294,0.32372093
pets,71,71,same_prediction_all,-36.60921,0.037458155,85.45107,28.17573,-59.771374,0.3208652
pets,72,72,same_prediction_all,-36.79089,-0.012754282,67.032166,22.787405,-59.770634,0.2626029
pets,73,73,same_prediction_all,-36.560825,0.075391755,90.48093,32.265717,-59.774338,0.3658668
pets,74,74,same_prediction_all,-36.541336,0.0750453,92.37546,32.158207,-59.77534,0.36678421
pets,75,75,same_prediction_all,-36.56429,0.143072,90.06548,38.9428,-59.77623,0.44613013
