dataset,sample_index,stream_step,progress_ratio,rolling_clip_acc,rolling_tda_acc,rolling_freetta_acc,rolling_clip_confidence,rolling_tda_confidence,rolling_freetta_confidence,rolling_clip_entropy,rolling_tda_entropy,rolling_freetta_entropy,rolling_tda_vs_clip,rolling_freetta_vs_clip,rolling_freetta_vs_tda
pets,0,0,0.0002725538293813028,1.0,1.0,1.0,0.030156243592500687,0.9782479405403137,0.9235569834709167,3.6099185943603516,0.1285679191350937,0.32905158400535583,0.0,0.0,0.0
pets,1,1,0.0005451076587626056,1.0,1.0,1.0,0.030458162538707256,0.9881232976913452,0.9613649249076843,3.6097477674484253,0.07273985538631678,0.1678852536715567,0.0,0.0,0.0
pets,2,2,0.0008176614881439084,1.0,1.0,1.0,0.031091380243500073,0.9920684099197388,0.9742280642191569,3.609342018763224,0.04866100783692673,0.11209269510194038,0.0,0.0,0.0
pets,3,3,0.0010902153175252113,1.0,1.0,1.0,0.03112141788005829,0.9939023852348328,0.9805202484130859,3.6092761754989624,0.03800323173345532,0.08535626057710033,0.0,0.0,0.0
pets,4,4,0.001362769146906514,0.8,0.8,1.0,0.030813922360539436,0.9129837393760681,0.9771869659423829,3.609347105026245,0.2372701133484952,0.10440089622279629,0.0,0.19999999999999996,0.19999999999999996
pets,5,5,0.001635322976287817,0.8333333333333334,0.8333333333333334,1.0,0.030696197723348934,0.9241223235925039,0.980209102233251,3.6094542741775513,0.21860645423294045,0.09210166733828373,0.0,0.16666666666666663,0.16666666666666663
pets,6,6,0.0019078768056691197,0.8571428571428571,0.8571428571428571,1.0,0.030699328652450016,0.9348034347806659,0.9827931608472552,3.609473807471139,0.18891847392244795,0.0809003146215608,0.0,0.1428571428571429,0.1428571428571429
pets,7,7,0.0021804306350504225,0.875,0.875,1.0,0.030632227193564177,0.9417267516255379,0.9844783991575241,3.6095431447029114,0.17423591709666653,0.07418493177829077,0.0,0.125,0.125
pets,8,8,0.0024529844644317253,0.8888888888888888,0.8888888888888888,1.0,0.030666245975428157,0.9461189243528578,0.9859847029050192,3.609496487511529,0.16722841679196185,0.06768153832268177,0.0,0.11111111111111116,0.11111111111111116
pets,9,9,0.002725538293813028,0.9,0.9,1.0,0.030749834142625332,0.9514948844909668,0.9873571515083313,3.6094757318496704,0.15064245482790284,0.0611963180534076,0.0,0.09999999999999998,0.09999999999999998
pets,10,10,0.002998092123194331,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.03054269826547666,0.925009163943204,0.9384479007937692,3.6095657998865303,0.2644427583118985,0.16171992076455022,0.0,0.09090909090909083,0.09090909090909083
pets,11,11,0.003270645952575634,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.03067600866779685,0.9312562942504883,0.9435661459962527,3.6094933350880942,0.2424331737444542,0.14836131228851931,0.0,0.08333333333333326,0.08333333333333326
pets,12,12,0.0035431997819569366,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.030751268307750042,0.9364340488727276,0.9477540323367486,3.6094525960775523,0.2247385429285574,0.13816839405066836,0.0,0.07692307692307698,0.07692307692307698
pets,13,13,0.0038157536113382394,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.03080060798674822,0.9409549278872353,0.9514455986874444,3.6094483137130737,0.2088917201680098,0.12866669087088667,0.0,0.07142857142857151,0.07142857142857151
pets,14,14,0.004088307440719542,0.8,0.8,0.8666666666666667,0.030666018029054005,0.9334744175275167,0.915113627910614,3.609510389963786,0.24753862276944952,0.2078352852918518,0.0,0.06666666666666665,0.06666666666666665
pets,15,15,0.004360861270100845,0.8125,0.8125,0.875,0.030627528904005885,0.9369387924671173,0.9201412498950958,3.609547808766365,0.23724242211574165,0.19691372725719702,0.0,0.0625,0.0625
pets,16,16,0.0046334150994821474,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.030562318861484528,0.9310361813096439,0.9119230508804321,3.6095615415012134,0.2651106145914288,0.22591930687057732,0.0,0.05882352941176472,0.05882352941176472
pets,17,17,0.004905968928863451,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.03059005385471715,0.93480670120981,0.9164855149057176,3.6095528735054865,0.2509392963951945,0.21553601028669314,0.0,0.05555555555555547,0.05555555555555547
pets,18,18,0.005178522758244753,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.030700408118335826,0.9382340437487552,0.9208463775484186,3.6094879853098014,0.23777429289092603,0.20448858503215506,0.0,0.052631578947368474,0.052631578947368474
pets,19,19,0.005451076587626056,0.85,0.85,0.9,0.03072893340140581,0.9413053125143052,0.924744787812233,3.6094760656356812,0.22606278411258246,0.19477215224469546,0.0,0.050000000000000044,0.050000000000000044
pets,20,20,0.005723630417007359,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.0306444333954936,0.9246142478216262,0.8989216018290747,3.609510546638852,0.2796294665687518,0.2502441218350127,0.0,0.09523809523809523,0.09523809523809523
pets,21,21,0.005996184246388662,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.030680544251068073,0.9280225553295829,0.903488499197093,3.6095037785443393,0.2671096502520165,0.23912754565191624,0.0,0.09090909090909083,0.09090909090909083
