dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_margin,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_other_changed_wrong,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_margin,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_other_changed_wrong,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,samples,tda_total_cache_slots,oracle_centroid_acc,oracle_1nn_acc,geometry_alignment_score,sample_path
caltech,95,95,0,0,1,0.010692281648516655,4.605043411254883,0.005625814199447632,24,0,0.5316517949104309,0.7482719421386719,0.141021728515625,1,0,1,0,8,7,0,0,1,0.010836027562618256,4.604987144470215,0.006750583648681641,0,0,0,0,1.0005706490576963e-09,1.0004718165035342e-09,8.389009309439643e-08,4.605169773101807,512.046875,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0175.jpg
caltech,46,46,0,0,1,0.010569531470537186,4.605037212371826,0.008407115936279297,36,0,0.5345066785812378,1.1023863554000854,0.281585693359375,1,0,1,0,7,6,0,0,1,0.010686914436519146,4.604978561401367,0.010088443756103516,0,0,0,0,1.0005985603389822e-09,1.0405766248666737e-09,8.263769757377304e-08,4.605169773101807,512.02294921875,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0148.jpg
caltech,78,78,0,0,1,0.010600295849144459,4.605034351348877,0.0029654353857040405,24,0,0.7218238115310669,0.6982486844062805,1.0045528411865234,1,0,1,0,8,7,0,0,1,0.010724241845309734,4.604974746704102,0.0035581588745117188,0,0,0,0,1.0006114427314082e-09,9.903206033001766e-10,8.35512423691398e-08,4.605169773101807,512.03857421875,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0184.jpg
caltech,118,118,0,0,1,0.01077541895210743,4.604988098144531,0.003989189863204956,24,0,0.8056197762489319,0.518201470375061,1.4384040832519531,1,0,1,0,9,8,0,0,1,0.010937058366835117,4.60490608215332,0.004786968231201172,0,0,0,0,1.0008197310920564e-09,1.0262928284987538e-09,8.534765782997056e-08,4.605169773101807,512.05810546875,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0073.jpg
caltech,40,40,0,0,1,0.010464305989444256,4.604985237121582,0.006317615509033203,20,0,0.3750340938568115,2.040570020675659,0.05428886413574219,1,0,1,0,7,6,0,0,1,0.010559240356087685,4.6049041748046875,0.007580757141113281,0,0,0,0,1.0008326163319865e-09,1.0234427749722386e-09,8.247855731724485e-08,4.605169773101807,512.02001953125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0107.jpg
caltech,57,57,0,0,1,0.010502399876713753,4.604974746704102,0.006555870175361633,90,0,0.38882336020469666,2.2511000633239746,0.3265342712402344,1,0,1,0,7,6,0,0,1,0.010605355724692345,4.604889392852783,0.007866859436035156,0,0,0,0,1.0008798636310567e-09,1.0376594028471686e-09,8.252084882087729e-08,4.605169773101807,512.0283203125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/Faces/image_0319.jpg
caltech,659,659,4,4,1,0.010762172751128674,4.604855060577393,0.02159905433654785,23,0,0.5164584517478943,0.907121479511261,0.15500259399414062,1,0,1,0,25,12,0,4,1,0.01092049852013588,4.6047163009643555,0.02591562271118164,0,0,0,0,1.0014190702768266e-09,1.0364380464977785e-09,1.2556371586924797e-07,4.605169773101807,512.322265625,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/airplanes/image_0115.jpg
caltech,639,639,4,4,1,0.010742348618805408,4.604853630065918,0.0075682103633880615,23,0,0.8605519533157349,0.45415937900543213,1.87152099609375,1,0,1,0,25,12,0,4,1,0.010896366089582443,4.6047139167785645,0.009080886840820312,0,0,0,0,1.0014255167341946e-09,1.0640510694770455e-09,1.231018416092411e-07,4.605169773101807,512.3125,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/airplanes/image_0131.jpg
caltech,625,625,4,4,1,0.01073490921407938,4.604849338531494,0.00445479154586792,23,0,0.875510573387146,0.4608004093170166,2.08795166015625,1,0,1,0,25,12,0,4,1,0.01088730338960886,4.604707717895508,0.005345344543457031,0,0,0,0,1.0014448563552873e-09,1.0909019243499074e-09,1.213706042335616e-07,4.605169773101807,512.3056640625,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/airplanes/image_0084.jpg
caltech,652,652,4,4,1,0.01076198648661375,4.604812145233154,0.002314344048500061,23,0,0.9540330171585083,0.20694813132286072,3.115764617919922,1,0,1,0,25,12,0,4,1,0.010920162312686443,4.604654788970947,0.002777099609375,0,0,0,0,1.0016124820505492e-09,1.0359255675496115e-09,1.2501662638442212e-07,4.605169773101807,512.31884765625,2465,500,0.974442183971405,0.9184584178498986,0.05598376612150646,/home/herrys/projects/AIP-Final-project/data/raw/CALTECH/caltech101/101_ObjectCategories/airplanes/image_0259.jpg
