dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
caltech,0,0,same_prediction_all,-46.959244,-0.2967032,142.5073,1.1099849,-94.863014,0.0991445
caltech,1,1,same_prediction_all,-47.021294,-0.31008652,136.36694,-0.062470116,-94.861725,0.08370427
caltech,2,2,same_prediction_all,-47.019127,-0.30222988,136.67015,0.7242186,-94.86244,0.0932856
caltech,3,3,both_wrong,-47.05813,-0.33679274,132.66089,-3.046405,-94.86351,0.051427495
caltech,4,4,same_prediction_all,-47.010746,-0.27569562,137.78896,3.4917974,-94.862206,0.12511997
caltech,5,5,same_prediction_all,-47.11352,-0.32185706,126.78508,-1.4317876,-94.86323,0.06868019
caltech,6,6,same_prediction_all,-46.873676,-0.31590152,150.80511,-0.8192214,-94.862564,0.07825012
caltech,7,7,same_prediction_all,-46.969364,-0.26846632,141.39497,3.9947293,-94.86122,0.13423716
caltech,8,8,same_prediction_all,-46.805107,-0.31040066,157.65105,-0.2761032,-94.862564,0.085540086
caltech,9,9,same_prediction_all,-46.93144,-0.30938035,145.05537,-0.1684243,-94.862495,0.08551478
caltech,10,10,same_prediction_all,-46.800617,-0.325371,158.17645,-1.7422537,-94.862595,0.067603484
caltech,11,11,same_prediction_all,-47.16091,-0.32510635,122.530426,-1.5447749,-94.862015,0.0644027
caltech,12,12,both_wrong,-46.96071,-0.36824867,142.52745,-6.170439,-94.86284,0.014629933
caltech,13,13,same_prediction_all,-47.049694,-0.30947843,133.27956,-0.18482918,-94.86231,0.0841463
caltech,14,14,same_prediction_all,-46.979004,-0.32877904,141.00072,-1.8611163,-94.862114,0.06179048
caltech,15,15,same_prediction_all,-47.068245,-0.29567182,131.40327,1.1722575,-94.862656,0.100637026
caltech,16,16,same_prediction_all,-46.77476,-0.31484088,160.7867,-0.72348845,-94.862595,0.08043891
caltech,17,17,both_wrong,-47.314606,-0.2967719,107.15134,0.88839895,-94.86271,0.0968971
caltech,18,18,same_prediction_all,-46.765152,-0.28621507,161.907,2.1345725,-94.862206,0.11496801
caltech,19,19,same_prediction_all,-46.764797,-0.30690357,161.8398,0.06840621,-94.86273,0.09007414
caltech,20,20,same_prediction_all,-46.935593,-0.3261994,144.99004,-1.7881143,-94.86235,0.06531475
caltech,21,21,same_prediction_all,-47.06516,-0.34062454,132.17644,-3.1452982,-94.86272,0.046677094
caltech,22,22,same_prediction_all,-47.048023,-0.28411558,133.5645,2.320645,-94.861755,0.11463331
caltech,23,23,same_prediction_all,-47.24083,-0.33669442,114.87285,-2.6464593,-94.86268,0.049706932
caltech,24,24,same_prediction_all,-46.98929,-0.31256086,139.67421,-0.5670595,-94.86159,0.08118195
caltech,25,25,both_wrong,-46.934025,-0.27729508,145.45876,3.952817,-94.863594,0.12395592
caltech,26,26,same_prediction_all,-47.076393,-0.31977525,130.90787,-0.90343195,-94.86315,0.071657166
caltech,27,27,same_prediction_all,-47.00463,-0.29191217,138.00764,1.7434306,-94.86213,0.105724946
caltech,28,28,same_prediction_all,-46.968178,-0.3058507,141.64288,0.4619478,-94.862885,0.08933529
caltech,29,29,same_prediction_all,-47.210484,-0.35509714,118.0125,-4.3184967,-94.86283,0.027928673
caltech,30,30,same_prediction_all,-47.141174,-0.34129664,124.486626,-3.2446897,-94.862434,0.045082375
caltech,31,31,same_prediction_all,-46.99625,-0.3553201,138.98291,-4.6096253,-94.86267,0.029738603
caltech,32,32,same_prediction_all,-46.965565,-0.2952101,141.94725,1.6336737,-94.86137,0.102183126
caltech,33,33,same_prediction_all,-47.05702,-0.32900408,132.52098,-1.9551044,-94.86174,0.06070221
caltech,34,34,same_prediction_all,-47.100967,-0.30497062,128.48376,0.40578252,-94.86199,0.08907536
caltech,35,35,same_prediction_all,-47.2063,-0.3123688,117.88551,-0.3200816,-94.862564,0.07920981
caltech,36,36,same_prediction_all,-47.008476,-0.32528245,137.50719,-1.5297081,-94.862305,0.065679714
caltech,37,37,same_prediction_all,-47.024376,-0.33199018,135.94102,-2.2077913,-94.863464,0.05739694
caltech,38,38,same_prediction_all,-46.834347,-0.3017004,154.83636,0.8351919,-94.86284,0.09568185
caltech,39,39,same_prediction_all,-46.827465,-0.30582586,155.67397,0.4523023,-94.86208,0.090850145
caltech,40,40,freetta_correct_tda_wrong,-46.82092,-0.3488746,156.51366,-3.973651,-94.86298,0.039190218
caltech,41,41,same_prediction_all,-47.128265,-0.30161193,125.72106,1.1282451,-94.862465,0.09298266
caltech,42,42,same_prediction_all,-47.184605,-0.3355386,120.451904,-2.4161742,-94.86225,0.05153702
caltech,43,43,same_prediction_all,-47.047188,-0.32656977,133.62459,-1.7070352,-94.862854,0.063735254
caltech,44,44,same_prediction_all,-47.11972,-0.32615542,126.53391,-1.5406919,-94.86331,0.0636134
caltech,45,45,same_prediction_all,-47.14789,-0.30670476,123.56389,0.33433163,-94.86247,0.08663563
caltech,46,46,freetta_correct_tda_wrong,-46.967644,-0.2796165,141.82303,3.3261445,-94.86357,0.12083907
caltech,47,47,same_prediction_all,-47.034294,-0.31334496,135.2649,-0.4039146,-94.86155,0.079794794
caltech,48,48,same_prediction_all,-47.019592,-0.32269016,136.35674,-1.3034441,-94.8621,0.06860743
caltech,49,49,same_prediction_all,-47.11023,-0.29781353,127.26697,1.1991746,-94.86206,0.09763028
caltech,50,50,same_prediction_all,-47.060883,-0.30624074,132.30885,0.28708303,-94.86282,0.08802844
caltech,51,51,same_prediction_all,-46.804504,-0.3371734,157.85782,-2.7686095,-94.86323,0.05332057
caltech,52,52,same_prediction_all,-46.96895,-0.29838926,141.84096,1.5341939,-94.86338,0.09829748
caltech,53,53,same_prediction_all,-46.96509,-0.30638182,141.97379,0.40663132,-94.86314,0.088649906
caltech,54,54,same_prediction_all,-47.15157,-0.30103564,123.52298,0.9562828,-94.86341,0.09338443
caltech,55,55,same_prediction_all,-47.073135,-0.32451552,130.8347,-1.5809532,-94.86234,0.06589699
caltech,56,56,same_prediction_all,-46.951977,-0.32729927,143.09721,-1.7807426,-94.86204,0.06376953
caltech,57,57,freetta_correct_tda_wrong,-46.933746,-0.3522375,144.97011,-4.3871927,-94.86216,0.034001477
caltech,58,58,same_prediction_all,-47.107697,-0.30269092,127.55624,0.7511333,-94.86147,0.09178816
caltech,59,59,same_prediction_all,-46.910194,-0.3180121,147.31894,-0.8086977,-94.86192,0.07536925
caltech,60,60,same_prediction_all,-46.979057,-0.34570554,140.6338,-3.6483045,-94.862404,0.041471653
caltech,61,61,same_prediction_all,-46.944275,-0.34095562,143.79984,-3.1822839,-94.86227,0.047433387
caltech,62,62,same_prediction_all,-47.06692,-0.29605305,132.13098,1.5134207,-94.86196,0.100154
caltech,63,63,same_prediction_all,-47.058395,-0.31421295,132.9115,-0.49006358,-94.862144,0.078419566
caltech,64,64,same_prediction_all,-47.109386,-0.28694868,127.55371,2.234476,-94.862656,0.11071237
caltech,65,65,same_prediction_all,-46.94752,-0.31785765,143.48634,-0.841945,-94.86157,0.075162105
caltech,66,66,same_prediction_all,-46.737667,-0.2887307,164.64096,2.180245,-94.861374,0.11219951
caltech,67,67,same_prediction_all,-47.053123,-0.2963491,133.0675,1.3605553,-94.86195,0.099969424
caltech,68,68,same_prediction_all,-47.099144,-0.32098314,128.63736,-1.1398822,-94.86202,0.06992017
caltech,69,69,same_prediction_all,-46.832626,-0.33379284,155.13501,-2.419826,-94.86251,0.05722532
caltech,70,70,both_wrong,-46.82224,-0.29181916,156.7921,2.865641,-94.86306,0.10757399
caltech,71,71,same_prediction_all,-46.994118,-0.31670913,138.94298,-0.58922666,-94.86196,0.07611789
caltech,72,72,same_prediction_all,-47.131454,-0.31544808,125.99023,-0.1680574,-94.86295,0.076211214
caltech,73,73,same_prediction_all,-46.99107,-0.3227632,139.4361,-1.0534132,-94.86314,0.06886017
caltech,74,74,same_prediction_all,-46.98748,-0.31150812,139.94778,0.3991304,-94.8623,0.08230193
caltech,75,75,same_prediction_all,-46.984932,-0.32467118,139.9277,-1.2904267,-94.86343,0.06665582
caltech,76,76,same_prediction_all,-46.885036,-0.3041944,150.17732,0.8141056,-94.86245,0.09215338
caltech,77,77,same_prediction_all,-47.052998,-0.31724644,133.59203,-0.38586062,-94.861694,0.074927896
caltech,78,78,freetta_correct_tda_wrong,-46.95707,-0.3100061,143.22406,0.87958336,-94.86249,0.08450294
caltech,79,79,same_prediction_all,-47.245663,-0.29645386,113.93878,1.4308141,-94.861916,0.097925074
