dataset,sample_index,stream_step,category,clip_pc1,clip_pc2,tda_pc1,tda_pc2,freetta_pc1,freetta_pc2
caltech,0,0,same_prediction_all,-46.16549,-0.23988599,143.06056,1.5661925,-94.069756,0.070902616
caltech,1,1,same_prediction_all,-46.227314,-0.25326118,136.89526,0.75578445,-94.06866,0.061938334
caltech,2,2,same_prediction_all,-46.22501,-0.2602835,137.16464,0.06209142,-94.06921,0.05472329
caltech,3,3,both_wrong,-46.263897,-0.28203088,133.2621,-2.2915251,-94.06991,0.03256048
caltech,4,4,same_prediction_all,-46.216663,-0.22271357,138.1397,3.8558786,-94.06901,0.09262856
caltech,5,5,same_prediction_all,-46.319595,-0.25380144,127.56928,0.6262847,-94.0698,0.060667887
caltech,6,6,same_prediction_all,-46.07965,-0.25874534,151.5799,0.13707519,-94.06943,0.05723557
caltech,7,7,same_prediction_all,-46.175533,-0.21441749,142.05948,4.6016254,-94.068344,0.101260714
caltech,8,8,same_prediction_all,-46.011314,-0.2513082,158.40823,0.8732652,-94.069565,0.06513274
caltech,9,9,same_prediction_all,-46.13746,-0.25780198,145.81134,0.2258192,-94.06945,0.057781905
caltech,10,10,same_prediction_all,-46.00655,-0.2725812,158.9209,-1.2349304,-94.06937,0.04387041
caltech,11,11,same_prediction_all,-46.366825,-0.27408737,123.02537,-1.3260269,-94.06873,0.039967623
caltech,12,12,freetta_correct_tda_wrong,-46.166718,-0.3084084,143.08646,-4.8696737,-94.069595,0.0068254014
caltech,13,13,same_prediction_all,-46.25586,-0.25296265,134.04245,0.71125555,-94.06925,0.06191372
caltech,14,14,same_prediction_all,-46.184746,-0.2821953,141.40166,-2.1197684,-94.06876,0.032949932
caltech,15,15,same_prediction_all,-46.274174,-0.24057934,132.20215,1.9361864,-94.069435,0.07421722
caltech,16,16,same_prediction_all,-45.980774,-0.2687632,161.55591,-0.8731158,-94.06953,0.04776691
caltech,17,17,both_wrong,-46.520447,-0.25732297,107.74597,0.18503383,-94.06937,0.055719744
caltech,18,18,same_prediction_all,-45.971115,-0.23413767,162.62154,2.5888317,-94.069115,0.08266485
caltech,19,19,same_prediction_all,-45.970783,-0.25640428,162.60356,0.3653015,-94.06951,0.060294762
caltech,20,20,same_prediction_all,-46.14153,-0.27658424,145.62799,-1.6236943,-94.06915,0.03889977
caltech,21,21,same_prediction_all,-46.271164,-0.28453377,132.69649,-2.3914554,-94.069336,0.030208178
caltech,22,22,same_prediction_all,-46.253925,-0.23219824,134.3116,2.767174,-94.06858,0.08265536
caltech,23,23,same_prediction_all,-46.446697,-0.28548074,115.23988,-2.4577296,-94.06916,0.028006779
caltech,24,24,same_prediction_all,-46.19516,-0.26501969,140.28815,-0.5364556,-94.068474,0.050145686
caltech,25,25,both_wrong,-46.140125,-0.22867233,145.91681,3.5007825,-94.07046,0.08701087
caltech,26,26,same_prediction_all,-46.282387,-0.25410247,131.57263,0.7504287,-94.06974,0.06056918
caltech,27,27,same_prediction_all,-46.21062,-0.23402345,138.71873,2.703224,-94.06902,0.08118943
caltech,28,28,same_prediction_all,-46.17428,-0.25209624,142.34764,0.93683857,-94.06988,0.06324787
caltech,29,29,same_prediction_all,-46.416542,-0.2975421,118.32584,-3.5581598,-94.06963,0.0161139
caltech,30,30,same_prediction_all,-46.347202,-0.28551757,125.10841,-2.465697,-94.06919,0.028667284
caltech,31,31,same_prediction_all,-46.202297,-0.29899353,139.60158,-3.800894,-94.06951,0.016090712
caltech,32,32,same_prediction_all,-46.171627,-0.24221548,142.62956,1.9753672,-94.06848,0.07320896
caltech,33,33,same_prediction_all,-46.263077,-0.27727482,133.34853,-1.6199791,-94.06876,0.037443127
