dataset,method,subset,mean,median,std,p25,p75
caltech,clip,all,0.011292696180120517,0.0113273449242115,0.00030885828481087553,0.0110700009390711,0.0115180686116218
caltech,clip,correct,0.011302491239250203,0.0113354525528848,0.00030465228999099724,0.01108216587454075,0.011528588831424626
caltech,clip,wrong,0.01115063702066734,0.0112177189439535,0.00033353469883076384,0.0108816348947584,0.01141781033948055
caltech,tda,all,0.9547864092351457,0.9981999397277832,0.10573334807397224,0.9809637069702148,0.999800741672516
caltech,tda,correct,0.9689785253642491,0.9985155463218688,0.08505094608290382,0.9894087910652161,0.9998252391815186
caltech,tda,wrong,0.747563549046275,0.7539770603179932,0.1513674403204309,0.6280195862054825,0.8660424649715424
caltech,freetta,all,0.9073293545183255,0.9856398105621338,0.15661581411727857,0.8995562791824341,0.9981549382209778
caltech,freetta,correct,0.9270922660220744,0.988738238811493,0.13360183846910223,0.929964318871498,0.9984295964241028
caltech,freetta,wrong,0.6168019675714954,0.6267979741096497,0.1804637056309388,0.5033177733421326,0.7312145829200745
dtd,clip,all,0.022322672759083628,0.022235643118619898,0.00040288634683113876,0.02202322846278545,0.022532423492521027
dtd,clip,correct,0.022537723364033313,0.0224843323230743,0.00043695807741217697,0.022202653344720526,0.02279915194958442
dtd,clip,wrong,0.02215414163983463,0.0221056621521711,0.00027431177532073704,0.021950295194983427,0.022303777281194877
dtd,tda,all,0.5924735404115091,0.5823416411876678,0.28718623863155557,0.32308960705995554,0.8719531148672104
dtd,tda,correct,0.7307290392889432,0.8237729668617249,0.25943894390159056,0.50818932056427,0.9670329093933104
dtd,tda,wrong,0.4786239588916822,0.4191711544990539,0.25741753576212195,0.25255928933620453,0.6919271647930145
dtd,freetta,all,0.5787822004685059,0.545698344707489,0.28781726697689525,0.31550272554159164,0.8707376271486282
dtd,freetta,correct,0.7157502041033336,0.8100355267524719,0.27300929068065755,0.48556195199489594,0.9702795743942261
dtd,freetta,wrong,0.45953145103519827,0.39986252784729,0.243956894952068,0.2486979067325592,0.6511558294296265
eurosat,clip,all,0.1027535921261634,0.1023989506065845,0.0015529399896319588,0.10141521692275995,0.10386489890515803
eurosat,clip,correct,0.10361114048225488,0.1035674810409545,0.0015287495027254798,0.10238889232277865,0.10474457964301105
eurosat,clip,wrong,0.10194819059373658,0.1016045361757278,0.0010687818367683991,0.1011265590786933,0.1025004684925079
eurosat,tda,all,0.6517058283311349,0.6451096832752228,0.2397605183244824,0.4491987377405166,0.8816599994897842
eurosat,tda,correct,0.7319531834477352,0.7933399975299835,0.23732512922287385,0.5382572412490845,0.9547003209590912
eurosat,tda,wrong,0.5599945653407347,0.5347802639007568,0.20746671408837686,0.3933443874120712,0.7108290940523148
eurosat,freetta,all,0.6929883118378527,0.6800225973129272,0.24604491076849927,0.47151459008455276,0.9705811142921448
eurosat,freetta,correct,0.8118582326296538,0.9345933198928832,0.21778901082894123,0.6437669694423676,0.9909437298774719
eurosat,freetta,wrong,0.519466383733939,0.4937895238399505,0.17009827123199528,0.3909969329833984,0.6233574748039246
pets,clip,all,0.030408200033924845,0.0303878765553236,0.0007002818805467076,0.0299278516322374,0.030878584831953
pets,clip,correct,0.030472930352485793,0.0304405950009822,0.0006784517034704055,0.02999931480735535,0.030925379134714548
pets,clip,wrong,0.029915429087696736,0.029897240921854952,0.0006669337278166923,0.029387586284428776,0.030410061124712225
pets,tda,all,0.8511815702933062,0.943175733089447,0.1844347422835072,0.7612650394439697,0.9869840145111084
pets,tda,correct,0.8875600937765364,0.9604209959506989,0.1511969664936667,0.8470516353845596,0.989392563700676
pets,tda,wrong,0.5659388825476888,0.5506078600883484,0.17247357915436906,0.45559546351432795,0.6773012578487396
pets,freetta,all,0.8513501380852244,0.9454332590103148,0.18596143630718573,0.7632360458374023,0.9883710741996764
pets,freetta,correct,0.8879887555962999,0.9619339406490326,0.1527875035268626,0.845528170466423,0.9904534965753555
pets,freetta,wrong,0.5656216389341034,0.5473547577857971,0.17352107560553098,0.4549499750137329,0.6767576336860657
imagenet,clip,all,0.0011474807055317296,0.0011470893514341999,3.375640791613639e-05,0.001122839690651675,0.001170933741377625
imagenet,clip,correct,0.0011569637152475624,0.0011567719047889,3.1857105635289866e-05,0.0011350828572176,0.0011786219547502501
imagenet,clip,wrong,0.0011317764384458817,0.0011304853251203,3.082731251592593e-05,0.0011095887748524,0.0011524292640388
imagenet,tda,all,0.732178854002431,0.8096093535423279,0.25663347132627495,0.5437962412834167,0.9636686444282532
imagenet,tda,correct,0.8302090255090996,0.9263153076171875,0.20483591601859866,0.7307940274477005,0.9857799410820008
imagenet,tda,wrong,0.567252556875332,0.5742683112621307,0.2504131942126389,0.36006151139736176,0.7769127488136292
imagenet,freetta,all,0.6740889199081809,0.7110211849212646,0.263860577944371,0.46399692445993423,0.9275248497724533
imagenet,freetta,correct,0.7781235367072775,0.8637549877166748,0.22235657679317375,0.6212025433778763,0.9697287678718566
imagenet,freetta,wrong,0.49906072340497964,0.4787286967039108,0.23394309821558057,0.3107842281460762,0.6775770336389542
