dataset,phase,n_samples,clip_acc,tda_acc,freetta_acc,freetta_minus_tda,tda_gain_vs_clip,freetta_gain_vs_clip,mean_tda_cache,mean_freetta_weight
caltech,Q1_early,616,0.9853896103896104,0.9837662337662337,0.9837662337662337,0.0,-0.0016233766233766378,-0.0016233766233766378,15.693181818181818,0.7287013064534589
caltech,Q2,616,0.9058441558441559,0.8961038961038961,0.9090909090909091,0.012987012987012991,-0.009740259740259827,0.0032467532467531646,77.03896103896103,0.8074650941649066
caltech,Q3,616,0.9090909090909091,0.913961038961039,0.9074675324675324,-0.006493506493506551,0.004870129870129913,-0.0016233766233766378,181.3685064935065,0.8582191447287978
caltech,Q4_late,617,0.9416531604538088,0.9497568881685575,0.9448946515397083,-0.004862236628849215,0.008103727714748765,0.0032414910858995505,270.1166936790924,0.9080133091055037
dtd,Q1_early,470,0.4851063829787234,0.5,0.5276595744680851,0.02765957446808509,0.014893617021276617,0.04255319148936171,68.26382978723404,0.5008697500353494
dtd,Q2,470,0.33404255319148934,0.3276595744680851,0.3425531914893617,0.014893617021276617,-0.0063829787234042645,0.008510638297872353,118.65531914893617,0.4429520826804069
dtd,Q3,470,0.5085106382978724,0.5234042553191489,0.5425531914893617,0.019148936170212738,0.014893617021276562,0.0340425531914893,131.2148936170213,0.46898664936308193
dtd,Q4_late,470,0.4297872340425532,0.4553191489361702,0.44893617021276594,-0.0063829787234042645,0.025531914893617003,0.019148936170212738,133.46595744680852,0.44610749846861614
eurosat,Q1_early,2025,0.465679012345679,0.3540740740740741,0.44098765432098763,0.08691358024691354,-0.11160493827160489,-0.024691358024691357,26.64641975308642,0.11526087580312513
eurosat,Q2,2025,0.534320987654321,0.4839506172839506,0.5358024691358024,0.051851851851851816,-0.0503703703703704,0.001481481481481417,30.0,0.2992774854049221
eurosat,Q3,2025,0.5313580246913581,0.6558024691358024,0.5698765432098766,-0.08592592592592585,0.12444444444444436,0.03851851851851851,30.0,0.2173042613114341
eurosat,Q4_late,2025,0.4059259259259259,0.6395061728395062,0.8271604938271605,0.18765432098765433,0.23358024691358026,0.4212345679012346,30.0,0.15922609757544937
pets,Q1_early,917,0.7502726281352236,0.7589967284623773,0.7513631406761178,-0.007633587786259555,0.008724100327153761,0.0010905125408942062,34.12431842966194,0.5362767811117782
pets,Q2,917,0.9149400218102508,0.920392584514722,0.9214830970556162,0.0010905125408942062,0.005452562704471142,0.0065430752453653485,70.67284623773173,0.6619231031142601
pets,Q3,917,0.906215921483097,0.9040348964013086,0.9073064340239912,0.0032715376226826187,-0.0021810250817884125,0.0010905125408942062,94.98364231188658,0.6500168455913308
pets,Q4_late,918,0.9640522875816994,0.9640522875816994,0.9651416122004357,0.0010893246187363426,0.0,0.0010893246187363426,104.43572984749456,0.7531687344964157
imagenet,Q1_early,2500,0.6252,0.6292,0.626,-0.0031999999999999806,0.0040000000000000036,0.0008000000000000229,451.6772,0.5420365008971914
imagenet,Q2,2500,0.6684,0.672,0.6724,0.00039999999999995595,0.0036000000000000476,0.0040000000000000036,1253.2312,0.5668168887397287
imagenet,Q3,2500,0.5956,0.5928,0.5984,0.005600000000000049,-0.0028000000000000247,0.0028000000000000247,2250.26,0.5098313442322857
imagenet,Q4_late,2500,0.6048,0.6148,0.612,-0.0028000000000000247,0.010000000000000009,0.007199999999999984,2784.8852,0.5115487758210128
