dataset,K,clip_acc,tda_affinity_acc,majority_vote_acc,mv_vs_clip,tda_vs_clip,mv_vs_tda
caltech,1,93.55,93.47,88.4,-5.15,-0.08,-5.07
caltech,3,93.55,93.47,87.51,-6.04,-0.08,-5.96
caltech,5,93.55,93.47,84.75,-8.8,-0.08,-8.72
caltech,7,93.55,93.47,64.22,-29.33,-0.08,-29.25
caltech,10,93.55,93.47,35.7,-57.85,-0.08,-57.77
caltech,15,93.55,93.47,11.68,-81.87,-0.08,-81.78
caltech,20,93.55,93.47,6.49,-87.06,-0.08,-86.98
dtd,1,43.94,44.89,41.54,-2.39,0.96,-3.35
dtd,3,43.94,44.89,41.49,-2.45,0.96,-3.4
dtd,5,43.94,44.89,41.12,-2.82,0.96,-3.78
dtd,7,43.94,44.89,38.35,-5.59,0.96,-6.54
dtd,10,43.94,44.89,36.76,-7.18,0.96,-8.14
dtd,15,43.94,44.89,30.74,-13.19,0.96,-14.15
dtd,20,43.94,44.89,26.65,-17.29,0.96,-18.24
eurosat,1,48.43,52.62,44.09,-4.35,4.19,-8.53
eurosat,3,48.43,52.62,46.51,-1.93,4.19,-6.11
eurosat,5,48.43,52.62,47.31,-1.12,4.19,-5.31
eurosat,7,48.43,52.62,44.68,-3.75,4.19,-7.94
eurosat,10,48.43,52.62,32.89,-15.54,4.19,-19.73
eurosat,15,48.43,52.62,29.2,-19.23,4.19,-23.42
eurosat,20,48.43,52.62,20.51,-27.93,4.19,-32.11
pets,1,88.39,89.23,81.3,-7.09,0.84,-7.93
pets,3,88.39,89.23,83.51,-4.88,0.84,-5.72
pets,5,88.39,89.23,81.6,-6.79,0.84,-7.63
pets,7,88.39,89.23,63.94,-24.45,0.84,-25.29
pets,10,88.39,89.23,43.31,-45.08,0.84,-45.93
pets,15,88.39,89.23,17.53,-70.86,0.84,-71.71
pets,20,88.39,89.23,7.2,-81.19,0.84,-82.04
