dataset,frac,samples_seen,gas_clip_text,gas_clip_oracle,gas_freetta,gas_tda,ft_centroid_acc,tda_centroid_acc,tda_nn_acc
caltech,0.1,246,0.73,1.58,-57.36,2.76,35.46,96.06,93.31
caltech,0.2,493,0.73,1.58,-52.74,2.72,40.08,96.06,93.35
caltech,0.3,740,0.73,1.58,-54.65,2.8,38.17,96.15,93.35
caltech,0.4,986,0.73,1.58,-44.75,2.72,48.07,96.02,93.31
caltech,0.5,1232,0.73,1.58,-32.94,2.27,59.88,95.7,93.43
caltech,0.6,1479,0.73,1.58,-25.56,1.78,67.26,95.33,93.55
caltech,0.7,1726,0.73,1.58,-17.4,2.19,75.42,95.54,93.35
caltech,0.8,1972,0.73,1.58,-12.66,2.11,80.16,95.62,93.51
caltech,0.9,2218,0.73,1.58,-7.14,2.35,85.68,95.82,93.47
caltech,1.0,2465,0.73,1.58,-1.34,2.52,91.48,95.78,93.27
dtd,0.1,188,-23.67,3.72,-31.76,1.28,35.85,67.77,66.49
dtd,0.2,376,-23.67,3.72,-28.94,0.37,38.67,67.45,67.07
dtd,0.3,564,-23.67,3.72,-28.09,0.96,39.52,67.77,66.81
dtd,0.4,752,-23.67,3.72,-24.73,0.85,42.87,67.45,66.6
dtd,0.5,940,-23.67,3.72,-24.47,1.01,43.14,67.87,66.86
dtd,0.6,1128,-23.67,3.72,-24.84,0.64,42.77,67.45,66.81
dtd,0.7,1316,-23.67,3.72,-23.83,0.69,43.78,67.45,66.76
dtd,0.8,1504,-23.67,3.72,-21.54,0.64,46.06,67.39,66.76
dtd,0.9,1692,-23.67,3.72,-20.43,0.69,47.18,67.45,66.76
dtd,1.0,1880,-23.67,3.72,-19.84,0.59,47.77,67.45,66.86
eurosat,0.1,810,-26.09,-3.59,-18.98,-6.07,55.54,65.2,71.27
eurosat,0.2,1620,-26.09,-3.59,-29.56,-5.84,44.96,65.78,71.62
eurosat,0.3,2430,-26.09,-3.59,-30.28,-5.35,44.23,66.65,72.0
eurosat,0.4,3240,-26.09,-3.59,-19.56,-5.58,54.96,66.78,72.36
eurosat,0.5,4050,-26.09,-3.59,-18.86,-5.57,55.65,66.56,72.12
eurosat,0.6,4860,-26.09,-3.59,-17.54,-5.73,56.98,66.47,72.2
eurosat,0.7,5670,-26.09,-3.59,-16.02,-6.16,58.49,66.21,72.37
eurosat,0.8,6480,-26.09,-3.59,-15.01,-5.98,59.51,66.33,72.31
eurosat,0.9,7290,-26.09,-3.59,-15.16,-5.7,59.36,66.47,72.17
eurosat,1.0,8100,-26.09,-3.59,-15.91,-5.72,58.6,66.46,72.17
pets,0.1,367,-5.97,-0.41,-25.43,-0.38,68.93,92.15,92.53
pets,0.2,734,-5.97,-0.41,-21.15,-0.14,73.21,92.45,92.59
pets,0.3,1101,-5.97,-0.41,-20.69,-0.16,73.67,92.5,92.67
pets,0.4,1468,-5.97,-0.41,-18.07,-0.19,76.29,92.48,92.67
pets,0.5,1834,-5.97,-0.41,-12.02,-0.19,82.34,92.48,92.67
pets,0.6,2201,-5.97,-0.41,-9.46,-0.25,84.9,92.45,92.7
pets,0.7,2568,-5.97,-0.41,-5.91,-0.3,88.44,92.42,92.72
pets,0.8,2935,-5.97,-0.41,-3.22,-0.16,91.14,92.5,92.67
pets,0.9,3302,-5.97,-0.41,-1.91,-0.19,92.45,92.56,92.75
pets,1.0,3669,-5.97,-0.41,-1.42,-0.3,92.94,92.45,92.75
