dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_order_rank,tda_confidence,tda_entropy,freetta_pred,freetta_correct,freetta_order_rank,freetta_confidence,freetta_entropy,edgefreetta_pred,edgefreetta_correct,edgefreetta_confidence,edgefreetta_entropy,edgefreetta_updated,edgefreetta_update_weight,edgefreetta_adapter_norm,edgefreetta_residual_norm
caltech,2195,0,87,87,1,0.011230058036744595,4.604989051818848,0.0871368795633316,87,1,182,0.9998335838317871,0.0022551515139639378,87,1,2195,0.011229480616748333,4.604988098144531,87,1,0.011230298317968845,4.604989051818848,0.0,1.0008158746188656e-09,0.0,0.0
caltech,620,1,4,4,1,0.011006397195160389,4.604897975921631,0.04495316743850708,4,1,1729,0.9917635917663574,0.06929238140583038,4,1,620,0.011006804183125496,4.60489559173584,4,1,0.01100626215338707,4.604897499084473,0.0,1.001226435093372e-09,0.0,0.0
caltech,752,2,9,9,1,0.011474527418613434,4.60457706451416,0.031070321798324585,9,1,1903,0.9668233394622803,0.16069719195365906,9,1,752,0.011473353952169418,4.6045708656311035,9,1,0.011474383994936943,4.60457706451416,0.0,1.0026730556944585e-09,0.0,0.0
caltech,1133,3,27,27,1,0.010941862128674984,4.604679107666016,0.012273281812667847,27,1,2255,0.6657311320304871,1.2373104095458984,27,1,1133,0.010944129899144173,4.604677200317383,27,1,0.010942120105028152,4.604679107666016,0.0,1.002212313139239e-09,0.0,0.0
caltech,1528,4,49,49,1,0.010803124867379665,4.604942321777344,0.02287277579307556,49,1,2430,0.8476234674453735,0.8473504781723022,49,1,1528,0.010803978890180588,4.6049418449401855,49,1,0.010803245939314365,4.604942798614502,0.0,1.0010259288151246e-09,0.0,0.0
caltech,618,5,4,4,1,0.011007219552993774,4.604825973510742,0.03191588819026947,4,1,201,0.9892949461936951,0.08316147327423096,4,1,618,0.011007625609636307,4.604823589324951,4,1,0.011006899178028107,4.604826927185059,0.0,1.0015491769266305e-09,0.0,0.0
caltech,1580,6,51,51,1,0.011850741691887379,4.604803085327148,0.11499473452568054,51,1,405,0.9999985694885254,2.433702684356831e-05,51,1,1580,0.011849514208734035,4.604801177978516,51,1,0.011850741691887379,4.604803085327148,0.0,1.0016524276679206e-09,0.0,0.0
caltech,1778,7,61,61,1,0.011278358288109303,4.6048665046691895,0.0365605354309082,61,1,736,0.9822007417678833,0.09848131984472275,61,1,1778,0.011274577118456364,4.6048665046691895,61,1,0.011278318241238594,4.604866027832031,0.0,1.0013677664844067e-09,0.0,0.0
caltech,358,8,2,2,1,0.011026558466255665,4.604948043823242,0.046810805797576904,2,1,2174,0.9904672503471375,0.07960115373134613,2,1,358,0.011025653220713139,4.604947090148926,2,1,0.011026455089449883,4.604948043823242,0.0,1.0009991724402312e-09,0.0,0.0
caltech,457,9,4,4,1,0.010990863665938377,4.604946136474609,0.04222583770751953,4,1,847,0.9940126538276672,0.052596963942050934,4,1,457,0.010991272516548634,4.604944229125977,4,1,0.010990697890520096,4.604947090148926,0.0,1.001008720358243e-09,0.0,0.0
