dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_order_rank,tda_confidence,tda_entropy,freetta_pred,freetta_correct,freetta_order_rank,freetta_confidence,freetta_entropy,edgefreetta_pred,edgefreetta_correct,edgefreetta_confidence,edgefreetta_entropy,edgefreetta_updated,edgefreetta_update_weight,edgefreetta_adapter_norm,edgefreetta_residual_norm
dtd,1045,0,26,26,1,0.023263197392225266,3.8499562740325928,0.06587599217891693,26,1,0,0.998582124710083,0.015412934124469757,26,1,1045,0.023307254537940025,3.8498854637145996,26,1,0.023262782022356987,3.8499560356140137,0.0,2.9918094668346384e-08,0.0,0.0
dtd,38,1,0,39,0,0.022499969229102135,3.8499906063079834,0.023270994424819946,39,0,1,0.9347034096717834,0.43175503611564636,39,0,38,0.02256678231060505,3.8499438762664795,39,0,0.022500989958643913,3.8499903678894043,0.0,2.9913472587850265e-08,0.0,0.0
dtd,1754,2,43,43,1,0.023240448907017708,3.8498716354370117,0.05285072326660156,43,1,2,0.9965934157371521,0.031952373683452606,43,1,1754,0.023348884657025337,3.849792957305908,43,1,0.02323933318257332,3.849871873855591,0.0,2.992945269397751e-08,0.0,0.0
dtd,1226,3,30,30,1,0.02368023991584778,3.849778175354004,0.023498892784118652,30,1,3,0.9865158796310425,0.07563421130180359,30,1,1226,0.02387651614844799,3.8496837615966797,30,1,0.023681169375777245,3.849777936935425,0.0,2.994207193296461e-08,0.0,0.0
dtd,1631,4,40,40,1,0.023443207144737244,3.8498826026916504,0.05956685543060303,40,1,4,0.9987311959266663,0.013094890862703323,40,1,1631,0.02378920465707779,3.8497684001922607,40,1,0.023444127291440964,3.8498826026916504,0.0,2.992796765965977e-08,0.0,0.0
dtd,318,5,7,7,1,0.021918272599577904,3.8500618934631348,0.010447412729263306,7,1,5,0.6532292366027832,1.8501975536346436,7,1,318,0.02198687382042408,3.8500022888183594,7,1,0.021918056532740593,3.850062131881714,0.0,2.9903830522926e-08,0.0,0.0
dtd,779,6,19,26,0,0.022184601053595543,3.8499879837036133,0.010588586330413818,26,0,6,0.8868976831436157,0.6894042491912842,19,1,779,0.022136252373456955,3.8499090671539307,26,0,0.02218419685959816,3.8499879837036133,0.0,2.991381364836343e-08,0.0,0.0
dtd,13,7,0,39,0,0.022368719801306725,3.8499693870544434,0.010649293661117554,39,0,7,0.9460342526435852,0.3614613711833954,39,0,13,0.022407688200473785,3.849914073944092,39,0,0.022369634360074997,3.8499698638916016,0.0,2.991632541693434e-08,0.0,0.0
dtd,1879,8,46,0,0,0.022154519334435463,3.8500165939331055,0.0012875497341156006,0,0,8,0.49265533685684204,1.4820120334625244,0,0,1879,0.022202135995030403,3.8499720096588135,0,0,0.022153720259666443,3.8500168323516846,0.0,2.990993408502618e-08,0.0,0.0
dtd,378,9,9,9,1,0.022594325244426727,3.8499698638916016,0.035801857709884644,9,1,9,0.9573538303375244,0.3105124235153198,9,1,378,0.02284371666610241,3.8498682975769043,9,1,0.022594088688492775,3.8499698638916016,0.0,2.991626857351548e-08,0.0,0.0
dtd,1658,10,41,41,1,0.022236905992031097,3.850018262863159,0.011462092399597168,41,1,10,0.707751452922821,1.2196403741836548,41,1,1658,0.022377418354153633,3.8499600887298584,41,1,0.02223600447177887,3.850018262863159,0.0,2.9909706711350736e-08,0.0,0.0
dtd,1193,11,29,29,1,0.022495485842227936,3.8499791622161865,0.016298383474349976,29,1,11,0.9203393459320068,0.5022135972976685,29,1,1193,0.0225899126380682,3.849900245666504,29,1,0.022495906800031662,3.8499789237976074,0.0,2.9915014465586864e-08,0.0,0.0
dtd,1188,12,29,23,0,0.022286484017968178,3.8500003814697266,0.0062522292137146,23,0,12,0.8064939379692078,1.0182430744171143,23,0,1188,0.022374169901013374,3.849928140640259,23,0,0.022286001592874527,3.8500003814697266,0.0,2.991215808378911e-08,0.0,0.0
dtd,1698,13,42,22,0,0.02185950055718422,3.850015640258789,0.0023085176944732666,22,0,13,0.4705731272697449,2.4188761711120605,22,0,1698,0.02205410785973072,3.849935531616211,22,0,0.02185969427227974,3.850015640258789,0.0,2.991010816799644e-08,0.0,0.0
dtd,411,14,10,30,0,0.022794488817453384,3.8499796390533447,0.015363872051239014,30,0,14,0.9904450178146362,0.06883589178323746,30,0,411,0.022860124707221985,3.8499276638031006,30,0,0.02279548905789852,3.8499789237976074,0.0,2.9914897226035464e-08,0.0,0.0
dtd,520,15,13,13,1,0.022388732060790062,3.8499417304992676,0.021745264530181885,13,1,15,0.8495983481407166,0.8146684169769287,13,1,520,0.022472873330116272,3.8498408794403076,13,1,0.022388629615306854,3.8499414920806885,0.0,2.992003445001501e-08,0.0,0.0
