dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_order_rank,tda_confidence,tda_entropy,freetta_pred,freetta_correct,freetta_order_rank,freetta_confidence,freetta_entropy,edgefreetta_pred,edgefreetta_correct,edgefreetta_confidence,edgefreetta_entropy,edgefreetta_updated,edgefreetta_update_weight,edgefreetta_adapter_norm,edgefreetta_residual_norm
pets,0,0,0,0,1,0.030158348381519318,3.6099181175231934,0.0217587947845459,0,1,722,0.8531236052513123,0.5652036070823669,0,1,0,0.03022388182580471,3.609877586364746,0,1,0.030157193541526794,3.6099185943603516,0.0,8.811431229105438e-08,0.0,0.0
pets,1,1,0,0,1,0.030761417001485825,3.60957670211792,0.039524585008621216,0,1,576,0.9680510759353638,0.1837744265794754,0,1,1,0.03080434538424015,3.6095409393310547,0,1,0.03076068125665188,3.609576940536499,0.0,8.824971331478082e-08,0.0,0.0
pets,2,2,0,0,1,0.032359104603528976,3.6085305213928223,0.07060259580612183,0,1,775,0.9984498023986816,0.013274641707539558,0,1,2,0.032421741634607315,3.6084704399108887,0,1,0.03235839679837227,3.6085305213928223,0.0,8.866611977964567e-08,0.0,0.0
pets,3,3,0,0,1,0.031214356422424316,3.6090774536132812,0.05268707871437073,0,1,1395,0.9837032556533813,0.11133094131946564,0,1,3,0.031246833503246307,3.609039068222046,0,1,0.03121279925107956,3.6090779304504395,0.0,8.844821763887012e-08,0.0,0.0
pets,4,4,0,32,0,0.029585950076580048,3.609630584716797,0.0032555460929870605,32,0,1300,0.3260285258293152,1.8359241485595703,32,0,4,0.029621463268995285,3.609607219696045,32,0,0.029584843665361404,3.609630584716797,0.0,8.822834018928916e-08,0.0,0.0
pets,5,5,0,0,1,0.03010917268693447,3.609990358352661,0.03273084759712219,0,1,3493,0.9175165295600891,0.3803294897079468,0,1,5,0.0301215723156929,3.609973192214966,0,1,0.030108293518424034,3.609990358352661,0.0,8.808557794282024e-08,0.0,0.0
pets,6,6,0,0,1,0.030719436705112457,3.609591007232666,0.05650940537452698,0,1,1261,0.9846077561378479,0.10927627235651016,0,1,6,0.030744893476366997,3.609565019607544,0,1,0.030718708410859108,3.609591007232666,0.0,8.824399344575795e-08,0.0,0.0
pets,7,7,0,0,1,0.030164800584316254,3.61002779006958,0.041004300117492676,0,1,1445,0.9466404318809509,0.30182790756225586,0,1,7,0.030169688165187836,3.6100175380706787,0,1,0.030163543298840523,3.6100282669067383,0.0,8.807079865391643e-08,0.0,0.0
pets,8,8,0,0,1,0.03094111941754818,3.6091222763061523,0.02801799774169922,0,1,602,0.8934394121170044,0.42025941610336304,0,1,8,0.03096041828393936,3.6090898513793945,0,1,0.03093961998820305,3.6091227531433105,0.0,8.843034748906575e-08,0.0,0.0
pets,9,9,0,0,1,0.031504351645708084,3.609288215637207,0.06969884037971497,0,1,1048,0.997525155544281,0.021169088780879974,0,1,9,0.031533729285001755,3.609259605407715,0,1,0.03150312602519989,3.609288454055786,0.0,8.836441622861457e-08,0.0,0.0
pets,10,10,0,9,0,0.028471127152442932,3.6104660034179688,0.0035376250743865967,9,0,10,0.2670908570289612,2.257082462310791,9,0,10,0.02847222425043583,3.610460042953491,9,0,0.028471240773797035,3.6104660034179688,0.0,8.789727701241645e-08,0.0,0.0
