bin_index,entropy_min,entropy_max,count,accuracy
0,0.006682081613689661,0.36574740741157363,109,0.9541284403669725
1,0.36574740741157363,0.7248127332094576,83,0.7831325301204819
2,0.7248127332094576,1.0838780590073416,99,0.6464646464646465
3,1.0838780590073416,1.4429433848052255,123,0.5772357723577236
4,1.4429433848052255,1.8020087106031095,138,0.35507246376811596
5,1.8020087106031095,2.1610740364009935,222,0.3108108108108108
6,2.1610740364009935,2.5201393621988775,279,0.24014336917562723
7,2.5201393621988775,2.8792046879967614,352,0.1534090909090909
8,2.8792046879967614,3.2382700137946454,357,0.11204481792717087
9,3.2382700137946454,3.5973353395925294,118,0.09322033898305085
