bin_index,entropy_min,entropy_max,count,accuracy
0,0.03960289806127548,0.2649032437311245,199,0.8391959798994975
1,0.2649032437311245,0.4902035894009735,345,0.7681159420289855
2,0.4902035894009735,0.7155039350708225,516,0.6705426356589147
3,0.7155039350708225,0.9408042807406716,1363,0.3074101247248716
4,0.9408042807406716,1.1661046264105206,2157,0.23922114047287898
5,1.1661046264105206,1.3914049720803696,2758,0.24583031182015955
6,1.3914049720803696,1.6167053177502186,3363,0.2423431460005947
7,1.6167053177502186,1.8420056634200677,4083,0.18344354641195199
8,1.8420056634200677,2.0673060090899167,5416,0.09416543574593796
9,2.0673060090899167,2.2926063547597657,6800,0.013529411764705882
