method,metric,mean,std,corr_with_correctness,mean_when_correct,mean_when_incorrect
tda,cache_fill_ratio,0.812292656803625,0.30227641894759255,0.02010671590390924,0.8154455638187479,0.8005766488592545
tda,entropy,1.2870953273861732,0.43983352519960467,-0.3526561855787897,1.2066305919461124,1.586097319876167
tda,jsd_clip_fused,0.04466096371976346,0.025655482165271776,0.22680550578098005,0.04767952173212929,0.03344418838075368
tda,pred_confidence,0.6291410548464743,0.17065460693259515,0.4010894349312163,0.6646489551563405,0.4971958880137968
freetta,em_weight,0.14035616034035805,0.23244152978848456,0.508240307789988,0.2809826544737531,0.041113474103959345
freetta,entropy,0.731429994672219,0.5498710448573034,-0.5245863730318069,0.38806013143020135,0.9737523807258606
freetta,mu_drift_from_init,0.45257700685479174,0.0867427841292159,-0.15699163507325944,0.43636658976016485,0.4640169943720598
freetta,mu_update_norm,0.00022459986018705477,0.0008270350104961844,0.2743234000707013,0.000494666579694185,3.4008841957476215e-05
freetta,pred_confidence,0.9057046963761437,0.1607979819002788,0.2723339808809263,0.957832178461693,0.8689173798694659
freetta,weight,0.14035616034035805,0.23244152978848456,0.508240307789988,0.2809826544737531,0.041113474103959345
