dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
caltech,697,2002,5,70,0,0.15193824470043182,3.096668243408203,0,0,0,67,0,0.22671641409397125,2.8762998580932617,1,0,0,300,78,0,70,0,0.14963221549987793,3.0716795921325684,0,0,0,0.13301426814359707,8.626112685305998e-05,1.1354074478149414,3.6802961826324463,0.3553054428100586,70,0,0.15004675090312958,3.069721221923828,0,0,0,0.04193709435846231,1.1355115175247192,67,0,0.18660661578178406,2.9527957439422607,1,0,0,300,0.0032103348057717085,67,0,0.16589221358299255,2.9969255924224854,1,0,0,22.181053161621094,13.906241416931152,1.1354074478149414
caltech,962,212,19,49,0,0.21053823828697205,3.0134940147399902,0,0,0,49,0,0.4725087285041809,1.6482212543487549,0,0,0,160,12,0,49,0,0.23418667912483215,2.947783946990967,0,0,0,0.1404202240613121,0.0014969956828281283,1.0904823541641235,3.6747870445251465,0.39498664855957033,49,0,0.23485001921653748,2.944849967956543,0,0,0,0.03755868544600939,1.08585786819458,49,0,0.4685470759868622,1.6907017230987549,0,0,0,160,0.0016219865065068007,49,0,0.3799763321876526,2.3360161781311035,0,0,0,13.769209861755371,12.79347038269043,1.0904823541641235
caltech,3,533,0,90,0,0.20210087299346924,2.9820175170898438,0,0,0,90,0,0.9655263423919678,0.25451555848121643,0,0,0,258,28,0,90,0,0.18073256313800812,2.9347472190856934,0,0,0,0.14332928243372187,0.0007617516093887389,1.1344833374023438,3.6654467582702637,0.3559777450561523,90,0,0.17671795189380646,2.9446918964385986,0,0,0,0.04307116104868914,1.1331074237823486,90,0,0.9670562744140625,0.24462875723838806,0,0,0,258,0.003134035738185048,0,1,0.1763758659362793,2.912264823913574,1,1,0,8.085748672485352,9.749439239501953,1.1344833374023438
caltech,693,2082,5,52,0,0.23231126368045807,2.8791861534118652,0,0,0,52,0,0.27964478731155396,2.731992244720459,0,0,0,300,80,0,52,0,0.23234570026397705,2.8621304035186768,0,0,0,0.15325962276266683,9.470903023611754e-05,1.1353867053985596,3.683302879333496,0.3553295516967773,52,0,0.23291021585464478,2.8612542152404785,0,0,0,0.04128660585693711,1.1354864835739136,52,0,0.22604228556156158,2.8260815143585205,0,0,0,300,0.003197698388248682,52,0,0.27639737725257874,2.7220711708068848,0,0,0,22.807891845703125,13.934831619262695,1.1353867053985596
caltech,2139,661,84,56,0,0.3437829911708832,2.704177141189575,0,0,0,56,0,0.6425630450248718,1.5740898847579956,0,0,0,276,31,0,56,0,0.36131343245506287,2.6116981506347656,0,0,0,0.17176745433890392,0.0003122440248262137,1.1359976530075073,3.704200267791748,0.3545262908935547,56,0,0.36241018772125244,2.608872413635254,0,0,0,0.04984894259818731,1.1362756490707397,56,0,0.6098626852035522,1.652105450630188,0,0,0,276,0.002810772741213441,56,0,0.41279715299606323,2.331359624862671,0,0,0,20.520553588867188,13.548009872436523,1.1359976530075073
caltech,839,2265,13,65,0,0.18534712493419647,2.661228656768799,0,0,0,66,0,0.4372674524784088,2.064319133758545,1,0,0,300,82,0,65,0,0.19261330366134644,2.6013412475585938,0,0,0,0.1766410757984217,9.821126877795905e-05,1.1352812051773071,3.6743311882019043,0.35544998168945313,65,0,0.19319796562194824,2.600559711456299,0,0,0,0.0410414827890556,1.1353797912597656,66,0,0.3468022644519806,2.2076005935668945,1,0,0,300,0.0032608318142592907,72,0,0.20431216061115265,2.4624078273773193,1,0,0,25.96070671081543,14.519606590270996,1.1352812051773071
caltech,25,555,0,36,0,0.410809189081192,2.582374095916748,0,0,0,36,0,0.3242807686328888,2.3041138648986816,0,0,0,261,28,0,36,0,0.37523943185806274,2.470003128051758,0,0,0,0.18595207589320675,0.0005543750012293458,1.1346454620361328,3.664240598678589,0.3558118438720703,36,0,0.37790483236312866,2.4802029132843018,0,0,0,0.044964028776978415,1.1350740194320679,36,0,0.353891521692276,2.2361133098602295,0,0,0,261,0.0030707537662237883,0,1,0.3386518061161041,2.1802456378936768,1,1,0,10.555594444274902,10.685018539428711,1.1346454620361328
caltech,1673,1344,55,31,0,0.47958722710609436,2.5392189025878906,0,0,0,31,0,0.4290710985660553,2.5105156898498535,0,0,0,300,59,0,31,0,0.46862125396728516,2.5433285236358643,0,0,0,0.19125394707239102,0.0001480189384892583,1.136425495147705,3.68339467048645,0.3541480255126953,31,0,0.4681720733642578,2.5442309379577637,0,0,0,0.048327137546468404,1.1366667747497559,31,0,0.44570645689964294,2.424072265625,0,0,0,300,0.0030537040438503027,31,0,0.45246729254722595,2.510007858276367,0,0,0,20.898483276367188,13.663788795471191,1.136425495147705
caltech,1838,894,64,98,0,0.43926551938056946,2.52360463142395,0,0,0,98,0,0.38403263688087463,2.315356731414795,0,0,0,294,41,0,98,0,0.4649982154369354,2.393921375274658,0,0,0,0.1932092776203721,0.00029501679819077253,1.1369373798370361,3.7064106464385986,0.35356727600097654,98,0,0.46699848771095276,2.398589849472046,0,0,0,0.0446927374301676,1.1372911930084229,98,0,0.404829740524292,2.1001474857330322,0,0,0,294,0.0027328934520483017,98,0,0.42340320348739624,2.277383327484131,0,0,0,24.54790496826172,14.188620567321777,1.1369373798370361
caltech,883,1129,15,79,0,0.41671863198280334,2.5028133392333984,0,0,0,79,0,0.5692536234855652,1.7726237773895264,0,0,0,300,49,0,79,0,0.4550279676914215,2.3548290729522705,0,0,0,0.19584395670641527,0.00026483461260795593,1.1364957094192505,3.700875997543335,0.35406585693359377,79,0,0.4552912414073944,2.3540947437286377,0,0,0,0.047787610619469026,1.1367954015731812,79,0,0.5589917302131653,1.817289113998413,0,0,0,300,0.002976402174681425,79,0,0.5609736442565918,2.013321876525879,0,0,0,16.311729431152344,12.144285202026367,1.1364957094192505
