dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
caltech,687,537,5,51,0,0.244656041264534,3.2443747520446777,0,0,0,5,1,0.4737619459629059,2.4432926177978516,1,1,0,258,28,0,51,0,0.22364278137683868,3.202958822250366,0,0,0,0.12081184062315799,0.0003549932735040784,1.1344996690750122,3.6581640243530273,0.3559611511230469,51,0,0.22530744969844818,3.2107229232788086,0,0,0,0.04460966542750929,1.133131980895996,5,1,0.5356724262237549,2.2260262966156006,1,1,0,258,0.003174303565174341,5,1,0.3434213697910309,2.819643974304199,1,1,0,21.954313278198242,14.064665794372559,1.1344996690750122
caltech,17,1474,0,12,0,0.25309887528419495,3.009955644607544,0,0,0,0,1,0.4491465091705322,2.0709869861602783,1,1,0,300,62,0,12,0,0.25806358456611633,2.813847780227661,0,0,0,0.14074427871976747,0.00010135384218301624,1.1362817287445068,3.687168598175049,0.35431259155273437,12,0,0.2571214735507965,2.819456100463867,0,0,0,0.04813559322033898,1.136481523513794,0,1,0.48157361149787903,2.0780303478240967,1,1,0,300,0.0030029709450900555,0,1,0.34894442558288574,2.5442306995391846,1,1,0,9.53996467590332,10.066854476928711,1.1362817287445068
caltech,70,947,0,24,0,0.3912801742553711,2.587343454360962,0,0,0,0,1,0.5645793676376343,1.8509836196899414,1,1,0,296,44,0,24,0,0.3752465844154358,2.385087728500366,0,0,0,0.18535107632355913,0.00019471415726002306,1.1366257667541504,3.7079684734344482,0.35392112731933595,24,0,0.3715823292732239,2.4056248664855957,0,0,0,0.04852320675105485,1.1369709968566895,0,1,0.5643472075462341,1.8230966329574585,1,1,0,296,0.0027692827861756086,0,1,0.49761223793029785,1.956023931503296,1,1,0,15.305639266967773,12.161827087402344,1.1366257667541504
caltech,610,929,4,23,0,0.37460047006607056,2.066525936126709,0,0,0,4,1,0.43455377221107483,1.8498526811599731,1,1,0,295,42,1,23,0,0.3760632276535034,1.9599010944366455,0,0,0,0.26022173648943686,0.00026002610684372485,1.136730670928955,3.7112021446228027,0.35380168914794924,23,0,0.37254711985588074,1.964829444885254,0,0,0,0.046236559139784944,1.137089729309082,4,1,0.4371342062950134,1.812839388847351,1,1,0,295,0.0027328934520483017,4,1,0.676149845123291,1.261997103691101,1,1,0,13.774139404296875,11.112102508544922,1.136730670928955
caltech,688,1170,5,81,0,0.45608657598495483,1.7314444780349731,0,0,0,5,1,0.6015827655792236,1.479310393333435,1,1,0,300,51,1,81,0,0.41247376799583435,1.7369029521942139,0,0,0,0.32370096356729766,0.0004120494704693556,1.136471152305603,3.6906373500823975,0.3540947723388672,81,0,0.415200412273407,1.7399832010269165,0,0,0,0.04867634500426986,1.1367685794830322,5,1,0.6409281492233276,1.3337585926055908,1,1,0,300,0.0029983462300151587,5,1,0.4923189580440521,1.616613507270813,1,1,0,21.091602325439453,13.351846694946289,1.136471152305603
caltech,707,1308,6,80,0,0.47950494289398193,1.6588371992111206,0,0,0,6,1,0.4812646210193634,1.41362726688385,1,1,0,300,57,1,80,0,0.48009923100471497,1.6132383346557617,0,0,0,0.339379704395256,0.0003394641389604658,1.136478066444397,3.6847293376922607,0.35408668518066405,80,0,0.4803615212440491,1.613430380821228,0,0,0,0.04736440030557677,1.1367532014846802,6,1,0.44816485047340393,1.4032645225524902,1,1,0,300,0.0030256113968789577,80,0,0.5330470204353333,1.419975757598877,0,0,0,20.037487030029297,13.077486991882324,1.136478066444397
caltech,686,889,5,98,0,0.6894123554229736,1.127110481262207,0,0,0,5,1,0.5822339653968811,0.9840388298034668,1,1,0,294,41,1,98,0,0.6883546710014343,1.0695271492004395,0,0,0,0.4798667559867154,0.000702225195709616,1.1369521617889404,3.709411144256592,0.35354976654052733,98,0,0.6910016536712646,1.0684148073196411,0,0,0,0.04269662921348315,1.1373118162155151,5,1,0.6134939193725586,0.9055949449539185,1,1,0,294,0.0027328934520483017,98,0,0.5297762751579285,1.1091901063919067,0,0,0,24.574064254760742,14.149438858032227,1.1369521617889404
caltech,1106,1324,26,58,0,0.6502990126609802,1.0256156921386719,0,0,0,26,1,0.4385181665420532,1.1091480255126953,1,1,0,300,59,1,58,0,0.6456182599067688,1.0162973403930664,0,0,0,0.5126669662742562,0.0006275004707276821,1.1363705396652222,3.6848487854003906,0.3542103576660156,58,0,0.6404894590377808,1.0244698524475098,0,0,0,0.04830188679245283,1.1366167068481445,26,1,0.4439972937107086,1.0717750787734985,1,1,0,300,0.0030707537662237883,58,0,0.5197033882141113,1.0646034479141235,0,0,0,23.660982131958008,13.508161544799805,1.1363705396652222
caltech,2409,2278,96,1,0,0.6443641781806946,0.9687250256538391,0,0,0,96,1,0.5511032938957214,0.9364803433418274,1,1,0,300,83,1,1,0,0.617565393447876,0.9934593439102173,0,0,0,0.5320233488170371,0.0002281033666804433,1.1352909803390503,3.673689365386963,0.35543846130371093,1,0,0.6195412278175354,0.9917923212051392,0,0,0,0.041246160596752963,1.1353892087936401,96,1,0.6333555579185486,0.912444531917572,1,1,0,300,0.0032640171702951193,1,0,0.4683327078819275,1.0644456148147583,0,0,0,22.93914794921875,13.461567878723145,1.1352909803390503
caltech,1031,1852,22,62,0,0.5963227152824402,0.9534748196601868,0,0,0,22,1,0.7975856065750122,0.725579023361206,1,1,0,300,73,1,62,0,0.527938187122345,0.992464542388916,0,0,0,0.5373351477521132,0.00020532328926492482,1.1357078552246094,3.684885025024414,0.3549639129638672,62,0,0.5276180505752563,0.9924617409706116,0,0,0,0.042093901780895844,1.1358188390731812,22,1,0.7865298390388489,0.7422298192977905,1,1,0,300,0.003168310970067978,62,0,0.5013218522071838,0.9380762577056885,0,0,0,15.711803436279297,11.85671329498291,1.1357078552246094
