dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
dtd,617,599,15,15,1,0.09956347942352295,3.495621681213379,0,0,0,15,1,0.10960008203983307,3.3701746463775635,0,0,0,128,47,0,15,1,0.15440350770950317,3.173741102218628,0,0,0,0.2561791191262208,0.0008619195432402194,1.1540533304214478,2.0921735763549805,0.3340473986686544,15,1,0.13420908153057098,3.088029384613037,0,0,0,0.6316666666666667,1.1282927989959717,15,1,0.10717464238405228,3.391641616821289,0,0,0,128,0.31043484807014465,15,1,0.13512802124023438,3.292590618133545,0,0,0,12.69398307800293,155.92935180664062,1.1540533304214478
dtd,1387,1728,34,34,1,0.08175482600927353,3.48158597946167,0,0,0,34,1,0.14980049431324005,3.2965972423553467,0,0,0,135,55,0,34,1,0.2443687915802002,2.9300007820129395,0,0,0,0.25758382286656606,0.0003551421395968646,1.160096526145935,2.0812413692474365,0.32704010415584484,34,1,0.20754167437553406,2.94065523147583,0,0,0,0.6425679583574321,1.1484683752059937,34,1,0.16231393814086914,3.2731411457061768,0,0,0,135,0.3209768831729889,34,1,0.18073830008506775,3.1623735427856445,0,0,0,11.005784034729004,144.68980407714844,1.160096526145935
dtd,718,1322,17,17,1,0.08434129506349564,3.362574577331543,0,0,0,17,1,0.3081471621990204,2.8815813064575195,0,0,0,134,54,0,17,1,0.13219374418258667,2.97678804397583,0,0,0,0.2698082353418068,0.00030829207389615476,1.1592220067977905,2.077096700668335,0.32805810076125125,27,0,0.1316830813884735,2.8922014236450195,1,0,1,0.6455026455026455,1.1446276903152466,17,1,0.3030147850513458,2.8781819343566895,0,0,0,134,0.33098304271698,17,1,0.17756053805351257,3.0160703659057617,0,0,0,16.032793045043945,170.48544311523438,1.1592220067977905
dtd,1149,86,28,28,1,0.10006355494260788,3.338879108428955,0,0,0,28,1,0.18605683743953705,2.972195863723755,0,0,0,70,18,0,28,1,0.22505992650985718,2.718491792678833,0,0,0,0.27231053671396804,0.006171712186187506,1.1060307025909424,2.0985352993011475,0.3872237915688373,42,0,0.2628084421157837,2.592935562133789,1,0,1,0.5747126436781609,0.9645196795463562,28,1,0.1868547946214676,2.971855640411377,0,0,0,70,0.2634730339050293,21,0,0.11368941515684128,3.0341432094573975,1,0,1,8.979158401489258,156.44773864746094,1.1060307025909424
dtd,1368,292,34,34,1,0.125594824552536,3.337582588195801,0,0,0,34,1,0.23966629803180695,2.9629874229431152,0,0,0,116,31,0,34,1,0.3230535089969635,2.667361259460449,0,0,0,0.2724481289579194,0.0023659600410610437,1.1462610960006714,2.0858187675476074,0.3430038614475981,34,1,0.11268910020589828,2.984241485595703,0,0,0,0.6109215017064846,1.1035140752792358,34,1,0.24734413623809814,2.9489095211029053,0,0,0,116,0.3209768831729889,34,1,0.2911963164806366,2.791384220123291,0,0,0,10.961695671081543,145.60879516601562,1.1462610960006714
dtd,1196,437,29,29,1,0.1659698635339737,3.312451124191284,0,0,0,29,1,0.4019388258457184,2.5458669662475586,0,0,0,124,38,0,29,1,0.4567049741744995,2.380162477493286,0,0,0,0.27512880761254205,0.0008708542445674539,1.150766372680664,2.110440969467163,0.3378365699281084,29,1,0.4697187840938568,2.326768398284912,0,0,0,0.6095890410958904,1.1184026002883911,29,1,0.3918018341064453,2.5700457096099854,0,0,0,124,0.30230146646499634,29,1,0.45869216322898865,2.4783284664154053,0,0,0,15.703763961791992,174.8050994873047,1.150766372680664
dtd,996,910,24,24,1,0.09604642540216446,3.2655186653137207,0,0,0,24,1,0.14512574672698975,3.096207857131958,0,0,0,132,51,0,24,1,0.13906975090503693,3.0403599739074707,0,0,0,0.2802057061281095,0.0005738452891819179,1.157589077949524,2.083972930908203,0.3299535183196372,24,1,0.18305428326129913,2.948289394378662,0,0,0,0.6355653128430296,1.1391099691390991,33,0,0.14005210995674133,3.101325035095215,1,0,1,132,0.31390851736068726,24,1,0.1294771283864975,3.1159732341766357,0,0,0,12.455241203308105,152.38156127929688,1.157589077949524
dtd,932,1082,23,23,1,0.15524564683437347,3.263465166091919,0,0,0,23,1,0.3313524127006531,2.88675594329834,0,0,0,134,53,0,23,1,0.32879161834716797,2.586428165435791,0,0,0,0.2804299641803853,0.0003316636139061302,1.1587207317352295,2.075479507446289,0.3286418914794922,23,1,0.391256719827652,2.3362085819244385,0,0,0,0.641735918744229,1.1421606540679932,23,1,0.3277072608470917,2.9115045070648193,0,0,0,134,0.32894739508628845,23,1,0.30336809158325195,2.737781524658203,0,0,0,16.610706329345703,172.39944458007812,1.1587207317352295
dtd,1390,172,34,34,1,0.1371634304523468,3.260077476501465,0,0,0,34,1,0.4674682915210724,2.134032726287842,0,0,0,96,29,0,34,1,0.21875110268592834,2.8450064659118652,0,0,0,0.2808003271934717,0.003623416880145669,1.1347061395645142,2.146226167678833,0.3561071842274767,7,0,0.2117335945367813,2.769331693649292,1,0,1,0.5433526011560693,1.0727574825286865,34,1,0.4681558310985565,2.1576223373413086,0,0,0,96,0.2615424394607544,21,0,0.1962602287530899,2.797070026397705,1,0,1,11.84941291809082,159.16091918945312,1.1347061395645142
dtd,1529,528,38,38,1,0.11917394399642944,3.244398593902588,0,0,0,38,1,0.33155593276023865,2.6204657554626465,0,0,0,127,43,0,38,1,0.19401513040065765,2.8297007083892822,0,0,0,0.28252083502855874,0.0011300676269456744,1.1527066230773926,2.087296962738037,0.3355998587101064,38,1,0.22126717865467072,2.8155517578125,0,0,0,0.6313799621928167,1.1256003379821777,38,1,0.3298664391040802,2.6331653594970703,0,0,0,127,0.31390851736068726,45,0,0.17068485915660858,2.9236998558044434,1,0,1,12.140542030334473,148.46078491210938,1.1527066230773926
