dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
dtd,502,0,12,20,0,0.4763041138648987,2.3465781211853027,0,0,0,20,0,0.8704723715782166,0.7947145700454712,0,0,0,1,0,0,20,0,0.6861522793769836,1.5151095390319824,0,0,0,0.40083067785888515,0.18477492034435272,0.18477492034435272,4.644143581390381,0.9590563672654172,20,0,0.6861522793769836,1.5151095390319824,0,0,0,1.0,0.0,20,0,0.8704723715782166,0.7947145700454712,0,0,0,1,0.0,20,0,0.5875717401504517,1.9174219369888306,0,0,0,0.0,53.31880187988281,0.18477492034435272
dtd,704,1,17,29,0,0.1552891731262207,3.3338048458099365,0,0,0,29,0,0.5738246440887451,2.1508231163024902,0,0,0,2,0,0,20,0,0.6416518092155457,0.9037554860115051,1,0,0,0.2728494181199377,0.1582358330488205,0.3200071454048157,3.2272775173187256,0.9174228424721576,29,0,0.23134708404541016,3.012108325958252,0,0,0,1.0,0.0,29,0,0.5738246440887451,2.1508231163024902,0,0,0,2,0.0,20,0,0.3108981251716614,2.2529075145721436,1,0,0,0.9389641284942627,77.18899536132812,0.3200071454048157
dtd,306,2,7,7,1,0.9350449442863464,0.4348791539669037,0,0,0,7,1,0.9906638860702515,0.08094660937786102,0,0,0,3,0,0,8,0,0.3792913556098938,1.753225564956665,1,0,1,0.8441484159553083,0.05704234540462494,0.36626389622688293,2.75732159614563,0.8961296893180685,7,1,0.9868341088294983,0.10491086542606354,0,0,0,0.6666666666666666,0.07556531578302383,7,1,0.9895171523094177,0.08966805785894394,0,0,0,3,0.0,7,1,0.6175110936164856,1.426695466041565,0,0,0,1.0240824222564697,82.73988342285156,0.36626389622688293
dtd,68,3,1,41,0,0.10272153466939926,3.116600751876831,0,0,0,41,0,0.4528769850730896,2.394301176071167,0,0,0,4,0,0,7,0,0.5239080190658569,1.5819056034088135,1,0,0,0.2969434713392025,0.1444035917520523,0.4831774830818176,2.516757011413574,0.848940260866855,7,0,0.9987773299217224,0.012528013437986374,1,0,0,0.75,0.07556531578302383,41,0,0.453665554523468,2.3917269706726074,0,0,0,4,0.0,7,0,0.26354897022247314,2.5267672538757324,1,0,0,1.3038901090621948,95.38765716552734,0.4831774830818176
dtd,1058,4,26,26,1,0.8021602630615234,1.1391030550003052,0,0,0,26,1,0.9630782604217529,0.27939027547836304,0,0,0,5,1,1,24,0,0.4975729286670685,1.7603425979614258,1,0,1,0.6416005514698234,0.0755525603890419,0.5382109880447388,2.4463717937469482,0.820907917428524,7,0,0.4595935344696045,1.4998104572296143,1,0,1,0.6,0.18847988545894623,26,1,0.9630807042121887,0.27936500310897827,0,0,0,5,0.0,24,0,0.333253413438797,2.42342472076416,1,0,1,1.372865080833435,103.76824188232422,0.5382109880447388
dtd,1090,5,27,27,1,0.5747140049934387,1.7883155345916748,0,0,0,27,1,0.9021453261375427,0.5842796564102173,0,0,0,6,2,1,27,1,0.8984485268592834,0.5595477819442749,0,0,0,0.4982169687331281,0.0861620157957077,0.6035744547843933,2.3990695476531982,0.784056805549784,25,0,0.6409330368041992,1.2278598546981812,1,0,1,0.5,0.3006719946861267,27,1,0.9022082686424255,0.5838258862495422,0,0,0,6,0.0,27,1,0.8495381474494934,0.8270885944366455,0,0,0,1.7918487787246704,120.56733703613281,0.6035744547843933
dtd,674,6,16,27,0,0.3080956041812897,2.354823589324951,0,0,0,27,0,0.8907968401908875,0.6254273653030396,0,0,0,7,2,0,27,0,0.8073040246963501,0.9107740521430969,0,0,0,0.39954511842978313,0.055614784359931946,0.6382729411125183,2.316046714782715,0.7601713626942737,27,0,0.9575877785682678,0.22355404496192932,0,0,0,0.5714285714285714,0.3006719946861267,27,0,0.8908350467681885,0.6251269578933716,0,0,0,7,0.0,27,0,0.708534300327301,1.264675498008728,0,0,0,2.3175692558288574,131.46812438964844,0.6382729411125183
dtd,449,7,11,6,0,0.2571132779121399,2.8409852981567383,0,0,0,6,0,0.716498613357544,1.4728761911392212,0,0,0,8,2,0,24,0,0.17425888776779175,2.43332576751709,1,0,0,0.33060366502800337,0.08715851604938507,0.6965882182121277,2.2567877769470215,0.7256550078696393,24,0,0.34631413221359253,1.636138677597046,1,0,0,0.625,0.3006719946861267,6,0,0.7166776657104492,1.471803903579712,0,0,0,8,0.0,11,1,0.15090392529964447,2.717710494995117,1,1,0,2.168757677078247,118.30509185791016,0.6965882182121277
dtd,1326,8,33,40,0,0.1349201500415802,3.186122417449951,0,0,0,40,0,0.3663097620010376,2.144834518432617,0,0,0,9,2,0,27,0,0.2980031371116638,2.1807806491851807,1,0,0,0.28900858536854285,0.05360644310712814,0.7294487357139587,2.1834051609039307,0.7043291457155918,27,0,0.5522950291633606,1.269627571105957,1,0,0,0.6666666666666666,0.3006719946861267,40,0,0.3663933575153351,2.143968343734741,0,0,0,9,0.0,27,0,0.44732585549354553,2.205742835998535,1,0,0,3.093841791152954,142.91836547851562,0.7294487357139587
dtd,1463,9,36,36,1,0.5381343364715576,1.9853315353393555,0,0,0,36,1,0.8948098421096802,0.6359067559242249,0,0,0,10,2,0,10,0,0.25656506419181824,2.499307155609131,1,0,1,0.4614063717162284,0.07765232026576996,0.7750719785690308,2.1838877201080322,0.674492653380049,10,0,0.871284544467926,0.6283631324768066,1,0,1,0.6,0.403342068195343,36,1,0.8948390483856201,0.6356760859489441,0,0,0,10,0.0,36,1,0.27879688143730164,2.525341272354126,0,0,0,1.8543105125427246,115.41744995117188,0.7750719785690308
