dataset,method,subset,n,mean_entropy,median_entropy,std_entropy,mean_confidence,median_confidence,std_confidence
caltech,clip,all,2465,0.37388035586433443,0.12575820088386536,0.568295820245674,0.9019490903881936,0.9814630746841431,0.15915901252467435
caltech,clip,correct,2306,0.3245789412660375,0.09981013834476471,0.5221646391290915,0.9218288173920056,0.9856084883213043,0.13690621798850128
caltech,clip,wrong,159,1.0889059034346034,0.7724253535270691,0.711348257791509,0.6136305339681277,0.6225627660751343,0.17894990009597408
caltech,tda,all,2465,0.15190679002801155,0.0039934986270964146,0.38532263118418925,0.9572338002085927,0.9996294975280762,0.11389563487147605
caltech,tda,correct,2303,0.11882344370651897,0.0029578630346804857,0.34269885570830827,0.9706139265649794,0.999725878238678,0.0906404071215703
caltech,tda,wrong,162,0.6222212750798474,0.5847018659114838,0.5940175195358319,0.7670212631792198,0.8030281662940979,0.20461044897174127
caltech,freetta,all,2465,0.3208049171561667,0.09770660847425461,0.5062838137691277,0.9130847195945453,0.9867139458656311,0.14874136614850525
caltech,freetta,correct,2311,0.27334597337620176,0.07937411963939667,0.4558224224769948,0.932441800239539,0.9891293048858643,0.1247767589038699
caltech,freetta,wrong,154,1.0329972488152517,0.748521625995636,0.6662274614796337,0.6226028145907762,0.6219103634357452,0.17460027252584984
caltech,conf_ftta,all,2465,0.3211262760401748,0.09752091020345688,0.5086244416915101,0.9130279405182322,0.9867110848426819,0.14910675811006
caltech,conf_ftta,correct,2311,0.27367047868498257,0.07919178903102875,0.4585238831157036,0.9323868207836605,0.9892155528068542,0.12523564850460445
caltech,conf_ftta,wrong,154,1.033271390896339,0.7483943700790405,0.6669988410893755,0.6225190295220969,0.6220193803310394,0.1746105971511736
caltech,ent_tda,all,2465,0.15018324841568584,0.004282531328499317,0.3787029317073714,0.9575430378348059,0.9995912909507751,0.11285469541420418
caltech,ent_tda,correct,2307,0.11830127643569781,0.0032102030236274004,0.33680551802404546,0.9704938574650095,0.9997115731239319,0.09031250251013893
caltech,ent_tda,wrong,158,0.615700396250068,0.572540283203125,0.5912564240232826,0.7684446777912635,0.7922837436199188,0.20347085750766067
caltech,hybrid,all,2465,0.22685043426071044,0.03498326614499092,0.4274586811359114,0.93646183075576,0.9957200884819031,0.1312646986980465
caltech,hybrid,correct,2314,0.18641504419587526,0.027840254828333855,0.38094192227752527,0.9524773592089102,0.9966797828674316,0.10880548296764843
caltech,hybrid,wrong,151,0.8465027032012971,0.6826937198638916,0.5915753773035374,0.6910318119439068,0.6796295046806335,0.18891878839200482
dtd,clip,all,1880,2.1533487554253177,2.4190561771392822,0.9416144202362704,0.44245407423797123,0.36932753026485443,0.2722264748438971
dtd,clip,correct,826,1.6401971224672893,1.6709065437316895,0.9960684336637883,0.5952896210962577,0.6101475954055786,0.2787722243889162
dtd,clip,wrong,1054,2.5554960503241144,2.7467000484466553,0.6601991459291638,0.322679727269333,0.2538047283887863,0.19654281712471053
dtd,tda,all,1880,1.6539852779348718,1.7950834035873413,0.9918315494274895,0.5688050430386942,0.5469546914100647,0.2875193631943979
dtd,tda,correct,866,1.1466776511027514,0.9261351227760315,0.9496753404504473,0.7172143459750241,0.8063332140445709,0.2638454793935327
dtd,tda,wrong,1014,2.0872480045982016,2.297404646873474,0.8038135784664732,0.4420570584796589,0.37610702216625214,0.24277466075950724
dtd,freetta,all,1880,1.5280678209510061,1.6257107853889465,0.9653805458989169,0.5790390076313882,0.5452896654605865,0.2876950982483901
dtd,freetta,correct,864,1.039926161589274,0.8722572326660156,0.9028167557354931,0.7259687480982393,0.8067968487739563,0.2622416750442761
dtd,freetta,wrong,1016,1.9431804131641324,2.167781710624695,0.8101868175367316,0.4540908818800501,0.3862650841474533,0.246376658970649
dtd,conf_ftta,all,1880,1.508852922248557,1.5822877883911133,0.9761529388249132,0.5788161141322331,0.5476766228675842,0.2921169375546836
dtd,conf_ftta,correct,823,0.9755035653382691,0.7137507200241089,0.9008234854149996,0.7396421632836975,0.8358156085014343,0.26235171561616794
dtd,conf_ftta,wrong,1057,1.9241287223783268,2.1641974449157715,0.8179386551054183,0.453593939627356,0.388360857963562,0.2497257630113569
