dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
eurosat,7682,7360,9,3,0,0.1745406538248062,2.2415308952331543,0,0,0,1,0,0.3752254247665405,1.7352924346923828,1,0,0,30,18,0,9,1,0.9587981104850769,0.20763050019741058,1,1,0,0.05390924094721195,2.8957383619854227e-05,1.141154408454895,0.717376172542572,0.34880619049072265,9,1,0.973617434501648,0.14862734079360962,1,1,0,0.6394511615269665,1.1315512657165527,1,0,0.390067458152771,1.723376750946045,1,0,0,30,0.3962448239326477,9,1,0.7054745554924011,0.9820935130119324,1,1,0,5.278014659881592,216.705810546875,1.141154408454895
eurosat,7275,7589,9,3,0,0.15822336077690125,2.232658624649048,0,0,0,2,0,0.34816864132881165,1.6876447200775146,1,0,0,30,18,0,9,1,0.975311815738678,0.13575823605060577,1,1,0,0.054536016474712165,3.582612771424465e-05,1.1412245035171509,0.7165008783340454,0.3487252235412598,9,1,0.9882745742797852,0.07740791141986847,1,1,0,0.6397891963109354,1.1317510604858398,2,0,0.3321475684642792,1.6829428672790527,1,0,0,30,0.396913081407547,9,1,0.7880379557609558,0.7496168613433838,1,1,0,5.408596992492676,215.1268768310547,1.1412245035171509
eurosat,1492,7397,1,5,0,0.16013412177562714,2.2269530296325684,0,0,0,5,0,0.27361270785331726,1.8962727785110474,0,0,0,30,18,0,1,1,0.3327060341835022,1.720206618309021,1,1,0,0.05494293866391853,3.582680074032396e-05,1.1411839723587036,0.7172278761863708,0.348771858215332,9,0,0.45189011096954346,1.347730040550232,1,0,0,0.6396323330629899,1.1315739154815674,1,1,0.2715078592300415,1.9049991369247437,1,1,0,30,0.3960166871547699,2,0,0.24821139872074127,1.8737176656723022,1,0,0,8.400275230407715,224.4287567138672,1.1411839723587036
eurosat,8022,3489,9,0,0,0.15212728083133698,2.2233619689941406,0,0,0,2,0,0.3911270797252655,1.7255699634552002,1,0,0,30,13,0,9,1,0.9970826506614685,0.022228926420211792,1,1,0,0.05520060064272172,9.923920879373327e-05,1.1382062435150146,0.7136516571044922,0.35219409465789797,9,1,0.7578520774841309,0.8261666893959045,1,1,0,0.6326647564469914,1.1182361841201782,2,0,0.3857550621032715,1.7436267137527466,1,0,0,30,0.4027658700942993,9,1,0.981722891330719,0.11364591866731644,1,1,0,4.788821220397949,196.39471435546875,1.1382062435150146
eurosat,1632,673,1,3,0,0.14544051885604858,2.2216439247131348,0,0,0,9,0,0.281457781791687,1.7838244438171387,1,0,0,30,11,0,1,1,0.4721795618534088,1.395258903503418,1,1,0,0.055324299663258115,0.0002820908557623625,1.116809606552124,0.7261203527450562,0.3762697696685791,1,1,0.5923231244087219,1.321231722831726,1,1,0,0.6142433234421365,1.0311505794525146,9,0,0.31974971294403076,1.787955403327942,1,0,0,30,0.37412962317466736,1,1,0.4649331271648407,1.516145944595337,1,1,0,11.536382675170898,233.226806640625,1.116809606552124
eurosat,8049,3830,9,3,0,0.19100330770015717,2.210472583770752,0,0,0,2,0,0.28390705585479736,1.8604538440704346,1,0,0,30,13,0,9,1,0.9977750182151794,0.017597312107682228,1,1,0,0.056135428938384205,8.684151544002816e-05,1.1387207508087158,0.7154368162155151,0.35160374641418457,9,1,0.9049068689346313,0.41984447836875916,1,1,0,0.6329939963456017,1.1210887432098389,9,1,0.28259116411209106,1.872510313987732,1,1,0,30,0.3986281752586365,9,1,0.954130232334137,0.24131037294864655,1,1,0,3.7828588485717773,203.00497436523438,1.1387207508087158
eurosat,7722,7284,9,0,0,0.17224633693695068,2.209129810333252,0,0,0,1,0,0.43419089913368225,1.7604807615280151,1,0,0,30,18,0,9,1,0.9910253286361694,0.05748077854514122,1,1,0,0.05623372470320034,3.870353248203173e-05,1.1411216259002686,0.7176211476325989,0.34884397983551024,9,1,0.978287398815155,0.11740782856941223,1,1,0,0.6388469457789979,1.1315091848373413,1,0,0.4497217833995819,1.7398927211761475,1,0,0,30,0.3956891894340515,9,1,0.8278600573539734,0.6509315371513367,1,1,0,3.794097423553467,203.9416961669922,1.1411216259002686
eurosat,7799,2947,9,0,0,0.16887609660625458,2.2045273780822754,0,0,0,2,0,0.31273430585861206,1.8669531345367432,1,0,0,30,13,0,9,1,0.9979860782623291,0.016092224046587944,1,1,0,0.056571934598489734,0.00012831605272367597,1.1373878717422485,0.7125288844108582,0.35313355922698975,9,1,0.6941072344779968,1.0078238248825073,1,1,0,0.635685210312076,1.1144416332244873,2,0,0.30694469809532166,1.8825798034667969,1,0,0,30,0.4030304551124573,9,1,0.977185070514679,0.13697932660579681,1,1,0,3.835719108581543,192.45370483398438,1.1373878717422485
eurosat,7518,2320,9,3,0,0.20120438933372498,2.2034552097320557,0,0,0,2,0,0.39263102412223816,1.7748044729232788,1,0,0,30,13,0,9,1,0.9974048733711243,0.020078416913747787,1,1,0,0.05665102497074501,0.0001503757812315598,1.1357660293579102,0.712140679359436,0.35498638153076173,9,1,0.6285442113876343,1.1562252044677734,1,1,0,0.6350710900473934,1.1098034381866455,2,0,0.38202208280563354,1.801971673965454,1,0,0,30,0.4030304551124573,9,1,0.9791704416275024,0.1272554248571396,1,1,0,4.287888050079346,194.1486053466797,1.1357660293579102
eurosat,7565,6868,9,3,0,0.18410371243953705,2.2032482624053955,0,0,0,1,0,0.3078826665878296,1.8564488887786865,1,0,0,30,18,0,9,1,0.9978062510490417,0.0173576008528471,1,1,0,0.05666629292673707,5.307875107973814e-05,1.1409212350845337,0.720401406288147,0.34907557964324953,9,1,0.9917540550231934,0.054742999374866486,1,1,0,0.6353180957926918,1.1309573650360107,1,0,0.3181968331336975,1.8376823663711548,1,0,0,30,0.39153996109962463,9,1,0.939317524433136,0.2999032139778137,1,1,0,3.306735038757324,201.8069610595703,1.1409212350845337
