dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
eurosat,1489,6480,1,3,0,0.1891905665397644,2.229727268218994,0,0,0,1,1,0.6331862807273865,1.3013582229614258,1,1,0,30,17,0,9,0,0.949958324432373,0.23318885266780853,1,0,0,0.054744703427817426,3.8309357478283346e-05,1.1407067775726318,0.7211393713951111,0.34932143688201905,9,0,0.8578882217407227,0.5089117288589478,1,0,0,0.6323098287301342,1.1300532817840576,1,1,0.6546615362167358,1.2521586418151855,1,1,0,30,0.39153996109962463,9,0,0.6385695934295654,1.0559622049331665,1,0,0,4.101125240325928,207.95571899414062,1.1407067775726318
eurosat,1753,6436,1,5,0,0.15471206605434418,2.2282259464263916,0,0,0,1,1,0.7437695860862732,0.9735872745513916,1,1,0,30,17,0,9,0,0.39393818378448486,1.2535020112991333,1,0,0,0.05485189136366185,2.7449616027297452e-05,1.1406892538070679,0.7210841178894043,0.34934186935424805,9,0,0.6445488929748535,0.9289422631263733,1,0,0,0.632437470871524,1.1298620700836182,1,1,0.7650185823440552,0.9151380062103271,1,1,0,30,0.39153996109962463,1,1,0.4140903353691101,1.4695208072662354,1,1,0,9.389034271240234,231.30384826660156,1.1406892538070679
eurosat,1365,6230,1,3,0,0.20137228071689606,2.207878589630127,0,0,0,1,1,0.7857648730278015,0.799795389175415,1,1,0,30,17,0,9,0,0.6806919574737549,0.9242221117019653,1,0,0,0.05632547431083481,2.8397855203365907e-05,1.1405807733535767,0.721130907535553,0.3494664430618286,9,0,0.7919901609420776,0.6608667969703674,1,0,0,0.6328037233188895,1.1292476654052734,1,1,0.8035714030265808,0.7497143745422363,1,1,0,30,0.3924527168273926,9,0,0.4298708140850067,1.3675791025161743,1,0,0,9.54828929901123,232.65919494628906,1.1405807733535767
eurosat,926,4138,1,2,0,0.16779136657714844,2.194539785385132,0,0,0,1,1,0.4016847312450409,1.774975061416626,1,1,0,30,14,0,2,0,0.3237345814704895,1.7519060373306274,0,0,0,0.05731290597498982,6.302546535152942e-05,1.1391031742095947,0.7155705094337463,0.3511631727218628,9,0,0.5840445756912231,1.2802560329437256,1,0,0,0.6320367238463397,1.123832106590271,1,1,0.39647984504699707,1.7878416776657104,1,1,0,30,0.39977893233299255,2,0,0.3278857469558716,1.7795032262802124,0,0,0,9.614785194396973,228.8077392578125,1.1391031742095947
eurosat,7442,2535,9,5,0,0.1965283751487732,2.1938886642456055,0,0,0,9,1,0.3699110150337219,1.7958425283432007,1,1,0,30,13,0,2,0,0.3508884608745575,1.7443643808364868,1,0,0,0.05736154475644621,9.271144517697394e-05,1.1364634037017822,0.7089793086051941,0.354190993309021,2,0,0.35806509852409363,1.6459474563598633,1,0,0,0.6391955835962145,1.1112711429595947,9,1,0.3689919412136078,1.831937551498413,1,1,0,30,0.40333354473114014,2,0,0.28443560004234314,1.972495675086975,1,0,0,8.089934349060059,226.63778686523438,1.1364634037017822
eurosat,2292,254,2,3,0,0.19918417930603027,2.1900248527526855,0,0,0,2,1,0.5480771064758301,1.3002374172210693,1,1,0,30,10,0,1,0,0.5386373400688171,1.1106398105621338,1,0,0,0.05765103937010081,0.001020252937451005,1.080245852470398,0.7313071489334106,0.41534814834594724,1,0,0.35188713669776917,1.559776782989502,1,0,0,0.6039215686274509,0.959408164024353,2,1,0.543936550617218,1.337814211845398,1,1,0,30,0.3665590286254883,1,0,0.5392924547195435,1.2181131839752197,1,0,0,9.443817138671875,223.98243713378906,1.080245852470398
eurosat,7499,167,9,0,0,0.1761440485715866,2.1881535053253174,0,0,0,9,1,0.9308097958564758,0.3022824823856354,1,1,0,30,9,0,1,0,0.4911998510360718,1.1084617376327515,1,0,0,0.05779177147483058,0.002143217483535409,1.0517137050628662,0.745402455329895,0.4439978122711182,5,0,0.34480589628219604,1.5062929391860962,1,0,0,0.5892857142857143,0.9029278755187988,9,1,0.9350414276123047,0.29124653339385986,1,1,0,30,0.3399621844291687,9,1,0.7381483316421509,0.7510957717895508,1,1,0,9.53898811340332,205.4757537841797,1.0517137050628662
eurosat,1431,7449,1,3,0,0.2502032518386841,2.1773364543914795,0,0,0,1,1,0.4107814431190491,1.785488247871399,1,1,0,30,18,0,9,0,0.9808125495910645,0.11059895902872086,1,0,0,0.05861200996256866,3.688047218020074e-05,1.1412020921707153,0.7166837453842163,0.3487510919570923,9,0,0.9597175717353821,0.20495817065238953,1,0,0,0.64,1.1316090822219849,1,1,0.42805078625679016,1.7679872512817383,1,1,0,30,0.3964357376098633,9,0,0.7372661828994751,0.8983086347579956,1,0,0,3.9775876998901367,207.04769897460938,1.1412020921707153
eurosat,1275,6592,1,3,0,0.17586363852024078,2.174593925476074,0,0,0,1,1,0.47352853417396545,1.497450351715088,1,1,0,30,17,0,9,0,0.8749147057533264,0.49072566628456116,1,0,0,0.05882181929982212,3.6690893466584384e-05,1.1407690048217773,0.7207156419754028,0.34925017356872556,9,0,0.860369861125946,0.531401515007019,1,0,0,0.6332473835886546,1.130132794380188,1,1,0.49961233139038086,1.4554877281188965,1,1,0,30,0.39214640855789185,9,0,0.5219564437866211,1.248456358909607,1,0,0,6.567076683044434,222.2925262451172,1.1407690048217773
eurosat,1387,6300,1,3,0,0.21203722059726715,2.1706831455230713,0,0,0,1,1,0.627643883228302,1.35402512550354,1,1,0,30,17,0,9,0,0.9577969908714294,0.2046871930360794,1,0,0,0.059122299163507856,4.302772867958993e-05,1.140635371208191,0.7210262417793274,0.3494037866592407,9,0,0.8179109692573547,0.5981051325798035,1,0,0,0.6329154102523409,1.1295335292816162,1,1,0.6507571935653687,1.3015251159667969,1,1,0,30,0.3924527168273926,9,0,0.6139007210731506,1.0988786220550537,1,0,0,3.924164295196533,206.4417266845703,1.140635371208191
