dataset,bucket,count,rate,mean_clip_entropy
caltech,only_freetta_correct,1,0.00040567951318458417,1.2849129438400269
caltech,only_tda_correct,15,0.006085192697768763,1.456669028600057
caltech,clip_correct_both_fail,0,0.0,
caltech,all_fail,139,0.0563894523326572,1.0182306139374808
caltech,all_correct,2284,0.9265720081135903,0.3184326994618676
dtd,only_freetta_correct,44,0.023404255319148935,2.65713184801015
dtd,only_tda_correct,29,0.015425531914893617,2.762269036523227
dtd,clip_correct_both_fail,17,0.009042553191489361,2.818739323055043
dtd,all_fail,939,0.49946808510638296,2.5400166089732807
dtd,all_correct,764,0.40638297872340423,1.556637219345948
eurosat,only_freetta_correct,346,0.04271604938271605,1.9550966238010825
eurosat,only_tda_correct,612,0.07555555555555556,1.7258953616704815
eurosat,clip_correct_both_fail,165,0.020370370370370372,1.899426519870758
eurosat,all_fail,2350,0.29012345679012347,1.754011987477858
eurosat,all_correct,3419,0.4220987654320988,1.0763046000475343
imagenet,only_freetta_correct,88,0.0088,2.335588789798997
imagenet,only_tda_correct,91,0.0091,2.076122687413142
imagenet,clip_correct_both_fail,11,0.0011,2.093837022781372
imagenet,all_fail,3557,0.3557,2.0429964936884275
imagenet,all_correct,6096,0.6096,0.9487201172364561
pets,only_freetta_correct,10,0.002725538293813028,1.2060232877731323
pets,only_tda_correct,62,0.016898337421640774,1.2184378264411804
pets,clip_correct_both_fail,5,0.001362769146906514,1.3313231348991394
pets,all_fail,329,0.08967020986644862,1.0943933313876661
pets,all_correct,3192,0.8699918233851186,0.39191383529707174
