dataset,method,n_samples,n_unchanged_correct,n_unchanged_wrong,n_beneficial,n_harmful,n_other_changed_wrong,change_rate,beneficial_rate,harmful_rate,net_correction_score,net_correction_rate,correction_efficiency,harm_rate_on_clip_correct
caltech,tda,2465,2284,135,19,22,5,0.018661257606490872,0.007707910750507099,0.008924949290060852,-3,-0.0012170385395537525,0.41304347826086957,0.009540329575021683
caltech,freetta,2465,2306,154,5,0,0,0.002028397565922921,0.002028397565922921,0.0,5,0.002028397565922921,1.0,0.0
caltech,conf_ftta,2465,2306,154,5,0,0,0.002028397565922921,0.002028397565922921,0.0,5,0.002028397565922921,1.0,0.0
caltech,ent_tda,2465,2286,134,21,20,4,0.018255578093306288,0.008519269776876268,0.008113590263691683,1,0.00040567951318458417,0.4666666666666667,0.008673026886383347
caltech,hybrid,2465,2288,127,26,18,6,0.02028397565922921,0.010547667342799188,0.007302231237322515,8,0.0032454361054766734,0.52,0.007805724197745013
dtd,tda,1880,795,847,71,31,136,0.12659574468085105,0.03776595744680851,0.01648936170212766,40,0.02127659574468085,0.29831932773109243,0.03753026634382567
dtd,freetta,1880,778,787,86,48,181,0.1675531914893617,0.045744680851063826,0.02553191489361702,38,0.02021276595744681,0.273015873015873,0.05811138014527845
dtd,conf_ftta,1880,740,736,83,86,235,0.2148936170212766,0.04414893617021277,0.045744680851063826,-3,-0.0015957446808510637,0.20544554455445543,0.10411622276029056
dtd,ent_tda,1880,797,842,75,29,137,0.12819148936170213,0.0398936170212766,0.015425531914893617,46,0.02446808510638298,0.3112033195020747,0.035108958837772396
dtd,hybrid,1880,779,834,63,47,157,0.14202127659574468,0.03351063829787234,0.025,16,0.00851063829787234,0.23595505617977527,0.05690072639225181
eurosat,tda,8100,3553,1426,1481,370,1270,0.3853086419753086,0.1828395061728395,0.04567901234567901,1111,0.1371604938271605,0.4745273950656841,0.09431557481519245
eurosat,freetta,8100,3624,1772,1215,299,1190,0.33382716049382716,0.15,0.03691358024691358,916,0.11308641975308642,0.4493343195266272,0.0762171807290339
eurosat,conf_ftta,8100,3555,1538,1195,368,1444,0.37123456790123455,0.14753086419753086,0.0454320987654321,827,0.10209876543209877,0.39740605254406386,0.0938057608972725
eurosat,ent_tda,8100,3554,1410,1489,369,1278,0.3871604938271605,0.18382716049382716,0.04555555555555556,1120,0.1382716049382716,0.47480867346938777,0.09406066785623247
eurosat,hybrid,8100,3653,1696,1333,270,1148,0.3396296296296296,0.1645679012345679,0.03333333333333333,1063,0.13123456790123456,0.48455107233733186,0.06882487891919449
imagenet,tda,10000,6169,3450,120,66,195,0.0381,0.012,0.0066,54,0.0054,0.31496062992125984,0.010585404971932638
imagenet,freetta,10000,6151,3468,117,84,180,0.0381,0.0117,0.0084,33,0.0033,0.30708661417322836,0.01347233360064154
imagenet,conf_ftta,10000,6122,3413,132,113,220,0.0465,0.0132,0.0113,19,0.0019,0.2838709677419355,0.018123496391339214
imagenet,ent_tda,10000,6190,3539,108,45,118,0.0271,0.0108,0.0045,63,0.0063,0.3985239852398524,0.007217321571772253
imagenet,hybrid,10000,6151,3536,99,84,130,0.0313,0.0099,0.0084,15,0.0015,0.31629392971246006,0.01347233360064154
pets,tda,3669,3202,322,87,41,17,0.03952030526028891,0.023712183156173343,0.011174707004633416,46,0.012537476151539929,0.6,0.012642614862781376
pets,freetta,3669,3228,382,35,15,9,0.016080675933496866,0.009539384028345598,0.004088307440719542,20,0.005451076587626056,0.5932203389830508,0.004625346901017576
pets,conf_ftta,3669,3224,383,32,19,11,0.016898337421640774,0.00872172254020169,0.005178522758244753,13,0.0035431997819569366,0.5161290322580645,0.00585877274128893
pets,ent_tda,3669,3200,337,78,43,11,0.035977105478331974,0.02125919869174162,0.01171981466339602,35,0.009539384028345598,0.5909090909090909,0.013259327782917052
pets,hybrid,3669,3221,374,47,22,5,0.02016898337421641,0.012810029980921232,0.005996184246388662,25,0.00681384573453257,0.6351351351351351,0.0067838421214924454
