dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
imagenet,5329,9508,532,532,1,0.09419174492359161,4.117158889770508,0,0,0,441,0,0.13358530402183533,4.232309341430664,1,0,1,2962,1650,0,762,0,0.129947230219841,3.6836416721343994,1,0,1,0.09217381251262262,1.8822564015863463e-05,1.1282042264938354,3.9654250144958496,0.36348867797851564,762,0,0.13323555886745453,3.6953067779541016,1,0,1,0.32653275843937324,1.1290028095245361,441,0,0.10656113922595978,4.077272415161133,1,0,1,2962,0.05121748894453049,762,0,0.10713060945272446,3.887730836868286,1,0,1,1.2930400371551514,85.67000579833984,1.1282042264938354
imagenet,9196,5741,919,919,1,0.15946805477142334,3.4362988471984863,0,0,0,707,0,0.1719389706850052,3.3610591888427734,1,0,1,2859,1350,1,707,0,0.2135951817035675,3.110074520111084,1,0,1,0.13671991826884305,7.29313469491899e-05,1.131316065788269,3.962702989578247,0.3599668273925781,707,0,0.2225942313671112,3.0687787532806396,1,0,1,0.3230581678857541,1.1332857608795166,919,1,0.15986812114715576,3.3990423679351807,0,0,0,2859,0.05121748894453049,707,0,0.19184285402297974,3.2620370388031006,1,0,1,1.9800174236297607,93.02523040771484,1.131316065788269
imagenet,1382,9160,138,138,1,0.2832808494567871,2.2234411239624023,0,0,0,346,0,0.35551607608795166,2.1760127544403076,1,0,1,2961,1634,1,346,0,0.3125782310962677,2.0703887939453125,1,0,1,0.2759586301180765,2.7801514079328626e-05,1.1283764839172363,3.966848850250244,0.3632939147949219,346,0,0.3139694929122925,2.066267728805542,1,0,1,0.32561947385656587,1.1292777061462402,346,0,0.31718742847442627,2.1773934364318848,1,0,1,2961,0.0509391613304615,346,0,0.31145861744880676,2.107372283935547,1,0,1,3.415234088897705,97.28353118896484,1.1283764839172363
imagenet,6860,7964,686,686,1,0.3784138858318329,2.0972583293914795,0,0,0,479,0,0.36819130182266235,1.9835197925567627,1,0,1,2939,1550,1,479,0,0.3705558180809021,1.9220218658447266,1,0,1,0.2968771421088359,5.686896474799141e-05,1.1291403770446777,3.9631950855255127,0.3624297790527344,479,0,0.40287330746650696,1.9236812591552734,1,0,1,0.32554927809165096,1.1303669214248657,686,1,0.39087530970573425,2.0180470943450928,0,0,0,2939,0.05150451138615608,479,0,0.3532162606716156,1.9697898626327515,1,0,1,3.5298972129821777,104.4417724609375,1.1291403770446777
imagenet,5320,5834,532,532,1,0.40260133147239685,1.984826922416687,0,0,0,762,0,0.36096784472465515,2.180325746536255,1,0,1,2864,1357,1,762,0,0.4688928723335266,1.5138084888458252,1,0,1,0.3168481875809361,0.00011195500701433048,1.1311522722244263,3.966501474380493,0.36015264892578125,762,0,0.4974483549594879,1.5118186473846436,1,0,1,0.32253641816623824,1.1330865621566772,762,0,0.40586209297180176,1.8643585443496704,1,0,1,2864,0.05124371126294136,762,0,0.43127164244651794,1.703641414642334,1,0,1,1.0753493309020996,80.16363525390625,1.1311522722244263
imagenet,1713,7679,171,171,1,0.28607988357543945,1.9808274507522583,0,0,0,253,0,0.34138184785842896,1.8247501850128174,1,0,1,2933,1528,1,253,0,0.3114566504955292,1.8646711111068726,1,0,1,0.3175828577932102,3.521289545460604e-05,1.1293503046035767,3.967393159866333,0.36219171142578127,253,0,0.31571051478385925,1.8486790657043457,1,0,1,0.32591145833333335,1.130666971206665,253,0,0.33830636739730835,1.8211815357208252,1,0,1,2933,0.05125498026609421,253,0,0.31680580973625183,1.891204833984375,1,0,1,4.654763221740723,103.18680572509766,1.1293503046035767
imagenet,161,2606,16,16,1,0.3841528594493866,1.6718758344650269,0,0,0,15,0,0.4406485855579376,1.514156699180603,1,0,1,2098,791,1,15,0,0.40524548292160034,1.5047667026519775,1,0,1,0.3797981809394056,7.526713307015598e-05,1.138922095298767,3.9162068367004395,0.35130108642578123,15,0,0.4090449810028076,1.4913603067398071,1,0,1,0.32297660145761414,1.1405746936798096,15,0,0.5405324697494507,1.4730360507965088,1,0,1,2098,0.04980181157588959,15,0,0.417922705411911,1.4888670444488525,1,0,1,3.4358203411102295,94.42857360839844,1.138922095298767
imagenet,1506,7714,150,150,1,0.36207303404808044,1.6359859704971313,0,0,0,147,0,0.36239251494407654,1.6048352718353271,1,0,1,2933,1534,1,147,0,0.37672629952430725,1.4745386838912964,1,0,1,0.3877738699583554,4.7900466597639024e-05,1.1293281316757202,3.96630859375,0.36221697998046876,147,0,0.3807903826236725,1.467254877090454,1,0,1,0.32624756966947505,1.1306443214416504,147,0,0.3782035708427429,1.537793755531311,1,0,1,2933,0.05125498026609421,147,0,0.38103926181793213,1.513495922088623,1,0,1,2.856734037399292,93.43989562988281,1.1293281316757202
imagenet,9525,5174,952,952,1,0.38992545008659363,1.6339819431304932,0,0,0,927,0,0.4473099708557129,1.5913641452789307,1,0,1,2799,1270,1,927,0,0.4438706338405609,1.4479646682739258,1,0,1,0.388224143699549,8.197954593924806e-05,1.1322741508483887,3.962550640106201,0.3588787841796875,927,0,0.4541027247905731,1.4281418323516846,1,0,1,0.322512077294686,1.1343885660171509,927,0,0.3849155902862549,1.6340529918670654,1,0,1,2799,0.05121748894453049,927,0,0.4136996269226074,1.4934792518615723,1,0,1,1.6855429410934448,85.87960815429688,1.1322741508483887
imagenet,3125,8008,312,312,1,0.4417565166950226,1.1296260356903076,0,0,0,311,0,0.5534958243370056,1.1322357654571533,1,0,1,2940,1553,0,311,0,0.4668104946613312,1.0665922164916992,1,0,1,0.5198991413031961,5.412066093413159e-05,1.1290971040725708,3.9649319648742676,0.36247857666015626,311,0,0.46997857093811035,1.0654767751693726,1,0,1,0.32563366213010364,1.130300760269165,312,1,0.558332622051239,1.0295697450637817,0,0,0,2940,0.05125498026609421,311,0,0.48950889706611633,1.0585602521896362,1,0,1,3.981128692626953,96.20999908447266,1.1290971040725708
