dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
imagenet,6249,5846,624,61,0,0.028762253001332283,5.724575519561768,0,0,0,61,0,0.027387207373976707,5.724064826965332,0,0,0,2866,1360,0,624,1,0.046169575303792953,5.588897705078125,1,1,0,0.03633881996599249,1.3271539501147345e-05,1.1311149597167969,3.9664807319641113,0.36019439697265626,624,1,0.047898393124341965,5.567264080047607,1,1,0,0.32255857704805885,1.1330407857894897,624,1,0.026161909103393555,5.73431396484375,1,1,0,2866,0.05121748894453049,624,1,0.033675193786621094,5.666304111480713,1,1,0,0.9685128927230835,78.88412475585938,1.1311149597167969
imagenet,9083,6760,908,404,0,0.10682747513055801,5.429141998291016,0,0,0,404,0,0.10434330999851227,5.254652976989746,0,0,0,2903,1445,0,908,1,0.12976190447807312,5.095980644226074,1,1,0,0.043118840110673004,1.1459933375590481e-05,1.1302461624145508,3.9664478302001953,0.36117709350585936,908,1,0.13124170899391174,5.088025093078613,1,1,0,0.3273184440171572,1.1319043636322021,908,1,0.09806355088949203,5.379234313964844,1,1,0,2903,0.05110981687903404,404,0,0.103685162961483,5.25217342376709,0,0,0,3.314594268798828,105.44696807861328,1.1302461624145508
imagenet,8583,6051,858,611,0,0.093162402510643,4.517068862915039,0,0,0,611,0,0.10852722078561783,4.474115371704102,0,0,0,2880,1381,0,858,1,0.10434295982122421,4.278970718383789,1,1,0,0.07312019727781635,2.380884143349249e-05,1.1309268474578857,3.9652481079101562,0.3604071960449219,858,1,0.10127456486225128,4.275003910064697,1,1,0,0.3225380039656312,1.1327818632125854,611,0,0.09827130287885666,4.466853141784668,0,0,0,2880,0.051206111907958984,858,1,0.09071553498506546,4.388477802276611,1,1,0,1.318217158317566,83.63407135009766,1.1309268474578857
imagenet,6558,7296,655,445,0,0.14053675532341003,4.077733993530273,0,0,0,445,0,0.1315203607082367,4.171350955963135,0,0,0,2923,1496,0,655,1,0.18830542266368866,3.507756471633911,1,1,0,0.09430230133049082,2.6016175979748368e-05,1.1297448873519897,3.9618442058563232,0.3617450866699219,655,1,0.18213166296482086,3.5039215087890625,1,1,0,0.32670960668767984,1.131185531616211,655,1,0.15461169183254242,3.985834836959839,1,1,0,2923,0.051427021622657776,655,1,0.16338014602661133,3.7493672370910645,1,1,0,1.5628911256790161,87.41136169433594,1.1297448873519897
imagenet,9842,1272,984,723,0,0.20168910920619965,3.9990084171295166,0,0,0,723,0,0.20839448273181915,3.9239091873168945,0,0,0,1210,451,0,984,1,0.32197919487953186,3.357764720916748,1,1,0,0.09870071392472818,0.00020305573707446456,1.1412274837493896,3.7899510860443115,0.3484761962890625,984,1,0.29740485548973083,3.4494261741638184,1,1,0,0.3291437549096622,1.1330806016921997,723,0,0.20781970024108887,3.9793941974639893,0,0,0,1210,0.04786694422364235,984,1,0.2405148297548294,3.661172866821289,1,1,0,1.5313010215759277,94.49124145507812,1.1412274837493896
imagenet,7722,625,772,714,0,0.17974157631397247,3.991468667984009,0,0,0,714,0,0.39186590909957886,3.2993173599243164,0,0,0,620,244,0,772,1,0.1402764469385147,3.821059226989746,1,1,0,0.09913259913221492,0.0011820077197626233,1.1209733486175537,3.590367555618286,0.36916073608398436,772,1,0.12964977324008942,3.8635005950927734,1,1,0,0.3354632587859425,1.0809593200683594,714,0,0.3782142102718353,3.320828914642334,0,0,0,620,0.0551619790494442,714,0,0.1359778642654419,3.9435648918151855,0,0,0,1.052722692489624,99.52352142333984,1.1209733486175537
imagenet,8789,2727,878,699,0,0.19800737500190735,3.9871978759765625,0,0,0,699,0,0.4544672966003418,2.929169178009033,0,0,0,2165,830,0,878,1,0.24191679060459137,3.5128190517425537,1,1,0,0.09937804526039398,6.871273944852874e-05,1.1385570764541626,3.92283296585083,0.3517187805175781,878,1,0.2548447251319885,3.4928901195526123,1,1,0,0.3218475073313783,1.1402548551559448,699,0,0.39607810974121094,3.233358860015869,0,0,0,2165,0.04834599420428276,878,1,0.21769380569458008,3.6850345134735107,1,1,0,1.5458850860595703,88.47911071777344,1.1385570764541626
imagenet,4346,6726,434,894,0,0.21323005855083466,3.721691846847534,0,0,0,894,0,0.2212662696838379,3.7429468631744385,0,0,0,2903,1444,0,434,1,0.23336195945739746,3.4457080364227295,1,1,0,0.11589388182199,2.6724561394075863e-05,1.1302517652511597,3.96743106842041,0.3611707763671875,434,1,0.24118724465370178,3.4131836891174316,1,1,0,0.32748624944254495,1.1318942308425903,434,1,0.19991758465766907,3.6588029861450195,1,1,0,2903,0.050930485129356384,434,1,0.19989266991615295,3.5723774433135986,1,1,0,3.4333510398864746,105.79232025146484,1.1302517652511597
imagenet,5161,3020,516,427,0,0.14966844022274017,3.716043472290039,0,0,0,427,0,0.3666989207267761,3.146833658218384,0,0,0,2286,895,0,516,1,0.1864520013332367,3.4049506187438965,1,1,0,0.11627357562924716,7.471870048902929e-05,1.1374977827072144,3.9343178272247314,0.3529281921386719,516,1,0.187472864985466,3.3935863971710205,1,1,0,0.3247269116186693,1.139539361000061,427,0,0.3232862055301666,3.2089548110961914,0,0,0,2286,0.04754473641514778,516,1,0.16360555589199066,3.5524401664733887,1,1,0,1.3460029363632202,84.94507598876953,1.1374977827072144
imagenet,9434,1872,943,318,0,0.1822163611650467,3.6312155723571777,0,0,0,318,0,0.356106162071228,3.0336475372314453,0,0,0,1667,631,0,943,1,0.23116806149482727,3.320472240447998,1,1,0,0.12212755273403232,0.00012115399294998497,1.1414687633514404,3.8470406532287598,0.34838372802734374,943,1,0.22212877869606018,3.335848569869995,1,1,0,0.32674853176721835,1.140636682510376,318,0,0.3089008629322052,3.207181930541992,0,0,0,1667,0.05132569745182991,943,1,0.2049081176519394,3.409773111343384,1,1,0,2.568794012069702,100.55475616455078,1.1414687633514404
