dataset,sample_idx,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_changed,clip_beneficial,clip_harmful,tda_pred,tda_correct,tda_confidence,tda_entropy,tda_changed,tda_beneficial,tda_harmful,tda_pos_cache_size,tda_neg_cache_size,tda_gate_open,freetta_pred,freetta_correct,freetta_confidence,freetta_entropy,freetta_changed,freetta_beneficial,freetta_harmful,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy,freetta_sigma_trace,conf_ftta_pred,conf_ftta_correct,conf_ftta_confidence,conf_ftta_entropy,conf_ftta_changed,conf_ftta_beneficial,conf_ftta_harmful,conf_ftta_skip_rate,conf_ftta_mu_drift,ent_tda_pred,ent_tda_correct,ent_tda_confidence,ent_tda_entropy,ent_tda_changed,ent_tda_beneficial,ent_tda_harmful,ent_tda_pos_cache_size,ent_tda_adaptive_thresh,hybrid_pred,hybrid_correct,hybrid_confidence,hybrid_entropy,hybrid_changed,hybrid_beneficial,hybrid_harmful,hybrid_tda_adj_norm,hybrid_ftta_adj_norm,hybrid_mu_drift
pets,781,2674,7,0,0,0.22222299873828888,2.1054623126983643,0,0,0,7,1,0.3284209370613098,1.962921142578125,1,1,0,111,69,0,0,0,0.2445058375597,1.9980442523956299,0,0,0,0.09706938244593696,4.518425703281537e-05,1.1221768856048584,2.5810539722442627,0.3702711414646458,0,0,0.25259754061698914,2.0015270709991455,0,0,0,0.09046728971962617,1.1215121746063232,7,1,0.2680118978023529,1.9892702102661133,1,1,0,111,0.023638200014829636,0,0,0.2455645203590393,1.9383057355880737,0,0,0,8.052248001098633,50.89536666870117,1.1221768856048584
pets,707,3057,7,23,0,0.24773891270160675,2.0682501792907715,0,0,0,7,1,0.3062911927700043,1.9216879606246948,1,1,0,111,69,0,32,0,0.2226375788450241,1.997818946838379,1,0,0,0.10115437981046109,5.709891047445126e-05,1.1223270893096924,2.5748507976531982,0.37010386183455185,32,0,0.23087458312511444,2.0133719444274902,1,0,0,0.09156311314584696,1.1216634511947632,7,1,0.266658216714859,1.9622224569320679,1,1,0,111,0.023746958002448082,23,0,0.21774211525917053,2.035536766052246,0,0,0,5.6717071533203125,48.82352066040039,1.1223270893096924
pets,747,1417,7,0,0,0.22146596014499664,2.0315980911254883,0,0,0,7,1,0.29202035069465637,1.8690509796142578,1,1,0,111,65,0,9,0,0.2153492122888565,1.9296401739120483,1,0,0,0.10534588891114005,9.434825915377587e-05,1.1217658519744873,2.5584089756011963,0.3707356066317172,9,0,0.22560107707977295,1.9409418106079102,1,0,0,0.09661495063469676,1.1209444999694824,7,1,0.23679155111312866,1.8808605670928955,1,1,0,111,0.024416884407401085,7,1,0.2070697396993637,1.9771308898925781,1,1,0,7.4986348152160645,50.976356506347656,1.1217658519744873
pets,758,2338,7,9,0,0.20575487613677979,1.996610403060913,0,0,0,7,1,0.34620243310928345,1.8311125040054321,1,1,0,111,67,0,9,0,0.20262233912944794,1.9088940620422363,0,0,0,0.10950901968257938,5.721804336644709e-05,1.121996521949768,2.581968307495117,0.3704748411436339,9,0,0.2089928388595581,1.9115054607391357,0,0,0,0.09320222317229586,1.1212894916534424,7,1,0.27816322445869446,1.8705387115478516,1,1,0,111,0.022832196205854416,9,0,0.2148703634738922,1.8763439655303955,0,0,0,7.778695583343506,50.94681167602539,1.121996521949768
pets,772,2301,7,32,0,0.20374467968940735,1.958524227142334,0,0,0,7,1,0.20110447704792023,1.9023096561431885,1,1,0,111,67,0,27,0,0.19136445224285126,1.8986170291900635,1,0,0,0.1142280618268468,8.62571905599907e-05,1.1219792366027832,2.5806565284729004,0.37049319293047933,27,0,0.19894005358219147,1.9025075435638428,1,0,0,0.09383145091225022,1.1212726831436157,32,0,0.21550296247005463,1.8853681087493896,0,0,0,111,0.022832196205854416,7,1,0.23677225410938263,1.8589869737625122,1,1,0,7.399394989013672,49.47370529174805,1.1219792366027832
pets,712,729,7,32,0,0.26291754841804504,1.8874942064285278,0,0,0,7,1,0.3493210971355438,1.6635260581970215,1,1,0,111,55,0,32,0,0.2905539572238922,1.742417335510254,0,0,0,0.12357899745059835,0.00026614355738274753,1.1210559606552124,2.551447629928589,0.37154135832915436,32,0,0.3127363622188568,1.7539939880371094,0,0,0,0.1,1.1200875043869019,7,1,0.3249240219593048,1.663771152496338,1,1,0,111,0.025292938575148582,7,1,0.3212508261203766,1.741126537322998,1,1,0,5.661168575286865,47.99968719482422,1.1210559606552124
pets,1485,1170,15,19,0,0.2795158624649048,1.8478870391845703,0,0,0,15,1,0.2934466600418091,1.684301495552063,1,1,0,111,63,0,19,0,0.30393001437187195,1.725245714187622,0,0,0,0.1291216970514586,9.360514377476647e-05,1.1213268041610718,2.5481643676757812,0.3712291975279112,19,0,0.30324888229370117,1.7352144718170166,0,0,0,0.09735269000853972,1.1204885244369507,15,1,0.2933858036994934,1.6946213245391846,1,1,0,111,0.024923130869865417,19,0,0.3218332827091217,1.7221821546554565,0,0,0,9.432259559631348,51.8582649230957,1.1213268041610718
pets,717,2877,7,0,0,0.31342798471450806,1.8345928192138672,0,0,0,7,1,0.43463581800460815,1.6936523914337158,1,1,0,111,69,0,0,0,0.31444066762924194,1.781432867050171,0,0,0,0.13103732743427743,7.323249883484095e-05,1.1222492456436157,2.578592538833618,0.3701901049227328,0,0,0.32946905493736267,1.792250394821167,0,0,0,0.09034051424600417,1.121587872505188,7,1,0.3527694642543793,1.7500994205474854,1,1,0,111,0.023746958002448082,0,0,0.3558713495731354,1.7514235973358154,0,0,0,6.893762588500977,49.52025604248047,1.1222492456436157
pets,744,3619,7,9,0,0.3292306065559387,1.8086457252502441,0,0,0,7,1,0.26690760254859924,1.7203125953674316,1,1,0,111,70,0,9,0,0.3210884928703308,1.7389140129089355,0,0,0,0.13485835630598586,4.386352520668879e-05,1.1221102476119995,2.5914063453674316,0.37034472903689825,9,0,0.3276360034942627,1.7361629009246826,0,0,0,0.08701657458563536,1.1214967966079712,9,0,0.279786616563797,1.7101489305496216,0,0,0,111,0.02254543825984001,9,0,0.283831924200058,1.7688586711883545,0,0,0,8.468725204467773,52.00520706176758,1.1221102476119995
pets,749,1076,7,23,0,0.3762167990207672,1.7849693298339844,0,0,0,7,1,0.4713253974914551,1.6229348182678223,1,1,0,111,63,1,23,0,0.3447653353214264,1.6647142171859741,0,0,0,0.13844215825989906,0.0002238666929770261,1.1213725805282593,2.5483851432800293,0.3711770031903241,23,0,0.3447648286819458,1.710018277168274,0,0,0,0.09749303621169916,1.1205328702926636,7,1,0.4597546458244324,1.5965940952301025,1,1,0,111,0.024849966168403625,23,0,0.3271888792514801,1.684712290763855,0,0,0,7.134739398956299,50.582916259765625,1.1213725805282593
