dataset,alpha,beta,freetta_acc,freetta_minus_tda
dtd,0.05,0.1,0.46702127659574466,-0.0069148936170213005
dtd,0.05,0.5,0.47074468085106386,-0.0031914893617021045
dtd,0.05,1.0,0.475531914893617,0.0015957446808510523
dtd,0.05,2.0,0.475531914893617,0.0015957446808510523
dtd,0.05,4.5,0.47074468085106386,-0.0031914893617021045
dtd,0.1,0.1,0.46808510638297873,-0.005851063829787229
dtd,0.1,0.5,0.4702127659574468,-0.0037234042553191404
dtd,0.1,1.0,0.4723404255319149,-0.0015957446808510523
dtd,0.1,2.0,0.474468085106383,0.0005319148936170359
dtd,0.1,4.5,0.47074468085106386,-0.0031914893617021045
dtd,0.2,0.1,0.46382978723404256,-0.010106382978723405
dtd,0.2,0.5,0.4718085106382979,-0.002127659574468088
dtd,0.2,1.0,0.47606382978723405,0.002127659574468088
dtd,0.2,2.0,0.4819148936170213,0.007978723404255317
dtd,0.2,4.5,0.47074468085106386,-0.0031914893617021045
dtd,0.3,0.1,0.46170212765957447,-0.012234042553191493
dtd,0.3,0.5,0.4734042553191489,-0.0005319148936170359
dtd,0.3,1.0,0.475531914893617,0.0015957446808510523
dtd,0.3,2.0,0.48404255319148937,0.010106382978723405
dtd,0.3,4.5,0.47074468085106386,-0.0031914893617021045
