dataset,sample_index,stream_step,label,clip_pred,clip_correct,clip_confidence,clip_entropy,clip_margin,tda_pred,tda_correct,tda_changed_prediction,tda_beneficial_flip,tda_harmful_flip,tda_input_confidence,tda_input_entropy,tda_norm_entropy_scaled,tda_final_confidence,tda_final_entropy,tda_true_class_prob,tda_final_margin,tda_entropy_drop,tda_positive_cache_size,tda_negative_cache_size,tda_negative_gate_open,tda_fallback_used,freetta_pred,freetta_correct,freetta_changed_prediction,freetta_beneficial_flip,freetta_harmful_flip,freetta_input_confidence,freetta_input_entropy,freetta_final_confidence,freetta_final_entropy,freetta_true_class_prob,freetta_final_margin,freetta_entropy_drop,freetta_em_weight,freetta_mu_update_norm,freetta_mu_drift,freetta_prior_entropy
dtd,0,0,0,39,0,0.022453103214502335,3.8499598503112793,0.014721542596817017,39,0,0,0,0,0.5554309487342834,1.8493720293045044,0.4803379560002059,0.9007900953292847,0.5852850675582886,0.008364135399460793,3.472166061401367,1.2640869617462158,1,1,1,0,39,0,0,0,0,0.022453103214502335,3.8499598503112793,0.02269505150616169,3.849877119064331,0.021976983174681664,0.017665624618530273,8.273124694824219e-05,0.0004528635472524911,0.0004372792027425021,0.0004372792027425021,3.8501474857330322
dtd,1,1,0,39,0,0.02264898642897606,3.8499507904052734,0.029499560594558716,39,0,0,0,0,0.7586996555328369,1.2147033214569092,0.3154952607316649,0.9894270896911621,0.08794789016246796,0.0013388459337875247,6.350301742553711,1.1267554312944412,2,2,1,0,39,0,0,0,0,0.02264898642897606,3.8499507904052734,0.022789616137742996,3.8498964309692383,0.02196689508855343,0.02810072898864746,5.435943603515625e-05,0.00045287178363651037,0.00043796273530460894,0.0008495194488205016,3.8501477241516113
dtd,2,2,0,22,0,0.022032150998711586,3.8500497341156006,0.006150692701339722,39,0,1,0,0,0.23985354602336884,2.8118910789489746,0.7303333196109318,0.4553147554397583,1.4694931507110596,0.0024506677873432636,0.14542007446289062,1.342397928237915,3,2,0,0,22,0,0,0,0,0.022032150998711586,3.8500497341156006,0.022170279175043106,3.8500289916992188,0.021252110600471497,0.013388872146606445,2.0742416381835938e-05,0.0004527821729425341,0.00043515785364434123,0.0012533955741673708,3.8501477241516113
dtd,3,3,0,0,1,0.0224149227142334,3.8499417304992676,0.018018603324890137,0,1,0,0,0,0.4860326051712036,2.0906054973602295,0.5429935975523844,0.7661885619163513,1.0104557275772095,0.7661885619163513,1.9080657958984375,1.08014976978302,4,3,0,0,0,1,0,0,0,0.0224149227142334,3.8499417304992676,0.02252482809126377,3.849855422973633,0.02252482809126377,0.015869140625,8.630752563476562e-05,0.0004528799618128687,0.00043719520908780396,0.0016066310927271843,3.8501477241516113
dtd,4,4,0,22,0,0.022152956575155258,3.850005865097046,0.005166739225387573,22,0,0,0,0,0.28200477361679077,2.5401949882507324,0.6597656118748525,0.7268441915512085,1.0099143981933594,0.031519271433353424,1.4042701721191406,1.530280590057373,5,4,0,0,22,0,0,0,0,0.022152956575155258,3.850005865097046,0.02231621742248535,3.849958896636963,0.02194155380129814,0.012014389038085938,4.696846008300781e-05,0.00045282189967110753,0.0004385093634482473,0.001978259300813079,3.850147247314453
dtd,5,5,0,39,0,0.022554995492100716,3.8499531745910645,0.024687141180038452,39,0,0,0,0,0.7021452784538269,1.4448139667510986,0.3752619681669811,0.9890924692153931,0.08176790922880173,0.0012871543876826763,5.138105392456055,1.363046057522297,6,5,1,0,39,0,0,0,0,0.022554995492100716,3.8499531745910645,0.02264229580760002,3.8498940467834473,0.021856801584362984,0.022664308547973633,5.91278076171875e-05,0.0004528696008492261,0.00043950407416559756,0.0023585674352943897,3.850147247314453
dtd,6,6,0,39,0,0.02238113060593605,3.8499693870544434,0.010424286127090454,39,0,0,0,0,0.4378165900707245,2.0597434043884277,0.5349777768191496,0.8869333863258362,0.5058322548866272,0.021001068875193596,2.491039276123047,1.5539111495018005,6,5,0,0,39,0,0,0,0,0.02238113060593605,3.8499693870544434,0.02243104577064514,3.849914789199829,0.02216995880007744,0.008532047271728516,5.459785461425781e-05,0.0004528549325186759,0.00043445039773359895,0.002751820720732212,3.850147247314453
dtd,7,7,0,39,0,0.022646846249699593,3.849971055984497,0.02923959493637085,39,0,0,0,0,0.7853639125823975,1.1208544969558716,0.2911198771854979,0.9925678968429565,0.055984996259212494,0.000765452568884939,5.342496871948242,1.064869500696659,6,5,1,0,39,0,0,0,0,0.022646846249699593,3.849971055984497,0.022741811349987984,3.8499274253845215,0.02190038003027439,0.0276339054107666,4.363059997558594e-05,0.0004528533900156617,0.00043499493040144444,0.003147203242406249,3.850147247314453
dtd,8,8,0,22,0,0.021805239841341972,3.850064754486084,0.0024898648262023926,22,0,0,0,0,0.12153758853673935,3.2569079399108887,0.8459176833803255,0.766209602355957,0.9277153611183167,0.01624872535467148,1.577484130859375,2.329192578792572,7,5,0,0,22,0,0,0,0,0.021805239841341972,3.850064754486084,0.02189469151198864,3.850046157836914,0.021690605208277702,0.009006023406982422,1.8596649169921875e-05,0.00045276855234988034,0.0004324019537307322,0.0035383624490350485,3.850147247314453
dtd,9,9,0,39,0,0.022622594609856606,3.8499367237091064,0.02588668465614319,39,0,0,0,0,0.7322217226028442,1.3240854740142822,0.3439051202676449,0.9794486165046692,0.1267983466386795,0.0015825085574761033,4.179647445678711,1.1972871273756027,7,5,1,0,39,0,0,0,0,0.022622594609856606,3.8499367237091064,0.02271597646176815,3.8498752117156982,0.02183689922094345,0.023693084716796875,6.151199340820312e-05,0.00045288450201041996,0.00043655760237015784,0.0039176903665065765,3.850147247314453
dtd,10,10,0,39,0,0.0221822839230299,3.850008964538574,0.006979703903198242,39,0,0,0,0,0.34683722257614136,2.5345492362976074,0.6582992390140776,0.6378840208053589,0.8429288864135742,0.00417722575366497,0.6484947204589844,1.6916203498840332,7,5,0,0,39,0,0,0,0,0.0221822839230299,3.850008964538574,0.022182492539286613,3.849977493286133,0.02156805992126465,0.0008170604705810547,3.147125244140625e-05,0.00045281907659955323,0.00043407207704149187,0.0043198359198868275,3.850147008895874
dtd,11,11,0,39,0,0.022425031289458275,3.849954843521118,0.014206171035766602,39,0,0,0,0,0.4933154881000519,2.0074706077575684,0.5214009475548268,0.8055351376533508,0.640265703201294,0.0091959647834301,1.5740127563476562,1.3672049045562744,7,5,0,0,39,0,0,0,0,0.022425031289458275,3.849954843521118,0.02247360534965992,3.8498997688293457,0.022010749205946922,0.009534597396850586,5.507469177246094e-05,0.0004528681165538728,0.00043505628127604723,0.004705744795501232,3.850147247314453
